panel,cadence,REC_L_H1,REC_L_H2,REC_L_OOS,REC_L_DD,REC_L_CAGR,DISJ_L_H1,DISJ_L_H2,DISJ_L_OOS,DISJ_L_DD,DISJ_L_CAGR,TWOLEG_L_H1,TWOLEG_L_H2,TWOLEG_L_OOS,TWOLEG_L_DD,TWOLEG_L_CAGR
B136,M,0.89,0.395,0.57,0.195,0.29,0.6,0.51,0.57,0.195,0.29,0.735,1.0,0.57,0.195,0.29
B136,Q,0.99,0.265,0.44,0.03,0.52,0.855,0.83,0.44,0.03,0.52,0.96,1.0,0.44,0.03,0.52
B136,W,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.71,0.0,0.0,1.0,0.0,0.71,0.0
SMALL663,M,0.075,0.0,0.0,0.0,0.0,0.36,0.3,0.0,0.0,0.0,0.28,1.0,0.0,0.0,0.0
SMALL663,Q,0.085,0.0,0.0,0.0,0.005,0.19,0.47,0.0,0.0,0.005,0.25,1.0,0.0,0.0,0.005
SMALL663,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
U56,M,0.91,1.0,1.0,1.0,0.405,0.73,0.455,1.0,1.0,0.405,0.785,1.0,1.0,1.0,0.405
U56,Q,1.0,0.635,0.76,0.2,0.35,0.735,0.9,0.76,0.2,0.35,0.99,1.0,0.76,0.2,0.35
U56,W,0.0,0.185,0.205,1.0,0.0,0.0,0.0,0.205,1.0,0.0,0.0,1.0,0.205,1.0,0.0
