fallback,floor,RC_D,RC_W,RC_M,RC_Q,rho_signed,rho_cost
FB_CASH,0.1,-0.8939,-0.516,-0.5665,-0.374,0.8,-0.8
FB_CASH,0.25,-0.8939,-0.8502,-0.5665,-0.374,1.0,-1.0
FB_CASH,0.4,-0.8939,-0.8502,-0.5665,-0.374,1.0,-1.0
FB_CASH,0.5,-0.8939,-0.8502,-0.5665,-0.374,1.0,-1.0
FB_CASH,0.75,-0.8939,-0.8502,-0.7438,-0.5409,1.0,-1.0
FB_CASH,0.9,-0.8939,-0.9008,-0.8467,-0.6578,0.8,-0.8
FB_SPY,0.1,-0.0188,0.3608,0.3104,0.5029,0.8,-0.8
FB_SPY,0.25,-0.0188,0.0239,0.3104,0.5029,1.0,-1.0
FB_SPY,0.4,-0.0188,0.0239,0.3104,0.5029,1.0,-1.0
FB_SPY,0.5,-0.0188,0.0239,0.3104,0.5029,1.0,-1.0
FB_SPY,0.75,-0.0188,0.0239,0.1303,0.3332,1.0,-1.0
FB_SPY,0.9,-0.0188,-0.0258,0.0283,0.2172,0.8,-0.8
FB_LIVE,0.1,0.0871,0.0441,-0.0064,0.1862,0.2,-0.2
FB_LIVE,0.25,0.0871,0.0682,-0.0064,0.1862,0.2,-0.2
FB_LIVE,0.4,0.0871,0.0682,-0.0064,0.1862,0.2,-0.2
FB_LIVE,0.5,0.0871,0.0682,-0.0064,0.1862,0.2,-0.2
FB_LIVE,0.75,0.0871,0.0682,0.1745,0.3774,0.8,-0.8
FB_LIVE,0.9,0.0871,0.0801,0.1342,0.3231,0.8,-0.8
