panel,dial,dial_class,book,cad_axis,value,is_default,turnover,sh_full_0,cagr_full_0,dd_full_0,h1_0,h2_0,sh_is_0,sh_oos_0,cagr_oos_0,dd_oos_0,sh_full_10,cagr_full_10,dd_full_10,h1_10,h2_10,sh_is_10,sh_oos_10,cagr_oos_10,dd_oos_10,p4a_full,p4b_full,p4a_oos,p4b_oos,sh_full_25,cagr_full_25,dd_full_25,h1_25,h2_25,sh_is_25,sh_oos_25,cagr_oos_25,dd_oos_25,sh_full_50,cagr_full_50,dd_full_50,h1_50,h2_50,sh_is_50,sh_oos_50,cagr_oos_50,dd_oos_50
u56,n,SELECTION,TOP20,W,5,False,17.64409375243751,1.0652477220186114,0.19047237458688637,-0.21927229629379907,1.0265851103986887,1.1053004842173464,1.0185986368131266,1.103272474490519,0.21153554630416127,-0.2192722962937983,0.9667544084865353,0.16967319240573864,-0.22406705962299223,0.9178284994073742,1.0146391073536971,0.9112949252134506,1.0105497998579775,0.19029660471396026,-0.224067059622992,False,False,False,False,0.8185591135059054,0.13913486908260442,-0.23120976994547215,0.7542047467409257,0.8782200891706791,0.7498592246083442,0.8710289732714098,0.15911496766784317,-0.2312097699454716,0.5709441491687918,0.08995078760979003,-0.25940894806341075,0.48099337019358246,0.6501764039040214,0.4802883899839611,0.637820598077322,0.10890086536231336,-0.25940894806341064
u56,n,SELECTION,TOP20,W,10,False,13.819792227728966,1.073251477901786,0.1541921717074688,-0.17473582301618507,1.0500270603047543,1.0992273751363357,0.9890055797187218,1.1379364220565182,0.174144080607751,-0.17473582301618495,0.9770658491708996,0.1383663626444469,-0.17538177907122454,0.9455776264956082,1.0095184648359181,0.8853907345935373,1.0468152417584777,0.15804192761945557,-0.17538177907122454,False,False,False,True,0.8323688809508387,0.11502362912296027,-0.17635023310849196,0.7884332086207735,0.8745746096129976,0.7295245754790698,0.9097337830917986,0.13429173238271774,-0.17635023310849174,0.5905630658900082,0.0771522045272599,-0.2020383112656602,0.5258786476144474,0.649034887939989,0.46916009896330124,0.6805966230526714,0.0957595969676095,-0.17796304312760225
u56,n,SELECTION,TOP20,W,15,False,11.39358960677211,1.1678730666288366,0.15322253332215108,-0.20079365569880414,1.2308940696082102,1.1220270862565396,1.1534825188830757,1.182200712761685,0.16413181522899345,-0.20079365569880392,1.0798520808303316,0.1401662953276266,-0.20262150460488337,1.133394831213381,1.0414715246434054,1.0561158001711015,1.1006650699850509,0.1512455604704408,-0.20262150460488382,False,False,False,False,0.9475052070383526,0.12085194804886434,-0.20535817487267582,0.986725006380764,0.9203915078207725,0.909677696919639,0.9780902356370651,0.1321766421282624,-0.20535817487267594,0.7264348718525349,0.08936852014599106,-0.2099057038580251,0.7416203954386502,0.7182050442719311,0.6650420846666818,0.7733573601309497,0.10107754643467048,-0.20990570385802554
u56,n,SELECTION,TOP20,W,20,True,9.372281579914576,1.2055659202743094,0.14872976684510686,-0.18393035277281933,1.2561279549543036,1.167513260637691,1.1715100700340608,1.2333380309691735,0.15935073311111658,-0.18393035277281966,1.128217060385515,0.13801936405104276,-0.18445130122957365,1.1732263370770513,1.0946167955322124,1.088730327352267,1.159894713731626,0.14864488265270537,-0.18445130122957365,False,True,False,True,1.0119613399214862,0.12213625026129704,-0.18523234617549067,1.0485737815126184,0.9850864371769087,0.9642955790747828,1.049518655331576,0.13276672566620107,-0.185232346175491,0.8178164729686224,0.09614386099839822,-0.1873835801188437,0.840307041343274,0.80223767655948,0.7564809277232489,0.8651987290830443,0.10677775144289181,-0.18738358011884348
u56,n,SELECTION,TOP20,W,30,False,6.721596383618174,1.1701589876169514,0.13351123502425288,-0.1709860130688854,1.163877269702719,1.1781796123539214,1.0771633091293258,1.2440856791294848,0.14554997889898313,-0.17098601306888528,1.11052892611473,0.12592241796810177,-0.17152055698324153,1.1025760479620745,1.1199481599875125,1.0165734416759107,1.1852056916378704,0.137841781999676,-0.17152055698324176,False,True,False,True,1.020931023329712,0.11463212289094638,-0.17232200897229943,1.0104682319636074,1.0324507852557225,0.9255463725774232,1.0967249689769951,0.1263743449022947,-0.1723220089722992,0.8712983883251075,0.0960601504495191,-0.17365679213989504,0.8566521311201474,0.8863194143328261,0.7735642660818931,0.9489298588291705,0.10751220890224888,-0.17365679213989504
u56,n,SELECTION,TOP20,W,40,False,4.478039907241149,1.1830108253317877,0.1296339606567991,-0.16949612883446663,1.2199246929632952,1.1499998843599013,1.132443971676132,1.224138057860986,0.13520259422144076,-0.1694961288344662,1.1416240963925193,0.12458987030590118,-0.1697633036165962,1.1810990638153152,1.1061755838378922,1.0948044400623325,1.1797000096162003,0.12972909386182496,-0.1697633036165963,False,True,False,True,1.0794630639962532,0.11706491811265463,-0.17016399395152992,1.122803897349982,1.0403368377301951,1.038296654547732,1.1129331873131387,0.12156708442532271,-0.17016399395152948,0.9756815669140141,0.10463237663763136,-0.1708316196178441,1.0255223253667631,0.9303761895378457,0.9440135165902435,1.0014077163125867,0.10809139647525412,-0.1708316196178442
u56,n,SELECTION,TOP20,W,60,False,1.2387077755046672,1.1545203733603941,0.10324478309336649,-0.1519742750208921,1.1838936399437117,1.1342711972093051,1.0868707823487975,1.207598017459255,0.11177356079376399,-0.1519742750208921,1.1404983465401777,0.10187931227854041,-0.15206394460248196,1.1708730092249078,1.119310740196935,1.07384611787143,1.192796028838683,0.11027421324167785,-0.15206394460248218,False,False,False,True,1.1194534214085887,0.099834159892918,-0.15219843896337304,1.1513361520106664,1.0968537547137522,1.0543040124401726,1.170575810836928,0.10802883125379892,-0.15219843896337248,1.0843490689384199,0.09643370047870059,-0.1524225695351571,1.1187603106869397,1.0593849381381142,1.0217215529078623,1.1334990699147731,0.1042962126299718,-0.15242256953515698
u56,n,SELECTION,TOP20,D,5,False,42.780040741388575,1.0706214291564335,0.18777282847316235,-0.21583047283046575,1.0858260994885562,1.063459257639178,1.0552515167222694,1.0853447846151605,0.20143587006412256,-0.21583047283046575,0.825796250006188,0.13803561896357164,-0.22615889691826774,0.8227147265178769,0.8329367984728053,0.7937998258525657,0.8517466530561916,0.15076960794486727,-0.2261588969182674,False,False,False,False,0.45891162149161285,0.06727705777504611,-0.25518815706168096,0.42835521784586206,0.48753242958052806,0.40193832044618805,0.5017224416807134,0.07871714760522752,-0.25518815706167974,-0.15005794667137592,-0.04108605797929876,-0.5996479758265456,-0.22614691571647919,-0.08582737362183791,-0.24838428617531824,-0.07931762809565797,-0.031559582304965805,-0.4211380393612768
u56,n,SELECTION,TOP20,D,10,False,32.65891031522989,1.0918297183938366,0.15476298734879457,-0.19888289888790855,1.027368143958914,1.152777724879908,0.9505155605495524,1.19866100436213,0.1810149694292238,-0.19888289888790867,0.8601081848088583,0.11767569370365072,-0.20280574466931556,0.7749097637181187,0.9378127140293261,0.698618408199727,0.9811348729806841,0.14361999549477789,-0.20280574466931556,False,False,False,False,0.5123975912766306,0.06425208717447362,-0.20865677121292014,0.3960850208393395,0.61524488297316,0.32067610985227585,0.6546990158905623,0.08972194369542374,-0.20865677121292037,-0.06664632074447129,-0.01920763090944677,-0.4457096386625168,-0.23458136366150945,0.07795045098626996,-0.3084341805768648,0.11092080626086248,0.0054430496518198535,-0.27193494946607744
u56,n,SELECTION,TOP20,D,15,False,27.16147760656362,1.1503738491221738,0.14879627307697518,-0.20424021586168561,1.1749585643794893,1.1358143890355694,1.09882087026835,1.1913739382886375,0.1628750298420194,-0.20424021586168561,0.9377305497682134,0.1180275313685124,-0.20731584148841586,0.9404778508810578,0.9406108103336762,0.8663157504487812,0.992687509191811,0.13227205996200575,-0.20731584148841564,False,False,False,False,0.6186369075767487,0.07340364269481503,-0.21190871681635481,0.5886688991555347,0.6476537742509045,0.517427521862031,0.6945301271675708,0.08786216676366787,-0.2119087168163546,0.08698017546608545,0.002930701655764034,-0.2947675560929368,0.0027635865090001924,0.15938435498328912,-0.06374294012614592,0.19767940397766626,0.017660478534734958,-0.27382717402377177
