book,family,panel,freq,label,turn_yr,full_CAGR,full_Sharpe,full_MaxDD,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4b,fail4b,keep4a,keep4b_OOSlocal,c_star,D_star,c_star_IS,D_star_IS,c_star_OOS,D_star_OOS,cs_OOSLOC_R11,cs_OOSLOC_FINE,cs_OOSLOC_COARSE,cs_OOSLOC_CONT,chat_OOSLOC,cs_FIXED_R11,cs_FIXED_FINE,cs_FIXED_COARSE,cs_FIXED_CONT,chat_FIXED,cost_surv_R11,cost_surv_OOS_R11,c_hat_IS,NEGTURN,INVTURN,csIS_R11,csOOS_R11,csIS_FINE,csOOS_FINE,csIS_COARSE,csOOS_COARSE,csIS_CONT,csOOS_CONT
TOPN-n10,TOPN,U56,W,"u56 top10 composite, W, g0.75",13.968748331029659,0.1309675977223279,0.932033466327814,-0.17538205535337614,0.1091029670484227,0.8514675093099926,-0.13937899213759564,0.14930516690322904,0.9934323919603396,-0.17538205535337648,FAIL,H1,FAIL,PASS,5.365568399429321,77.01969146728516,-1.0,-1.0,15.819257497787476,231.53114318847656,15.0,14.0,0.0,15.819257497787476,16.5749384054806,5.0,4.0,0.0,5.365568399429321,5.513714589316243,5.0,15.0,-1.0,-13.968748331029659,0.07158837544367788,-1.0,15.0,-1.0,14.0,-1.0,0.0,-1.0,15.819257497787476
TOPN-n20,TOPN,U56,W,"u56 top20 composite, W, g0.75",10.447126802965489,0.12778534248203832,1.0632204595128434,-0.1830834144627017,0.10810124581844649,0.9765495035428563,-0.11846710934713856,0.14426535084279468,1.129600365408191,-0.18308341446270193,PASS,-none-,FAIL,PASS,22.0500648021698,233.22904109954834,-1.0,-1.0,37.90521025657654,427.7259111404419,30.0,36.0,25.0,37.90521025657654,40.941966074253926,20.0,22.0,0.0,22.0500648021698,22.32470663927853,20.0,30.0,-1.0,-10.447126802965489,0.09572009786615619,-1.0,30.0,-1.0,36.0,-1.0,25.0,-1.0,37.90521025657654
TOPN-n30,TOPN,U56,W,"u56 top30 composite, W, g0.75",8.827479270152265,0.11488102483363827,1.0508055189870094,-0.1746788191986055,0.09471103549083981,0.9231755169310052,-0.11689975197184366,0.13177783261391696,1.1487608656155242,-0.1746788191986054,PASS,-none-,FAIL,PASS,17.914170026779175,157.44942426681519,0.03339052200317383,0.30475854873657227,33.2186222076416,312.63017654418945,30.0,32.0,25.0,33.2186222076416,35.41556620826784,15.0,16.0,0.0,17.914170026779175,17.836283660182342,15.0,30.0,0.03452384756847075,-8.827479270152265,0.11328262229753738,0.0,30.0,0.0,32.0,0.0,25.0,0.03339052200317383,33.2186222076416
TOPN-n40,TOPN,U56,W,"u56 top40 composite, W, g0.75",8.018833544387626,0.10693445113214817,1.0477800209785486,-0.16663444458906895,0.09166500795673005,0.9415619662037976,-0.11065309036041915,0.11967515711170984,1.1306127040939262,-0.16663444458906884,PASS,-none-,FAIL,PASS,10.850393772125244,91.43191576004028,-1.0,-1.0,22.897112369537354,197.015643119812,20.0,22.0,0.0,22.897112369537354,24.569114950353732,10.0,10.0,0.0,10.850393772125244,11.402146615704899,10.0,20.0,-1.0,-8.018833544387626,0.12470641701995412,-1.0,20.0,-1.0,22.0,-1.0,0.0,-1.0,22.897112369537354
BUF-m10,BUF,U56,W,"u56 top20 + rank buffer m=10, W, g0.75",6.062047718021161,0.12703887823851967,1.0697580567739555,-0.1865794716378819,0.09926356170917727,0.9181846614718348,-0.12010728728672415,0.15044924958535444,1.183040276048946,-0.18657947163788213,PASS,-none-,FAIL,PASS,24.74767565727234,146.35783433914185,-1.0,-1.0,53.52667570114136,395.10107040405273,50.0,52.0,50.0,53.52667570114136,65.176172934024,20.0,24.0,0.0,24.74767565727234,24.143299615417337,20.0,50.0,-1.0,-6.062047718021161,0.1649607602109788,-1.0,50.0,-1.0,52.0,-1.0,50.0,-1.0,53.52667570114136
BUF-m20,BUF,U56,W,"u56 top20 + rank buffer m=20, W, g0.75",5.028642119445499,0.1282413390173136,1.1168305185683665,-0.17244981000039827,0.09983917846477852,0.9577757995151831,-0.11085656910319397,0.15219188963648755,1.23543913426136,-0.1724498100003985,PASS,-none-,FAIL,PASS,45.572930574417114,216.724693775177,1.309812068939209,6.663978099822998,76.54580473899841,451.41905546188354,75.0,76.0,50.0,76.54580473899841,89.76957292631134,40.0,44.0,25.0,45.572930574417114,43.0980548281839,40.0,75.0,1.3252042880629225,-5.028642119445499,0.1988608408089038,0.0,75.0,0.0,76.0,0.0,50.0,1.309812068939209,76.54580473899841
BUF-m50,BUF,U56,W,"u56 top20 + rank buffer m=50, W, g0.75",4.685656498343165,0.12428920357802342,1.1422465715073455,-0.15188688419202856,0.10087100588992937,1.004800750389571,-0.10833795604635221,0.14395708724705125,1.246258466690956,-0.1518868841920289,PASS,-none-,FAIL,PASS,43.21429133415222,211.7796540260315,2.7571499347686768,13.260364532470703,75.42605400085449,375.34576654434204,75.0,74.0,50.0,75.42605400085449,80.10526735731979,40.0,42.0,25.0,43.21429133415222,45.19743478868248,40.0,75.0,2.829990746688224,-4.685656498343165,0.21341726615119935,0.0,75.0,2.0,74.0,0.0,50.0,2.7571499347686768,75.42605400085449
TOPND-m20,TOPND,U56,D,"u56 top20 DAILY + buffer m=20 (fixed g/n), D, g0.75",5.842808503523151,0.12310108575407286,1.140761808055022,-0.15745874431555962,0.09573006830678965,0.9655738345222267,-0.12022241625937302,0.14616479929164772,1.272475571163083,-0.1574587443155595,PASS,-none-,FAIL,PASS,34.70802307128906,213.81622552871704,-1.0,-1.0,66.07213020324707,406.4204692840576,50.0,66.0,50.0,66.07213020324707,69.55909457566347,30.0,34.0,25.0,34.70802307128906,36.59476866301337,30.0,50.0,-1.0,-5.842808503523151,0.17115056901094922,-1.0,50.0,-1.0,66.0,-1.0,50.0,-1.0,66.07213020324707
TOPND-m50,TOPND,U56,D,"u56 top20 DAILY + buffer m=50 (fixed g/n), D, g0.75",5.478328032519784,0.11783458915117473,1.1582316284744965,-0.1237392928843456,0.09424974321521362,0.990643960461853,-0.11906598004704683,0.13764740038429513,1.2863820666290864,-0.12373929288434582,PASS,-none-,FAIL,PASS,28.21517586708069,162.94056177139282,-1.0,-1.0,57.57701396942139,327.0961046218872,50.0,56.0,50.0,57.57701396942139,59.70728709201405,25.0,28.0,25.0,28.21517586708069,29.742753775269556,25.0,50.0,-1.0,-5.478328032519784,0.18253744464806082,-1.0,50.0,-1.0,56.0,-1.0,50.0,-1.0,57.57701396942139
BANDW-b0.00,BANDW,U56,W,"u56 EW-all 200d-MA gate (band 0), W, g1.00",3.9551621607211063,0.10928064852267316,1.1675941380508466,-0.15838542115080956,0.09496380678397842,1.0552140650364803,-0.11500952589961144,0.12121671507431775,1.255966149576692,-0.15838542115080978,PASS,-none-,FAIL,PASS,16.797924041748047,70.04588842391968,-1.0,-1.0,39.65939283370972,166.80490970611572,30.0,38.0,25.0,39.65939283370972,42.173974903649416,15.0,16.0,0.0,16.797924041748047,17.709991544606833,15.0,30.0,-1.0,-3.9551621607211063,0.2528341340668772,-1.0,30.0,-1.0,38.0,-1.0,25.0,-1.0,39.65939283370972
