claim,panel,book,signal,stat,g,bps,lit,sta,mat,ratio_mat_over_lit,sign_flip,shrinks_half,MAGNIFIES,DEPENDS
38/56 vol60 is the larger destroyer (small n=40),small,R40,mom,d_vol60,0.75,10.0,-0.27218038357891705,-0.2850906133042721,-0.28506489871403684,1.047338147465664,False,False,False,False
38/56 vol60 is the larger destroyer (small n=40),small,R40,mom,d_vol60,0.75,25.0,-0.33279666958547494,-0.3460100062198075,-0.34597857480872185,1.0396094865963232,False,False,False,False
38/56 vol60 is the larger destroyer (small n=40),small,R40,mom,d_vol60,1.0,10.0,-0.27174015091740533,-0.28411456759666065,-0.2840828294825798,1.0454208865473325,False,False,False,False
38/56 vol60 is the larger destroyer (small n=40),small,R40,mom,d_vol60,1.0,25.0,-0.33228539414632546,-0.34497016858476454,-0.34493568841126304,1.0380705697204582,False,False,False,False
38/56 200d gate cost (small n=40),small,R40,mom,d_200d,0.75,10.0,-0.10447868211082212,-0.116758345163687,-0.11675246054076605,1.1174763902259501,False,False,False,False
38/56 200d gate cost (small n=40),small,R40,mom,d_200d,0.75,25.0,-0.12251285229156872,-0.13432911217677068,-0.1343220385503735,1.0963914074149548,False,False,False,False
38/56 200d gate cost (small n=40),small,R40,mom,d_200d,1.0,10.0,-0.1041869669254818,-0.11619119156259172,-0.1161842648525484,1.1151516190662072,False,False,False,False
38/56 200d gate cost (small n=40),small,R40,mom,d_200d,1.0,25.0,-0.12232661952893875,-0.13382689695634642,-0.13381999898009134,1.0939564871114058,False,False,False,False
38/56 both-gate cost (small n=40),small,R40,mom,d_both,0.75,10.0,-0.3545845506837402,-0.3618127146114734,-0.36178433369451934,1.02030484124843,False,False,False,False
38/56 both-gate cost (small n=40),small,R40,mom,d_both,0.75,25.0,-0.42997750265509266,-0.4375901304411025,-0.43754476228777617,1.017599198995194,False,False,False,False
38/56 both-gate cost (small n=40),small,R40,mom,d_both,1.0,10.0,-0.35490793630329903,-0.3617301738518097,-0.36169732219455364,1.019129991743697,False,False,False,False
38/56 both-gate cost (small n=40),small,R40,mom,d_both,1.0,25.0,-0.43033995105450557,-0.4373394768748129,-0.4372940621430932,1.0161595758691409,False,False,False,False
38/56 four-way spread (small n=40),small,R40,mom,spread,0.75,10.0,0.3545845506837402,0.3618127146114734,0.36178433369451934,1.02030484124843,False,False,False,False
38/56 four-way spread (small n=40),small,R40,mom,spread,0.75,25.0,0.42997750265509266,0.4375901304411025,0.43754476228777617,1.017599198995194,False,False,False,False
38/56 four-way spread (small n=40),small,R40,mom,spread,1.0,10.0,0.35490793630329903,0.3617301738518097,0.36169732219455364,1.019129991743697,False,False,False,False
38/56 four-way spread (small n=40),small,R40,mom,spread,1.0,25.0,0.43033995105450557,0.4373394768748129,0.4372940621430932,1.0161595758691409,False,False,False,False
"49/51 gate CAGR cost, equal-weight (small)",small,EWall,-,dCAGR_both,0.75,10.0,-0.08519090742060031,-0.08451389697602507,-0.06515497919042579,0.7648114236974359,False,False,False,False
"49/51 gate CAGR cost, equal-weight (small)",small,EWall,-,dCAGR_both,0.75,25.0,-0.08836971496443935,-0.09026684375274696,-0.08287445869851817,0.9378151636210152,False,False,False,False
"49/51 gate CAGR cost, equal-weight (small)",small,EWall,-,dCAGR_both,1.0,10.0,-0.1096180812817027,-0.10876019159009997,-0.08605475791295292,0.7850416364413876,False,False,False,False
"49/51 gate CAGR cost, equal-weight (small)",small,EWall,-,dCAGR_both,1.0,25.0,-0.11378481406930385,-0.11634208778739885,-0.10952251313482364,0.9625406872670712,False,False,False,False
"49/51 gate Sharpe cost, equal-weight (small)",small,EWall,-,d_both,0.75,10.0,-0.3423971259689521,-0.34317373430008064,-0.3420218354526308,0.9989039320489059,False,False,False,False
"49/51 gate Sharpe cost, equal-weight (small)",small,EWall,-,d_both,0.75,25.0,-0.43830392748210134,-0.47963705004625323,-0.4758062249729285,1.0855623122208016,False,False,False,False
"49/51 gate Sharpe cost, equal-weight (small)",small,EWall,-,d_both,1.0,10.0,-0.3410694803507435,-0.34180355798582945,-0.34018946855521004,0.9974198459661987,False,False,False,False
"49/51 gate Sharpe cost, equal-weight (small)",small,EWall,-,d_both,1.0,25.0,-0.43686406002067485,-0.47768196772434823,-0.47250901765696973,1.0815927902940974,False,False,False,False
gate rows on u56 (n=40),u56,R40,mom,d_both,0.75,10.0,-0.020154183089391653,-0.09089533599964916,-0.09092048725927304,4.511246467098431,False,False,True,False
gate rows on u56 (n=40),u56,R40,mom,d_both,0.75,25.0,-0.06241879599953881,-0.17003115841010785,-0.169698865976729,2.7187141831121324,False,False,True,False
gate rows on u56 (n=40),u56,R40,mom,d_both,1.0,10.0,-0.020498671777368305,-0.09108491012425035,-0.09119892685848097,4.449016397207245,False,False,True,False
