panel,constr,tilt,m,n,g,signed_dCAGR,dSharpe,c_INC,c_OVL,c_FLAT,overlap
u56,lit,INV,0.05,2,0.13486701786646482,-0.13486701786646482,-0.34284241502169,0.006292761030568528,0.06918788015318766,0.001,0.06854021175940526
u56,lit,INV,0.1,4,0.13108064393428198,-0.13108064393428198,-0.40806250694074886,0.0052148209823996705,0.05908644965082226,0.001,0.15936262993595723
u56,lit,INV,0.15,6,0.07805025398952825,-0.07805025398952825,-0.21528593987070277,0.004850496944206251,0.04855924757828339,0.001,0.25683492310547956
u56,lit,INV,0.2,7,0.06754423063322856,-0.06754423063322856,-0.1769653957030669,0.003686930540861777,0.044036945257940975,0.001,0.3043349681781761
u56,lit,INV,0.3,11,0.036375865144778974,-0.036375865144778974,-0.03992904452047785,0.0020370845762525125,0.030446537918040507,0.001,0.4598868432407019
u56,lit,INV,0.4,15,0.040616308676087565,-0.040616308676087565,-0.14108582247392154,0.0010298852597800945,0.021725703987384548,0.001,0.579908796792275
u56,lit,INV,0.53,20,0.026806154694505313,-0.026806154694505313,-0.09630785128202268,0.0008345800546647464,0.014616738004054965,0.001,0.6935221299088437
u56,lit,INV,0.7,26,0.014528729123664874,-0.014528729123664874,-0.053453151042594405,0.0004427080836759689,0.00906893444469475,0.001,0.7995925145936225
u56,lit,INV,0.85,32,0.00805088104014895,-0.00805088104014895,-0.021253276973545843,0.00022367720668037272,0.00532746677179545,0.001,0.8776308349858641
u56,lit,INV,1.0,37,0.006133475749220407,-0.006133475749220407,-0.027837180427500385,1.441654034817219e-06,0.0027905298855963423,0.001,0.9327712345795801
u56,lit,POS,0.05,2,0.012462365277386533,0.012462365277386533,-0.032284671558830524,0.0038335122431341073,0.032571525118269884,0.001,0.48531951640759935
u56,lit,POS,0.1,4,0.004522040727132692,-0.004522040727132692,-0.11816688069355774,0.00251416582580255,0.02489699256589322,0.001,0.5459927697143286
u56,lit,POS,0.15,6,0.029482744361455815,0.029482744361455815,0.05573867632849727,0.0018590469860138015,0.020380265825636405,0.001,0.6053024045364662
u56,lit,POS,0.2,7,0.029422959540070792,0.029422959540070792,0.06742158883775096,0.001139740768489439,0.019488173011939624,0.001,0.6203712534868201
u56,lit,POS,0.3,11,0.03528140407093039,0.03528140407093039,0.13423217250327846,0.000208773984567312,0.015830961109176922,0.001,0.674299863909507
u56,lit,POS,0.4,15,0.01878517289032433,0.01878517289032433,0.06469269586165072,0.0004020308808285744,0.012304798378013066,0.001,0.7385091086426073
u56,lit,POS,0.53,20,0.005171585620462382,0.005171585620462382,-0.009774297825963174,0.0002677600827278859,0.009124284748817301,0.001,0.7991699702848111
u56,lit,POS,0.7,26,0.006157855877907847,0.006157855877907847,0.011721084081121269,0.0003434698930024904,0.006443888956279136,0.001,0.8527067440218482
u56,lit,POS,0.85,32,0.001957364507862547,0.001957364507862547,-0.012628742144493721,0.00029211675232465595,0.0036177278103176396,0.001,0.9137145426632014
