kappa,IS_corpus_admits,IS_victims_admitted,IS_victims,IS_ladder_admitted
0.0,54,9,9,108
0.005,37,8,9,100
0.01,37,8,9,58
0.015,35,8,9,31
0.02,30,8,9,0
0.025,30,8,9,0
0.03,29,8,9,0
0.035,28,8,9,0
0.04,25,8,9,0
0.045,25,8,9,0
0.05,22,8,9,0
0.055,22,8,9,0
0.06,21,8,9,0
0.065,19,8,9,0
0.07,19,8,9,0
0.075,18,8,9,0
0.08,17,8,9,0
0.085,16,8,9,0
0.09,16,8,9,0
0.095,14,8,9,0
0.1,14,8,9,0
0.105,14,8,9,0
0.11,14,8,9,0
0.115,13,8,9,0
0.12,12,8,9,0
0.125,10,8,9,0
0.13,10,8,9,0
0.135,10,8,9,0
0.14,10,8,9,0
0.145,10,8,9,0
0.15,10,8,9,0
0.155,10,8,9,0
0.16,10,8,9,0
0.165,10,8,9,0
0.17,10,8,9,0
0.175,10,8,9,0
0.18,10,8,9,0
0.185,9,8,9,0
0.19,9,8,9,0
0.195,9,8,9,0
0.2,9,8,9,0
0.205,8,8,9,0
0.21,8,8,9,0
0.215,8,8,9,0
0.22,8,8,9,0
0.225,8,8,9,0
0.23,8,8,9,0
0.235,8,8,9,0
0.24,8,8,9,0
0.245,7,7,9,0
0.25,7,7,9,0
0.255,7,7,9,0
0.26,7,7,9,0
0.265,7,7,9,0
0.27,7,7,9,0
0.275,7,7,9,0
0.28,7,7,9,0
0.285,4,4,9,0
0.29,4,4,9,0
0.295,1,1,9,0
0.3,1,1,9,0
0.305,0,0,9,0
0.31,0,0,9,0
0.315,0,0,9,0
0.32,0,0,9,0
0.325,0,0,9,0
0.33,0,0,9,0
0.335,0,0,9,0
0.34,0,0,9,0
0.345,0,0,9,0
0.35,0,0,9,0
0.355,0,0,9,0
0.36,0,0,9,0
0.365,0,0,9,0
0.37,0,0,9,0
0.375,0,0,9,0
0.38,0,0,9,0
0.385,0,0,9,0
0.39,0,0,9,0
0.395,0,0,9,0
0.4,0,0,9,0
