panel,estimator,clone,disjoint,iid,resolution,has_res
U56,E_PR_RAW,1.000034548544239,1.8185296505150357,5.994986079483532,0.16386447333891946,False
U56,E_PR_XS,1.0001261638619932,4.870795840007233,4.996350167571906,0.9685817593187683,True
U56,E_PR_RESID,1.0001269609350092,4.8542220398101215,5.994962623183024,0.7716159928954516,True
U56,E_ENT_RAW,1.0002067498217109,2.73785871033713,5.997499761847945,0.34771864614175585,False
U56,E_ENT_XS,1.0006733669378076,4.933854842618031,4.998177922283149,0.983909191653301,True
U56,E_SL_BAR,1.0,4.0,6.0,0.6,True
B136,E_PR_RAW,1.0000409706655873,1.740916879143731,5.997214109818516,0.14825900320990876,False
B136,E_PR_XS,1.0001504848338598,4.936578547386068,4.9980316184041955,0.9846285897541814,True
B136,E_PR_RESID,1.0001177608101999,4.371683512619826,5.997206379592019,0.6747060156462743,True
B136,E_ENT_RAW,1.0002416985778217,2.6205325863724047,5.998608090805203,0.32416408895398036,False
B136,E_ENT_XS,1.0007899508096758,4.967471492806309,4.999015078695503,0.9921106028599561,True
B136,E_SL_BAR,1.0,6.0,6.0,1.0,True
SMALL663,E_PR_RAW,1.0000744907909975,2.4293311334635175,5.993608920300636,0.2862214455208777,False
SMALL663,E_PR_XS,1.0002776639255142,4.984984686824821,4.996414016060977,0.9971399050910641,True
SMALL663,E_PR_RESID,1.0001699125884742,4.3415094275642625,5.993530199332797,0.6691565044577117,True
SMALL663,E_ENT_RAW,1.0004172303999286,3.5895659808960736,5.996791979222282,0.5182054751010037,True
SMALL663,E_ENT_XS,1.0013728358609355,4.992423278370204,4.998201838556898,0.9985542138072967,True
SMALL663,E_SL_BAR,1.0,5.0,6.0,0.8,True
