panel,band,gross,CAGR,Sharpe,MaxDD,H1,H2,v4a,v4b,cagr_ok,dd_ok,sh_ok
U56,0.03,0.75,0.08618880526313721,1.201049296027575,-0.12054941914043871,1.227649981048117,1.1806425080695122,False,False,False,True,True
U56,0.03,1.0,0.1153191786231531,1.200878454109093,-0.15910987917823594,1.2281835794559803,1.179899498461077,False,True,True,True,True
U56,0.03,1.25,0.1445830420647647,1.200546203100754,-0.196857554871524,1.2285637375912706,1.1789916189363672,False,True,True,True,True
U56,0.03,1.5,0.17393368636909368,1.2000370603122854,-0.23379495354413082,1.2287796779793208,1.1778994680185622,False,False,True,False,True
U56,0.03,1.75,0.20332710561753964,1.1993709701516293,-0.26991734744885076,1.2288411716100163,1.176652498522962,False,False,True,False,True
U56,0.03,2.0,0.2327208002877561,1.1985735331608924,-0.3052194502139841,1.228778783138396,1.175272353497043,False,False,True,False,True
U56,0.08,0.75,0.08504618708254919,1.1449087260542687,-0.14466922672280624,1.2379710184682027,1.068576399582661,False,False,False,True,True
U56,0.08,1.0,0.11368747780890187,1.144464965461653,-0.1905060740936313,1.2384086127263643,1.0675787970221098,False,True,True,True,True
U56,0.08,1.25,0.14240097980566513,1.143837860885289,-0.23515140658163525,1.2386790230356837,1.066401895773577,False,False,True,False,True
U56,0.08,1.5,0.17113376739989894,1.1430020527948836,-0.2786109679288158,1.2387603373059584,1.0650191120717243,False,False,True,False,True
U56,0.08,1.75,0.19983761782803855,1.141982311072112,-0.3208809878014869,1.2386716594241827,1.0634628479121666,False,False,True,False,True
U56,0.08,2.0,0.22846591563093765,1.1408056204959363,-0.3619534002553044,1.2384519927741884,1.0617528723834462,False,False,True,False,True
B136,0.03,0.75,0.07958992027840184,1.0972023061715337,-0.12241069123223436,1.2295511956034644,0.966907033404254,False,False,False,True,True
B136,0.03,1.0,0.10627284809226034,1.0971123929391091,-0.16158091944280462,1.230583837026983,0.9658447966413933,False,True,True,True,True
B136,0.03,1.25,0.13296223174691724,1.0968657348334574,-0.19993374823726207,1.2314624235933282,0.9646310020700866,False,True,True,True,True
B136,0.03,1.5,0.15961153105724946,1.096456169523242,-0.23746586354817178,1.2321844555286094,0.9632565065851867,False,False,True,False,True
B136,0.03,1.75,0.1861749646568467,1.0958967549274907,-0.2741714598385506,1.23276153020862,0.9617364964077515,False,False,True,False,True
B136,0.03,2.0,0.2126081171511629,1.0952079248736613,-0.3100432807383734,1.2332174009476566,0.9600888116636487,False,False,True,False,True
B136,0.08,0.75,0.08494427758987166,1.1152744077829528,-0.14814260085415165,1.272510125216431,0.9637646586872758,False,False,False,True,True
B136,0.08,1.0,0.11350226150508624,1.1149780193350731,-0.19499212250678055,1.2734985493436068,0.9625227236383069,False,True,True,True,True
B136,0.08,1.25,0.14210341298226248,1.1144968688820818,-0.24058095761325016,1.2743172257681439,0.9611067061832238,False,False,True,False,True
B136,0.08,1.5,0.1706943800452556,1.1138183963904413,-0.2849090227041453,1.274956491917669,0.9595040913474513,False,False,True,False,True
B136,0.08,1.75,0.19922409553308817,1.1129606138033104,-0.3279689779133589,1.2754409547029395,0.9577303210832808,False,False,True,False,True
B136,0.08,2.0,0.2276425677835372,1.111945210115077,-0.3697519096902774,1.2757997795812577,0.955804164688128,False,False,True,False,True
