panel,chooser,family,lag,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,anchor_OOS_Sharpe,anchor_OOS_CAGR,anchor_OOS_MaxDD,v2_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,keep4a,keep4b
U56,ARGMAX IS Sharpe,BAND,2,1.0193833175210028,0.13725692748716734,1.110893302152904,-0.18321125255096005,1.1132618123019302,0.13425451420644618,-0.17990580976169324,1.276620821629499,0.09455179369762767,-0.12054956914840886,0.8736611364726746,0.1525745335844091,-0.33717289200673783,False,True
U56,ARGMAX IS margin over twin,BAND,2,1.0193833175210028,0.13725692748716734,1.110893302152904,-0.18321125255096005,1.1132618123019302,0.13425451420644618,-0.17990580976169324,1.276620821629499,0.09455179369762767,-0.12054956914840886,0.8736611364726746,0.1525745335844091,-0.33717289200673783,False,True
B136,ARGMAX IS Sharpe,STOP,3,1.1932882429160745,0.07634297971177362,0.6236363564584902,-0.21458301804313185,0.9498172545905195,0.1341260280803802,-0.19393547915174236,1.1016867720596069,0.07847283605551292,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301,False,False
B136,ARGMAX IS margin over twin,STOP,3,1.1932882429160745,0.07634297971177362,0.6236363564584902,-0.21458301804313185,0.9498172545905195,0.1341260280803802,-0.19393547915174236,1.1016867720596069,0.07847283605551292,-0.12241069123223403,0.8736721309012504,0.15257181383948715,-0.3371595330739301,False,False
SMALL,ARGMAX IS Sharpe,MAXVOL,21,0.5721391950673486,0.01733335649052936,0.1876630102896274,-0.38102245068453766,0.46685868838374495,0.06898755734477424,-0.2854671132533998,0.5457504412853388,0.03635375722473366,-0.14158634613008747,0.8736611364726746,0.1525745335844091,-0.33717289200673783,False,False
SMALL,ARGMAX IS margin over twin,MAXVOL,21,0.5721391950673486,0.01733335649052936,0.1876630102896274,-0.38102245068453766,0.46685868838374495,0.06898755734477424,-0.2854671132533998,0.5457504412853388,0.03635375722473366,-0.14158634613008747,0.8736611364726746,0.1525745335844091,-0.33717289200673783,False,False
