screen,thr,admitted,admit_share,precision,recall,lift
turnover ceiling,0.25,0,0.0,,0.0,
turnover ceiling,0.5,0,0.0,,0.0,
turnover ceiling,0.75,0,0.0,,0.0,
turnover ceiling,1.0,0,0.0,,0.0,
turnover ceiling,1.5,0,0.0,,0.0,
turnover ceiling,2.0,0,0.0,,0.0,
turnover ceiling,3.0,0,0.0,,0.0,
turnover ceiling,5.0,6,0.06666666666666667,0.3333333333333333,0.2222222222222222,3.333333333333333
turnover ceiling,8.0,11,0.12222222222222222,0.36363636363636365,0.4444444444444444,3.6363636363636362
turnover ceiling,15.0,34,0.37777777777777777,0.23529411764705882,0.8888888888888888,2.352941176470588
turnover ceiling,1000000000.0,90,1.0,0.1,1.0,1.0
0-bps Sharpe bar,0.0,90,1.0,0.1,1.0,1.0
0-bps Sharpe bar,0.6,78,0.8666666666666667,0.11538461538461539,1.0,1.1538461538461537
0-bps Sharpe bar,0.8,64,0.7111111111111111,0.140625,1.0,1.40625
0-bps Sharpe bar,0.9,54,0.6,0.16666666666666666,1.0,1.6666666666666665
0-bps Sharpe bar,1.0,46,0.5111111111111111,0.1956521739130435,1.0,1.9565217391304348
0-bps Sharpe bar,1.1,24,0.26666666666666666,0.25,0.6666666666666666,2.5
0-bps Sharpe bar,1.2,0,0.0,,0.0,
0-bps Sharpe bar,1.3,0,0.0,,0.0,
0-bps Sharpe bar,1.4,0,0.0,,0.0,
0-bps Sharpe bar,-1000000000.0,90,1.0,0.1,1.0,1.0
