panel,cost,rule,pick,oos_sharpe,oos_cagr,oos_dd,anchor_oos,live_oos,spy_oos,best_oos,regret,beats_anchor,beats_live,beats_spy
U56,0,S1,BAND12/W,1.2844513289446058,0.1539521085303761,-0.19348000641665786,1.2467429121940627,1.3095985770043688,0.8820107671822842,1.36014127349189,0.07568994454728428,True,False,True
U56,0,S2,BAND12/W,1.2844513289446058,0.1539521085303761,-0.19348000641665786,1.2467429121940627,1.3095985770043688,0.8820107671822842,1.36014127349189,0.07568994454728428,True,False,True
U56,0,S3_0,BAND12/W,1.2844513289446058,0.1539521085303761,-0.19348000641665786,1.2467429121940627,1.3095985770043688,0.8820107671822842,1.36014127349189,0.07568994454728428,True,False,True
U56,0,S3_5,BAND12/W,1.2844513289446058,0.1539521085303761,-0.19348000641665786,1.2467429121940627,1.3095985770043688,0.8820107671822842,1.36014127349189,0.07568994454728428,True,False,True
U56,0,S3_10,BAND12/W,1.2844513289446058,0.1539521085303761,-0.19348000641665786,1.2467429121940627,1.3095985770043688,0.8820107671822842,1.36014127349189,0.07568994454728428,True,False,True
U56,0,S3_15,BAND12/W,1.2844513289446058,0.1539521085303761,-0.19348000641665786,1.2467429121940627,1.3095985770043688,0.8820107671822842,1.36014127349189,0.07568994454728428,True,False,True
U56,0,S3_20,BAND12/W,1.2844513289446058,0.1539521085303761,-0.19348000641665786,1.2467429121940627,1.3095985770043688,0.8820107671822842,1.36014127349189,0.07568994454728428,True,False,True
U56,0,S3_25,BAND12/W,1.2844513289446058,0.1539521085303761,-0.19348000641665786,1.2467429121940627,1.3095985770043688,0.8820107671822842,1.36014127349189,0.07568994454728428,True,False,True
U56,0,S4,BAND12/W,1.2844513289446058,0.1539521085303761,-0.19348000641665786,1.2467429121940627,1.3095985770043688,0.8820107671822842,1.36014127349189,0.07568994454728428,True,False,True
U56,0,S5,BAND12/W,1.2844513289446058,0.1539521085303761,-0.19348000641665786,1.2467429121940627,1.3095985770043688,0.8820107671822842,1.36014127349189,0.07568994454728428,True,False,True
U56,5,S1,BAND12/W,1.2753404690125967,0.15275474657652488,-0.19383697554321178,1.2073898010004953,1.2973382100776587,0.8820107671822842,1.3417208138660381,0.06638034485344146,True,False,True
U56,5,S2,BAND12/W,1.2753404690125967,0.15275474657652488,-0.19383697554321178,1.2073898010004953,1.2973382100776587,0.8820107671822842,1.3417208138660381,0.06638034485344146,True,False,True
U56,5,S3_0,BAND12/W,1.2753404690125967,0.15275474657652488,-0.19383697554321178,1.2073898010004953,1.2973382100776587,0.8820107671822842,1.3417208138660381,0.06638034485344146,True,False,True
U56,5,S3_5,BAND12/W,1.2753404690125967,0.15275474657652488,-0.19383697554321178,1.2073898010004953,1.2973382100776587,0.8820107671822842,1.3417208138660381,0.06638034485344146,True,False,True
U56,5,S3_10,BAND12/W,1.2753404690125967,0.15275474657652488,-0.19383697554321178,1.2073898010004953,1.2973382100776587,0.8820107671822842,1.3417208138660381,0.06638034485344146,True,False,True
U56,5,S3_15,BAND12/W,1.2753404690125967,0.15275474657652488,-0.19383697554321178,1.2073898010004953,1.2973382100776587,0.8820107671822842,1.3417208138660381,0.06638034485344146,True,False,True
U56,5,S3_20,BAND12/W,1.2753404690125967,0.15275474657652488,-0.19383697554321178,1.2073898010004953,1.2973382100776587,0.8820107671822842,1.3417208138660381,0.06638034485344146,True,False,True
U56,5,S3_25,BAND12/W,1.2753404690125967,0.15275474657652488,-0.19383697554321178,1.2073898010004953,1.2973382100776587,0.8820107671822842,1.3417208138660381,0.06638034485344146,True,False,True
U56,5,S4,BAND12/W,1.2753404690125967,0.15275474657652488,-0.19383697554321178,1.2073898010004953,1.2973382100776587,0.8820107671822842,1.3417208138660381,0.06638034485344146,True,False,True
U56,5,S5,BAND12/W,1.2753404690125967,0.15275474657652488,-0.19383697554321178,1.2073898010004953,1.2973382100776587,0.8820107671822842,1.3417208138660381,0.06638034485344146,True,False,True
U56,10,S1,BAND12/W,1.2662268036768585,0.15155854069853292,-0.19419391049794632,1.167991233806965,1.285072363206482,0.8820107671822842,1.3232415692887376,0.057014765611879126,True,False,True
U56,10,S2,BAND12/W,1.2662268036768585,0.15155854069853292,-0.19419391049794632,1.167991233806965,1.285072363206482,0.8820107671822842,1.3232415692887376,0.057014765611879126,True,False,True
U56,10,S3_0,BAND12/W,1.2662268036768585,0.15155854069853292,-0.19419391049794632,1.167991233806965,1.285072363206482,0.8820107671822842,1.3232415692887376,0.057014765611879126,True,False,True
U56,10,S3_5,BAND12/W,1.2662268036768585,0.15155854069853292,-0.19419391049794632,1.167991233806965,1.285072363206482,0.8820107671822842,1.3232415692887376,0.057014765611879126,True,False,True
U56,10,S3_10,BAND12/W,1.2662268036768585,0.15155854069853292,-0.19419391049794632,1.167991233806965,1.285072363206482,0.8820107671822842,1.3232415692887376,0.057014765611879126,True,False,True
U56,10,S3_15,BAND12/W,1.2662268036768585,0.15155854069853292,-0.19419391049794632,1.167991233806965,1.285072363206482,0.8820107671822842,1.3232415692887376,0.057014765611879126,True,False,True
U56,10,S3_20,BAND12/W,1.2662268036768585,0.15155854069853292,-0.19419391049794632,1.167991233806965,1.285072363206482,0.8820107671822842,1.3232415692887376,0.057014765611879126,True,False,True
U56,10,S3_25,BAND12/W,1.2662268036768585,0.15155854069853292,-0.19419391049794632,1.167991233806965,1.285072363206482,0.8820107671822842,1.3232415692887376,0.057014765611879126,True,False,True
U56,10,S4,BAND12/W,1.2662268036768585,0.15155854069853292,-0.19419391049794632,1.167991233806965,1.285072363206482,0.8820107671822842,1.3232415692887376,0.057014765611879126,True,False,True
U56,10,S5,BAND12/W,1.2662268036768585,0.15155854069853292,-0.19419391049794632,1.167991233806965,1.285072363206482,0.8820107671822842,1.3232415692887376,0.057014765611879126,True,False,True
U56,15,S1,BAND12/W,1.257110474475938,0.15036348984323178,-0.19455081128242735,1.1285509365590851,1.2728011952075526,0.8820107671822842,1.304705610432334,0.04759513595639597,True,False,True
U56,15,S2,BAND12/W,1.257110474475938,0.15036348984323178,-0.19455081128242735,1.1285509365590851,1.2728011952075526,0.8820107671822842,1.304705610432334,0.04759513595639597,True,False,True
U56,15,S3_0,BAND12/W,1.257110474475938,0.15036348984323178,-0.19455081128242735,1.1285509365590851,1.2728011952075526,0.8820107671822842,1.304705610432334,0.04759513595639597,True,False,True
