panel,band,gross,cost_bps,dCAGR,dSharpe,dMaxDD,dOOS_Sharpe,dTurn,dTick,cand4b,cap4b,idxg4b,ewbh4b,idxg_DD,cand_DD,ewbh_DD
U56,0.0,0.75,0.0,-0.0313541852132746,-0.13025536626309808,0.005176365058276455,-0.043173429940678076,-0.3501021861912077,0.1874648151623195,True,True,False,False,-0.17642107877808377,-0.18159744383636023,-0.22090293626211466
U56,0.0,0.75,10.0,-0.02820078484747568,-0.11297937406039948,0.006749261640859983,-0.021253484917357124,-0.3501021861912077,0.1874648151623195,True,True,False,False,-0.17650591684570938,-0.18325517848656936,-0.22110281258395215
U56,0.0,0.75,25.0,-0.02355084877610336,-0.08797280560039156,0.009104549117389116,0.01080668133177154,-0.3501021861912077,0.1874648151623195,False,False,False,False,-0.17663316474307222,-0.18573771386046134,-0.22140255513681217
U56,0.0,0.75,50.0,-0.016011471883816464,-0.04792860468209048,-0.009291238060793239,0.06254439029588532,-0.3501021861912077,0.1874648151623195,False,False,False,False,-0.20583056045374892,-0.19653932239295568,-0.22190193428732818
U56,0.0,1.0,0.0,-0.04228545441602116,-0.1357850624770487,0.005207407669399311,-0.05154498052606593,-0.35191472257013556,0.1921627731725697,False,True,False,False,-0.2358561650928399,-0.24106357276223922,-0.29162947210697243
U56,0.0,1.0,10.0,-0.03792710404851918,-0.11860809624860202,0.007235039236189289,-0.02980519579699381,-0.35191472257013556,0.1921627731725697,False,True,False,False,-0.2359291094380208,-0.2431641486742101,-0.2917896524646624
U56,0.0,1.0,25.0,-0.03153396476151271,-0.09371910679016737,0.01026947718341642,0.002011825611994089,-0.35191472257013556,0.1921627731725697,False,True,False,False,-0.23603851766141848,-0.2463079948448349,-0.2920298708461485
U56,0.0,1.0,50.0,-0.021256107595945872,-0.05380017332427767,-0.01964357291868324,0.05341085628733011,-0.35191472257013556,0.1921627731725697,False,False,False,False,-0.2711726245087682,-0.251529051590085,-0.29243009576393564
U56,0.03,0.75,0.0,-0.027261085710499566,-0.09931854037340715,-0.0036729132673761766,-0.048533477114627965,-0.46924488346150695,0.17783575940675656,True,True,False,False,-0.17642107877808344,-0.17274816551070726,-0.22090293626211466
U56,0.03,0.75,10.0,-0.024871440615302998,-0.08259765863664459,-0.0025828736959909726,-0.03289073333505366,-0.46924488346150695,0.17783575940675656,True,True,False,False,-0.1765059168457095,-0.17392304314971851,-0.22110281258395215
U56,0.03,0.75,25.0,-0.02131935674839247,-0.057957085678260745,-0.0009494708865616097,-0.009894854620827509,-0.46924488346150695,0.17783575940675656,True,True,False,False,-0.176633164743072,-0.1756836938565104,-0.22140255513681217
U56,0.03,0.75,50.0,-0.015484917754704952,-0.017955872604365375,0.0017684517234992647,0.02728072620088917,-0.46924488346150695,0.17783575940675656,False,False,False,False,-0.17684522002880776,-0.17861367175230702,-0.22190193428732818
