panel,family,w,q,armed,rate_all,rate_armed,ratio_all,ratio_armed
U56,EXP,,0.07,1.0,0.0022527596305474207,0.0022527596305474207,0.03218228043639172,0.03218228043639172
U56,ROLL,252.0,0.07,1.0,0.11106104978598784,0.11106104978598784,1.5865864255141118,1.5865864255141118
U56,ROLL,504.0,0.07,0.9452579409776977,0.10610497859878351,0.11224976167778837,1.51578540855405,1.6035680239684051
U56,ROLL,756.0,0.07,0.8884883982879027,0.07726965532777652,0.08696754563894524,1.1038522189682358,1.242393509127789
U56,ROLL,1260.0,0.07,0.7749493129083127,0.059472854246451906,0.07674418604651163,0.8496122035207414,1.0963455149501662
U56,EXP,,0.12,1.0,0.032439738679882854,0.032439738679882854,0.27033115566569044,0.27033115566569044
U56,ROLL,252.0,0.12,1.0,0.16107231358414056,0.16107231358414056,1.3422692798678382,1.3422692798678382
U56,ROLL,504.0,0.12,0.9452579409776977,0.14147330479837802,0.14966634890371783,1.1789442066531501,1.2472195741976486
U56,ROLL,756.0,0.12,0.8884883982879027,0.11263798152737103,0.12677484787018256,0.9386498460614253,1.0564570655848546
U56,ROLL,1260.0,0.12,0.7749493129083127,0.09303897274160847,0.12005813953488371,0.7753247728467373,1.000484496124031
U56,EXP,,0.17,1.0,0.052038747465645414,0.052038747465645414,0.30611027920967887,0.30611027920967887
U56,ROLL,252.0,0.17,1.0,0.19734174363595405,0.19734174363595405,1.1608337860938474,1.1608337860938474
U56,ROLL,504.0,0.17,0.9452579409776977,0.1741383194413156,0.1842230695900858,1.0243430555371507,1.0836651152357988
U56,ROLL,756.0,0.17,0.8884883982879027,0.14169858076143277,0.15948275862068967,0.8335210633025456,0.9381338742393509
U56,ROLL,1260.0,0.17,0.7749493129083127,0.12119846812345123,0.1563953488372093,0.712932165432066,0.9199726402188781
B136,EXP,,0.07,1.0,0.0,0.0,0.0,0.0
B136,ROLL,252.0,0.07,1.0,0.12232484793872493,0.12232484793872493,1.7474978276960702,1.7474978276960702
B136,ROLL,504.0,0.07,0.9452579409776977,0.10205001126379815,0.10795996186844614,1.4578573037685447,1.5422851695492303
B136,ROLL,756.0,0.07,0.8884883982879027,0.07028610047307952,0.07910750507099391,1.0040871496154218,1.130107215299913
B136,ROLL,1260.0,0.07,0.7749493129083127,0.055192610948411804,0.07122093023255814,0.7884658706915971,1.0174418604651163
B136,EXP,,0.12,1.0,0.024780355936021625,0.024780355936021625,0.20650296613351354,0.20650296613351354
B136,ROLL,252.0,0.12,1.0,0.17594052714575356,0.17594052714575356,1.4661710595479465,1.4661710595479465
B136,ROLL,504.0,0.12,0.9452579409776977,0.15003379139445822,0.15872259294566254,1.2502815949538184,1.322688274547188
B136,ROLL,756.0,0.12,0.8884883982879027,0.11421491326875423,0.12854969574036512,0.9517909439062853,1.0712474645030428
B136,ROLL,1260.0,0.12,0.7749493129083127,0.09326424870466321,0.12034883720930233,0.7772020725388601,1.002906976744186
B136,EXP,,0.17,1.0,0.047082676278441093,0.047082676278441093,0.2769569192849476,0.2769569192849476
B136,ROLL,252.0,0.17,1.0,0.2185176841630998,0.2185176841630998,1.285398142135881,1.285398142135881
B136,ROLL,504.0,0.17,0.9452579409776977,0.18923180896598332,0.2001906577693041,1.113128288035196,1.1775921045253182
B136,ROLL,756.0,0.17,0.8884883982879027,0.14214913268754223,0.1599898580121704,0.8361713687502483,0.9411168118362964
B136,ROLL,1260.0,0.17,0.7749493129083127,0.12412705564316287,0.16017441860465118,0.7301591508421345,0.9422024623803009
SMALL484,EXP,,0.07,1.0,0.0002541942043721403,0.0002541942043721403,0.0036313457767448614,0.0036313457767448614
SMALL484,ROLL,252.0,0.07,1.0,0.1235383833248602,0.1235383833248602,1.7648340474980027,1.7648340474980027
SMALL484,ROLL,504.0,0.07,0.9382308083375699,0.08057956278596848,0.08588458412354376,1.151136611228121,1.2269226303363392
SMALL484,ROLL,756.0,0.07,0.8741738688357905,0.06278596847991866,0.0718232044198895,0.8969424068559807,1.0260457774269927
SMALL484,ROLL,1260.0,0.07,0.7460599898322319,0.03965429588205389,0.053151618398637135,0.5664899411721983,0.7593088342662447
SMALL484,EXP,,0.12,1.0,0.017793594306049824,0.017793594306049824,0.1482799525504152,0.1482799525504152
SMALL484,ROLL,252.0,0.12,1.0,0.16598881545500763,0.16598881545500763,1.3832401287917302,1.3832401287917302
SMALL484,ROLL,504.0,0.12,0.9382308083375699,0.11896288764616167,0.12679490652939582,0.9913573970513473,1.0566242210782986
SMALL484,ROLL,756.0,0.12,0.8741738688357905,0.10701576004067108,0.12241930793835418,0.8917980003389256,1.0201608994862847
SMALL484,ROLL,1260.0,0.12,0.7460599898322319,0.07574987290289781,0.10153321976149915,0.6312489408574817,0.8461101646791596
SMALL484,EXP,,0.17,1.0,0.04448398576512456,0.04448398576512456,0.26167050450073265,0.26167050450073265
SMALL484,ROLL,252.0,0.17,1.0,0.211997966446365,0.211997966446365,1.2470468614492058,1.2470468614492058
SMALL484,ROLL,504.0,0.17,0.9382308083375699,0.1563294356888663,0.166621511785424,0.9195849158168604,0.9801265399142588
SMALL484,ROLL,756.0,0.17,0.8741738688357905,0.14107778342653787,0.16138412329165455,0.8298693142737521,0.9493183723038502
SMALL484,ROLL,1260.0,0.17,0.7460599898322319,0.10371123538383324,0.13901192504258944,0.6100660904931366,0.817717206132879
