m_min,halfwidth,cells,dip_depth,dip_at,neg_grid_pts,dip_depth_fe_dial
8,0.05,560,-0.0034489043935729082,0.325,4,-0.006867318933660959
8,0.075,560,-0.0030268104036322895,0.325,5,-0.006713749550417887
8,0.1,560,-0.0015140777187639034,0.3,4,-0.0058933232460007135
12,0.05,560,-0.0034489043935729082,0.325,4,-0.006867318933660959
12,0.075,560,-0.0030268104036322895,0.325,5,-0.006713749550417887
12,0.1,560,-0.0015140777187639034,0.3,4,-0.0058933232460007135
20,0.05,210,0.0031724842435653447,0.4,0,-0.0031666784038766665
20,0.075,210,0.0029029387066620595,0.325,0,-0.0034457192331277917
20,0.1,210,0.003353417911345826,0.35,0,-0.0030983613483008773
40,0.05,140,0.002920699097390634,0.4,0,-0.007594572421538107
40,0.075,140,0.005187879816215118,0.325,0,-0.004734845562598905
40,0.1,140,0.004857367631930379,0.35,0,-0.005222119430546756
