panel,grid,book,cost,rule,kind,pass_share,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,oCAGR,oSharpe,oMaxDD,p4b,p4b_oos,p4a,p4a_oos
U56,DOM21,TOP20,0.0,CANON,BOOK,0.23809523809523808,0.15193244036323983,1.2388925581062815,-0.19447150126932689,1.2489620967397315,1.2379343975486232,1.1361984805810454,0.17184220853092924,1.3173608272458972,-0.194471501269327,True,True,False,False
U56,DOM21,TOP20,0.0,MEAN,ESTIMATOR,0.23809523809523808,0.14239033404441373,1.1518137318232373,-0.2063922418585914,1.1781268196910928,1.13967580348699,1.0756549337737569,0.1604398326106057,1.2109315939742664,-0.20639224185859145,False,False,False,False
U56,DOM21,TOP20,0.0,MEDIAN,ESTIMATOR,0.23809523809523808,0.14158938717292635,1.1537704749390598,-0.2086180873380722,1.190313512476574,1.1249073533675242,1.0924287944817659,0.16002418245974837,1.1966878879692053,-0.20861808733807208,False,False,False,False
U56,DOM21,TOP20,0.0,MIN,ESTIMATOR,0.23809523809523808,0.13239269384870345,1.059316207914201,-0.22879077433696304,1.068655715266602,1.0517392456797037,0.9541405398783588,0.1484842768729162,1.127268460051682,-0.22879077433696315,False,False,False,False
U56,DOM21,TOP20,0.0,SHARE50,ESTIMATOR,0.23809523809523808,0.14158938717292635,1.1537704749390598,-0.2086180873380722,1.190313512476574,1.1249073533675242,1.0924287944817659,0.16002418245974837,1.1966878879692053,-0.20861808733807208,False,False,False,False
U56,DOM21,TOP20,0.0,TRANCHE,BOOK,0.23809523809523808,0.14270633363767105,1.1737864837252727,-0.20015437255149449,1.1959089118658797,1.164513484414483,1.0924023553141493,0.16084236737175117,1.2366616614118713,-0.20015437255149415,True,True,False,False
U56,DOM21,TOP20,10.0,CANON,BOOK,0.23809523809523808,0.14697195790194972,1.2032321569632487,-0.19506860995292485,1.2107587887858267,1.204201428391676,1.0976623123096323,0.16680072904644594,1.2836771234617321,-0.1950686099529252,True,True,False,False
U56,DOM21,TOP20,10.0,MEAN,ESTIMATOR,0.23809523809523808,0.13746673624723452,1.116375650704609,-0.20685465859815325,1.1394210286353978,1.1066155517605614,1.0368274685213241,0.15545391387725654,1.177714961645832,-0.20685465859815325,False,False,False,False
U56,DOM21,TOP20,10.0,MEDIAN,ESTIMATOR,0.23809523809523808,0.13656030687988774,1.1177568514320018,-0.20910570992038935,1.150511439599565,1.0916369003296214,1.0526385279110868,0.15511136237175083,1.163787107824349,-0.20910570992038913,False,False,False,False
U56,DOM21,TOP20,10.0,MIN,ESTIMATOR,0.23809523809523808,0.12747475827779087,1.0242979286260834,-0.22946309827342026,1.0300397556303016,1.0196789416559975,0.9152764550537812,0.143448121120463,1.0951374990077212,-0.22946309827341982,False,False,False,False
