panel,arm,kind,q,threshold,IS_days,OOS_days,IS_armed_share,OOS_armed_share,IS_armed_days,OOS_armed_days,gap,causal
U56,EXP80,EXP80,,,2007,2433,0.03338315894369706,0.17057131113851212,67,415,0.13718815219481506,True
U56,ISFIX0.6,ISFIX,0.6,0.15793991083946515,2007,2433,0.3418036870951669,0.3275791204274558,686,797,-0.014224566667711103,True
U56,ISFIX0.7,ISFIX,0.7,0.18129985538042,2007,2433,0.24165421026407574,0.2564734895191122,485,624,0.014819279255036455,True
U56,ISFIX0.8,ISFIX,0.8,0.21253315287947144,2007,2433,0.1554559043348281,0.16440608302507193,312,400,0.008950178690243837,True
U56,ISFIX0.9,ISFIX,0.9,0.3007536855553233,2007,2433,0.07075236671649228,0.04397862720920674,142,107,-0.026773739507285538,True
U56,FULL0.6,FULL,0.6,0.15030248455755318,2007,2433,0.388141504733433,0.35717221537196875,779,869,-0.03096928936146426,False
U56,FULL0.7,FULL,0.7,0.17356663285267188,2007,2433,0.26756352765321373,0.2729140978216194,537,664,0.005350570168405677,False
U56,FULL0.8,FULL,0.8,0.20582191016815995,2007,2433,0.17588440458395616,0.17879161528976573,353,435,0.002907210705809571,False
U56,FULL0.9,FULL,0.9,0.2759555739897824,2007,2433,0.09965122072745392,0.07069461570078094,200,172,-0.02895660502667298,False
B136,EXP80,EXP80,,,2007,2432,0.03338315894369706,0.17064144736842105,67,415,0.13725828842472398,True
B136,ISFIX0.6,ISFIX,0.6,0.15802429224586312,2007,2432,0.3418036870951669,0.3268914473684211,686,795,-0.014912239726745824,True
B136,ISFIX0.7,ISFIX,0.7,0.1812242436483361,2007,2432,0.24165421026407574,0.2565789473684211,485,624,0.014924737104345331,True
B136,ISFIX0.8,ISFIX,0.8,0.2126896073996022,2007,2432,0.1554559043348281,0.16365131578947367,312,398,0.008195411454645585,True
B136,ISFIX0.9,ISFIX,0.9,0.3006184917445184,2007,2432,0.07075236671649228,0.044407894736842105,142,108,-0.026344471979650175,True
B136,FULL0.6,FULL,0.6,0.15030520177680104,2007,2432,0.38863976083707025,0.3569078947368421,780,868,-0.03173186610022816,False
B136,FULL0.7,FULL,0.7,0.17360878587477882,2007,2432,0.26756352765321373,0.2730263157894737,537,664,0.005462788136259944,False
B136,FULL0.8,FULL,0.8,0.2057968018605714,2007,2432,0.17588440458395616,0.17886513157894737,353,435,0.0029807269949912174,False
B136,FULL0.9,FULL,0.9,0.27597168461975036,2007,2432,0.09965122072745392,0.07072368421052631,200,172,-0.0289275365169276,False
SMALL439,EXP80,EXP80,,,1502,2432,0.07723035952063914,0.23601973684210525,116,574,0.1587893773214661,True
SMALL439,ISFIX0.6,ISFIX,0.6,0.13629460225453374,1502,2432,0.36750998668442075,0.43914473684210525,552,1068,0.0716347501576845,True
SMALL439,ISFIX0.7,ISFIX,0.7,0.15320923465419134,1502,2432,0.2583222370173103,0.3462171052631579,388,842,0.08789486824584763,True
SMALL439,ISFIX0.8,ISFIX,0.8,0.1760508643866616,1502,2432,0.16577896138482023,0.26973684210526316,249,656,0.10395788072044293,True
SMALL439,ISFIX0.9,ISFIX,0.9,0.2267924009267949,1502,2432,0.08588548601864181,0.13034539473684212,129,317,0.04445990871820031,True
SMALL439,FULL0.6,FULL,0.6,0.14035399169038626,1502,2432,0.3488681757656458,0.4128289473684211,524,1004,0.06396077160277525,False
SMALL439,FULL0.7,FULL,0.7,0.15919765402544472,1502,2432,0.22636484687083888,0.32195723684210525,340,783,0.09559238997126637,False
SMALL439,FULL0.8,FULL,0.8,0.18987461501340622,1502,2432,0.13049267643142476,0.22985197368421054,196,559,0.09935929725278578,False
SMALL439,FULL0.9,FULL,0.9,0.2427852740425001,1502,2432,0.07856191744340879,0.10855263157894737,118,264,0.029990714135538582,False
