item,axis,held_out,train_pooled,train_fe,test_own,err_pooled,err_fe,n_test
219,dial,BAND,0.45,0.45,,,,80
219,dial,BAND+,0.425,0.425,0.525,4.0,4.0,80
219,dial,CADENCE,0.9,1.0,0.55,14.0,18.0,80
219,dial,GROSS,0.425,0.425,,,,80
219,dial,N,0.45,0.45,0.375,3.0,3.0,80
219,dial,SLEEVE,0.425,0.425,0.725,12.0,12.0,80
219,dial,SLEEVE+,0.35,0.35,,,,80
167,instr,BAND3,0.05,0.05,0.05,0.0,0.0,30
167,instr,DEGROSS,0.05,0.05,0.05,0.0,0.0,30
167,instr,G200,0.05,0.05,0.05,0.0,0.0,30
167,instr,STOP15,0.05,0.05,0.05,0.0,0.0,30
159B,panel,broad,0.05,0.05,0.05,0.0,0.0,40
159B,panel,small,0.05,0.05,0.05,0.0,0.0,40
159B,panel,u56,0.05,0.05,0.05,0.0,0.0,40
159c,panel,broad,0.03,0.03,0.03,0.0,0.0,14
159c,panel,small,0.03,0.03,0.03,0.0,0.0,14
159c,panel,u56,0.03,0.03,0.03,0.0,0.0,14
168B,panel,broad,,,0.5,,,162
168B,panel,small,0.5,0.5,,,,162
168B,panel,u56,,,0.5,,,162
168c,share,0.05,0.5,0.5,0.5,0.0,0.0,44
168c,share,0.1,0.25,0.25,0.75,2.0,2.0,44
168c,share,0.15,0.5,0.5,0.5,0.0,0.0,44
168c,share,0.2,0.5,0.5,0.1,2.0,2.0,44
168c,share,0.27,0.5,0.5,0.0,3.0,3.0,44
168c,share,0.35,0.5,0.5,0.1,2.0,2.0,44
168c,share,0.53,0.5,0.5,,,,44
168c,share,0.75,0.5,0.5,0.5,0.0,0.0,44
103,book,ewall,-0.0112974636741161,-0.0112974636741161,-0.0112974636741161,0.0,0.0,384
103,book,top20,-0.0112974636741161,-0.0112974636741161,-0.0112974636741161,0.0,0.0,384
103,book,v1,-0.0112974636741161,-0.0112974636741161,0.057938388374135494,2.0,2.0,384
61,panel,B136,,,,,,136
61,panel,SMALL439,,,,,,136
61,panel,U56,,,,,,136
277,r_target,0.05,0.0,0.0,,,,48
277,r_target,0.1,,,0.0,,,48
277,r_target,0.2,,,0.0,,,48
277,r_target,0.35,,0.625,0.0,,5.0,48
277,r_target,0.5,0.0,0.0,,,,48
277,r_target,0.75,0.0,0.0,,,,48
277,r_target,1.0,0.0,0.0,,,,48
bandgate,bps,0,0.0,0.0,0.0,0.0,0.0,42
bandgate,bps,10,0.0,0.0,0.0,0.0,0.0,42
bandgate,bps,25,0.0,0.0,0.0,0.0,0.0,42
bandgate,bps,5,0.0,0.0,0.0,0.0,0.0,42
