split,leg,moved,n,rate
CALMID,leg4a,1.0,18,0.05555555555555555
CALMID,leg4b,0.0,18,0.0
CALMID,full4a,0.0,18,0.0
CALMID,full4b,0.0,18,0.0
CALMID,H1_abs_shift,,18,0.010437600365760897
CALMID,H2_abs_shift,,18,0.008234445570895779
2014-01-01,leg4a,3.0,18,0.16666666666666666
2014-01-01,leg4b,0.0,18,0.0
2014-01-01,full4a,0.0,18,0.0
2014-01-01,full4b,0.0,18,0.0
2014-01-01,H1_abs_shift,,18,0.08567873647065875
2014-01-01,H2_abs_shift,,18,0.04950406859791312
2015-01-01,leg4a,3.0,18,0.16666666666666666
2015-01-01,leg4b,0.0,18,0.0
2015-01-01,full4a,0.0,18,0.0
2015-01-01,full4b,0.0,18,0.0
2015-01-01,H1_abs_shift,,18,0.06126473882516207
2015-01-01,H2_abs_shift,,18,0.039733061441339416
2016-01-01,leg4a,2.0,18,0.1111111111111111
2016-01-01,leg4b,0.0,18,0.0
2016-01-01,full4a,0.0,18,0.0
2016-01-01,full4b,0.0,18,0.0
2016-01-01,H1_abs_shift,,18,0.11367337035630408
2016-01-01,H2_abs_shift,,18,0.0700413021196981
2017-01-01,leg4a,2.0,18,0.1111111111111111
2017-01-01,leg4b,0.0,18,0.0
2017-01-01,full4a,0.0,18,0.0
2017-01-01,full4b,0.0,18,0.0
2017-01-01,H1_abs_shift,,18,0.09652902465634848
2017-01-01,H2_abs_shift,,18,0.07009641120861097
2018-01-01,leg4a,2.0,18,0.1111111111111111
2018-01-01,leg4b,0.0,18,0.0
2018-01-01,full4a,0.0,18,0.0
2018-01-01,full4b,0.0,18,0.0
2018-01-01,H1_abs_shift,,18,0.02398000676175085
2018-01-01,H2_abs_shift,,18,0.015726719181551555
2019-01-01,leg4a,0.0,18,0.0
2019-01-01,leg4b,0.0,18,0.0
2019-01-01,full4a,0.0,18,0.0
2019-01-01,full4b,0.0,18,0.0
2019-01-01,H1_abs_shift,,18,0.1255135893175492
2019-01-01,H2_abs_shift,,18,0.10917447724506907
