sample,n_scripts,n_clauses,classifier,self_consistency,repro_const,repro_artefact,unreadable,share_self
38,38,170,WIDE,14,98,58,0,0.08235294117647059
38,38,170,MID,63,49,58,0,0.37058823529411766
38,38,170,NARROW,103,9,58,0,0.6058823529411764
76,76,305,WIDE,19,181,105,0,0.06229508196721312
76,76,305,MID,113,87,105,0,0.3704918032786885
76,76,305,NARROW,190,10,105,0,0.6229508196721312
151,151,520,WIDE,32,305,183,0,0.06153846153846154
151,151,520,MID,191,146,183,0,0.36730769230769234
151,151,520,NARROW,314,23,183,0,0.6038461538461538
