block,conf,n4b_full,resolved_nonDD,n4b_oos,resolved_oos_nonDD
21,0.9,187,126,225,122
21,0.95,187,88,225,114
21,0.99,187,3,225,69
63,0.9,187,118,225,119
63,0.95,187,100,225,108
63,0.99,187,65,225,72
