est,family,arm,n,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,modal_pick,modal_share
PH0,ALL,CONST-W,115,0.6797916134382441,0.05255141580310997,-0.17046582350476322,W,1.0
PH0,ALL,CONST-M,115,0.7558913233285968,0.06023180912503775,-0.17318304047318572,M,1.0
PH0,ALL,CONST-6W,115,0.7797167509920105,0.06487701599169463,-0.20258238575531998,6W,1.0
PH0,ALL,CONST-2M,115,0.8257831633530315,0.07004745606053447,-0.17170138392805942,2M,1.0
PH0,ALL,SEL-SHARPE,115,0.667354512638784,0.05842838562577671,-0.21645513309776832,8W,0.22608695652173913
PH0,ALL,SEL-4B,115,0.6599822459165379,0.05840019469054471,-0.21525333980561212,8W,0.30434782608695654
PH0,ALL,RANDOM,115,0.6881443683745125,0.05716576193235369,-0.20174993714785583,7W,0.13043478260869565
PH0,ALL,ORACLE,115,0.9015522952764613,0.07849077605199303,-0.17535592427921923,6W,0.5043478260869565
PH0,SMALL,CONST-W,49,0.20520275926815387,0.017313920195450555,-0.24041823877816867,W,1.0
PH0,SMALL,CONST-M,49,0.3030347243140429,0.0257773478141822,-0.2467130175181372,M,1.0
PH0,SMALL,CONST-6W,49,0.22151772616081009,0.019082118128483472,-0.2936359038866023,6W,1.0
PH0,SMALL,CONST-2M,49,0.441415136569465,0.042380180026022354,-0.23574648385114694,2M,1.0
PH0,SMALL,SEL-SHARPE,49,0.3065630009321676,0.028859772642971293,-0.27837424531214405,2Q,0.30612244897959184
PH0,SMALL,SEL-4B,49,0.30213276972111613,0.027939233417479108,-0.2732166596046495,8W,0.22448979591836735
PH0,SMALL,RANDOM,49,0.26256663209852693,0.02268237989162826,-0.2781856407876016,7W,0.1836734693877551
PH0,SMALL,ORACLE,49,0.5023809339388077,0.05099513887106019,-0.23196760900763597,2M,0.3673469387755102
PH0,U56,CONST-W,33,1.2230250732965675,0.1118579068751881,-0.14053339817181365,W,1.0
PH0,U56,CONST-M,33,1.2699198629948023,0.12100574476705339,-0.14126451808810853,M,1.0
PH0,U56,CONST-6W,33,1.38702396443922,0.13991261109568304,-0.16156253661256864,6W,1.0
PH0,U56,CONST-2M,33,1.3027843999784066,0.12907643596248236,-0.1486677670266637,2M,1.0
PH0,U56,SEL-SHARPE,33,1.0852836411418614,0.11328061312213096,-0.1908182774025799,7W,0.30303030303030304
PH0,U56,SEL-4B,33,1.0884697637508858,0.11457998299283487,-0.1885587584778915,8W,0.3333333333333333
PH0,U56,RANDOM,33,1.194065910793539,0.11770539030281889,-0.16849138249286755,2M,0.18181818181818182
PH0,U56,ORACLE,33,1.3914363769077907,0.1398197457644562,-0.15890889618072346,6W,0.8787878787878788
PH0,ETF,CONST-W,33,0.8412506946203576,0.045567266693920076,-0.09652951100750473,W,1.0
PH0,ETF,CONST-M,33,0.9142862185627896,0.05061752815671672,-0.0959206878521228,M,1.0
PH0,ETF,CONST-6W,33,1.0012505138093113,0.057839905593686416,-0.10840155646071263,6W,1.0
PH0,ETF,CONST-2M,33,0.9195102089214362,0.05210018905831667,-0.09963773124668882,2M,1.0
PH0,ETF,SEL-SHARPE,33,0.7851461136394697,0.04748106831601233,-0.15015148883827756,M,0.30303030303030304
PH0,ETF,SEL-4B,33,0.7628469806147863,0.047450318581594375,-0.15588117355294379,8W,0.3939393939393939
PH0,ETF,RANDOM,33,0.8141412828501313,0.0478287311375111,-0.12151305306503991,2M,0.21212121212121213
PH0,ETF,ORACLE,33,1.004377204722254,0.057988661547581644,-0.10774317808400524,6W,0.8787878787878788
MEANPH,ALL,CONST-W,115,0.6797916134382441,0.05255141580310997,-0.17046582350476322,W,1.0
MEANPH,ALL,CONST-M,115,0.7558913233285968,0.06023180912503775,-0.17318304047318572,M,1.0
MEANPH,ALL,CONST-6W,115,0.6769054841170248,0.05767772853799509,-0.2049735935803481,6W,1.0
MEANPH,ALL,CONST-2M,115,0.7192931142666318,0.06227745727916415,-0.20215311534147215,2M,1.0
MEANPH,ALL,SEL-SHARPE,115,0.7312730431939152,0.059476754324557096,-0.18016494045436596,M,0.7565217391304347
MEANPH,ALL,SEL-4B,115,0.7171241389277461,0.05896819697282923,-0.18610946204947498,M,0.6521739130434783
MEANPH,ALL,RANDOM,115,0.6766724056721881,0.05678036259606156,-0.20280211997829486,7W,0.13043478260869565
MEANPH,ALL,ORACLE,115,0.7992341948682783,0.06560662821560825,-0.17319209124196586,M,0.5217391304347826
MEANPH,SMALL,CONST-W,49,0.20520275926815387,0.017313920195450555,-0.24041823877816867,W,1.0
MEANPH,SMALL,CONST-M,49,0.3030347243140429,0.0257773478141822,-0.2467130175181372,M,1.0
MEANPH,SMALL,CONST-6W,49,0.26113311932801725,0.022849056890812593,-0.2675107824927291,6W,1.0
MEANPH,SMALL,CONST-2M,49,0.32419729961109317,0.02987527422000057,-0.2644427817253178,2M,1.0
MEANPH,SMALL,SEL-SHARPE,49,0.29268956569528437,0.02550069586778066,-0.2516534152410004,M,0.6122448979591837
MEANPH,SMALL,SEL-4B,49,0.28518160338206006,0.02519382389786498,-0.2564711218516777,M,0.4489795918367347
MEANPH,SMALL,RANDOM,49,0.2613115371822682,0.022629388085071027,-0.27543496977275383,7W,0.1836734693877551
MEANPH,SMALL,ORACLE,49,0.3960452495995843,0.03849639667307892,-0.24896758635685917,M,0.2653061224489796
MEANPH,U56,CONST-W,33,1.2230250732965675,0.1118579068751881,-0.14053339817181365,W,1.0
MEANPH,U56,CONST-M,33,1.2699198629948023,0.12100574476705339,-0.14126451808810853,M,1.0
MEANPH,U56,CONST-6W,33,1.1731829663247118,0.11943818872377067,-0.1781353616338265,6W,1.0
MEANPH,U56,CONST-2M,33,1.1947449498132903,0.12269034160315624,-0.17885262890430692,2M,1.0
MEANPH,U56,SEL-SHARPE,33,1.2113713044076466,0.11898576276635937,-0.1559802070351659,M,0.7878787878787878
MEANPH,U56,SEL-4B,33,1.1824929528859198,0.11832111030228164,-0.16653592319841906,M,0.6666666666666666
MEANPH,U56,RANDOM,33,1.168185186862943,0.11654448655714368,-0.1706242326227209,2M,0.18181818181818182
MEANPH,U56,ORACLE,33,1.2776261936106375,0.1206204959527201,-0.13872909085907903,M,0.6666666666666666
MEANPH,ETF,CONST-W,33,0.8412506946203576,0.045567266693920076,-0.09652951100750473,W,1.0
MEANPH,ETF,CONST-M,33,0.9142862185627896,0.05061752815671672,-0.0959206878521228,M,1.0
MEANPH,ETF,CONST-6W,33,0.797986967808167,0.04763256867682382,-0.1389535753236375,6W,1.0
MEANPH,ETF,CONST-2M,33,0.8304987004812274,0.04997690537635435,-0.13296288502686635,2M,1.0
MEANPH,ETF,SEL-SHARPE,33,0.9024047940236047,0.05041704480342288,-0.09820012040250276,M,0.9393939393939394
MEANPH,ETF,SEL-4B,33,0.8931245444161965,0.04976511033044497,-0.10120659695180563,M,0.9393939393939394
MEANPH,ETF,RANDOM,33,0.8019075807240412,0.04772526139372296,-0.12713123036633872,2M,0.21212121212121213
MEANPH,ETF,ORACLE,33,0.9195166906157979,0.05084734670831269,-0.0951399625148596,M,0.7575757575757576
BLEND-DR,ALL,CONST-W,115,0.6797916134382441,0.05255141580310997,-0.17046582350476322,W,1.0
BLEND-DR,ALL,CONST-M,115,0.7558913233285968,0.06023180912503775,-0.17318304047318572,M,1.0
BLEND-DR,ALL,CONST-6W,115,0.6979720642845322,0.0580266396838775,-0.19508019859033152,6W,1.0
BLEND-DR,ALL,CONST-2M,115,0.7398666290256085,0.06257877646873398,-0.19828995899310836,2M,1.0
BLEND-DR,ALL,SEL-SHARPE,115,0.7340906680333795,0.060070760763691666,-0.18183665243591707,M,0.6521739130434783
BLEND-DR,ALL,SEL-4B,115,0.7225672292216784,0.0593714419359268,-0.18522549915402997,M,0.5826086956521739
BLEND-DR,ALL,RANDOM,115,0.6916528644895523,0.05701604626350698,-0.19760405231690817,7W,0.13043478260869565
