H,n_IS,IS_pass,n_OOS,OOS_pass
756,60,0.25,80,0.5375
1008,48,0.20833333333333334,68,0.8088235294117647
1260,36,0.027777777777777776,56,0.9642857142857143
1890,6,0.3333333333333333,26,1.0
