window,etf_share,Sharpe,CAGR,MaxDD,mu_w,A,rho,H,N_eff,sig_cv,gross
FULL,0.0,1.0165426278593952,0.13157178167322325,-0.2557390708117812,0.0007840812995483946,0.0180015391381823,0.34164520170561913,0.029459035556004848,34.75229376141737,0.2758290329489898,0.7559700647854383
FULL,0.125,0.9898230804201175,0.11708457044808145,-0.21905056056522532,0.0007604515390264335,0.017161202486855275,0.3200341273253297,0.030044031071875418,34.4843993971701,0.3231735428920174,0.7529305118587738
FULL,0.25,0.9934228434677294,0.11165973785924584,-0.20202219039875588,0.0007465548013064588,0.016857966941171313,0.2966125137111178,0.030657424333177183,34.442289515875906,0.3590509050018625,0.7506613568778645
FULL,0.375,0.9393450594629286,0.10111891794468879,-0.22077506995669074,0.0006820955095796889,0.016258496624700847,0.2939446918600814,0.030969981189630794,34.24566411774614,0.36610508442340467,0.7511985142864063
FULL,0.5,0.9022270137394922,0.0916099328493573,-0.1985749919711127,0.000652544807444972,0.015333738961024678,0.2967936449414606,0.03097465950985817,34.263014944665265,0.4060267465310507,0.7516043147871129
FULL,0.625,0.8444687306256102,0.08250428745642031,-0.19460035574480025,0.0006129376151544282,0.01479867759054996,0.29590491719924455,0.031887868592184905,33.89145028629665,0.43186856345865077,0.7505205032592146
FULL,0.75,0.825857812804741,0.07607447661705413,-0.18251882589759957,0.0005583187658055737,0.013783271053452908,0.3052427409846162,0.032240605823283204,34.296751073415855,0.44556621071840885,0.7503792699465636
FULL,0.875,0.7252465617593696,0.06327140312809261,-0.2024999481819909,0.0005135329810263932,0.013092844042865816,0.31315048630832165,0.03220795828627966,34.02333847719772,0.4571453334063759,0.7502383585825423
FULL,1.0,0.6286990125880899,0.05108394219957546,-0.21793007003820508,0.00046349260921630503,0.012099861081001686,0.32664583606354347,0.03233285432205641,33.96816172387628,0.47866111419124086,0.7502383610258399
IS,0.0,1.017490429571903,0.1384016324453837,-0.18576030222284215,0.0008509598434382521,0.017432684814634874,0.3945825773618504,0.031488906240044474,33.43234514032578,0.3459530520823632,0.7559852692015415
IS,0.125,0.9699218197428464,0.11584824209088018,-0.15397316392052235,0.0008080068611410629,0.01624264377827034,0.368671212751047,0.031948892421521144,33.17500264394957,0.40421244212974744,0.7529268569106436
IS,0.25,0.9878646634092937,0.1114459674920902,-0.1317713412662792,0.0007747907532832657,0.016061807197655643,0.3244099467489981,0.03255960824022534,32.89032540644686,0.4551799761633994,0.7506680803066327
IS,0.375,0.9547559018412818,0.10049137811972053,-0.1334304285120585,0.0007039732477308567,0.015469089448972045,0.3139301642683679,0.03287188244463078,32.42118984057402,0.46666522657593107,0.7511986382865287
IS,0.5,0.8736664803044333,0.0875813631225076,-0.12716049544559496,0.0006492283406687342,0.01453814259801676,0.3267959166839635,0.03237603314757273,32.276344200332765,0.4614592324179423,0.7516053571284752
IS,0.625,0.8326313846560035,0.07924671700076487,-0.13337385110083633,0.000615372036761842,0.014004470832832122,0.31366021664213023,0.03318305063843062,32.26949239434801,0.48166205198971895,0.7505075390596924
IS,0.75,0.8345360131903196,0.07641408872957674,-0.12496800058973617,0.0005869050148709474,0.013395781787440624,0.3188869592980286,0.034102316924642405,32.21453895566254,0.5070511060858158,0.7503824121946788
IS,0.875,0.6881837690426614,0.05844078292934907,-0.13476409590307897,0.0005162100001773741,0.01251312781636059,0.3293040062092239,0.03353489782143058,31.95782420080806,0.49885253654405043,0.7502252154368049
IS,1.0,0.5817055685692469,0.0453820702211567,-0.15062114668170645,0.00045641206465263324,0.011501698551150144,0.3370613561824006,0.03353093453468365,31.7116877487951,0.5188585577946114,0.750228737148658
OOS,0.0,1.0151262112997423,0.12621833722892725,-0.2557390708117812,0.0007604649436693396,0.01834137364042406,0.3053805779364942,0.029315691773406972,35.03156033250231,0.2828520768959619,0.7559574116560842
OOS,0.125,1.0105054961565065,0.118229235394948,-0.20894573778989878,0.0007502197812918658,0.01781046719345183,0.2885918831092244,0.029700084065872937,34.77896295617611,0.32538242923463084,0.7529335197537423
OOS,0.25,0.9951761446273785,0.11203984468014634,-0.20202219039875577,0.0007543370424349296,0.017386095894968322,0.27959659657829,0.030400165449914845,34.77576967765513,0.3586806914760284,0.750655766694326
OOS,0.375,0.9288249566899934,0.10170583466390297,-0.2207750699566907,0.0006894918531471952,0.01681558176140202,0.2817525510654763,0.03069385899073392,34.779202742509916,0.35810528593944185,0.7511984330789151
OOS,0.5,0.9254601673139943,0.09499014572559612,-0.19857499197111292,0.0006821037743478474,0.015950647592644352,0.2763401755542733,0.031032088782048228,34.84324034220904,0.4065521417132478,0.7516034434523986
OOS,0.625,0.8538140096119423,0.08523052641537802,-0.19460035574480017,0.0006332102535346975,0.015378477132639026,0.2847448487373097,0.03206673917215843,34.16333221103238,0.4409953702004357,0.7505312205278155
OOS,0.75,0.8215342232786522,0.0758471302523972,-0.18236168790644405,0.0005579725864215836,0.014117293811770496,0.2932091088924134,0.03190027637006183,34.83817059445328,0.4396257789402005,0.75037666515458
OOS,0.875,0.7539720844391932,0.06731347401672823,-0.20249994818199127,0.0005330672501641086,0.013592882612052886,0.29927914461484767,0.03216547697599966,34.466640811917706,0.4680302939398311,0.7502492049203281
OOS,1.0,0.6655582178166286,0.055812808472044395,-0.21793007003820408,0.0004914483703141124,0.012645766402605922,0.3147406884221859,0.03257989067285628,34.45151503056579,0.49238289052103806,0.7502463030988263
