threshold,below_corrected,below_raw,share_of_known,share_of_all_priced
5,110,47,0.07115135834411385,0.051837888784165884
10,223,142,0.1442432082794308,0.10508953817153628
20,759,371,0.4909443725743855,0.3576814326107446
40,1332,951,0.8615782664941786,0.6277097078228087
56,1401,1041,0.9062095730918499,0.6602262016965127
