L,score,side,is_draw_based,bar_q90,n_fire,lic_minus_ref,mean_score
21,S_OBS_RATIO,OBS,False,0.48268353557029225,8,0.1403668482154755,0.2099144798493784
21,S_OBS_MARGIN,OBS,False,0.12988264935256752,8,0.02966978583245081,0.06852344103865578
21,S_PBOOT_TOP,BAR,True,0.9999,8,-0.012759015279824263,0.5829305555555556
21,S_PBOOT_MARGIN,BAR,True,0.9998,8,-0.012759015279824263,0.4073888888888889
63,S_OBS_RATIO,OBS,False,0.48268353557029225,8,0.1403668482154755,0.2099144798493784
63,S_OBS_MARGIN,OBS,False,0.12988264935256752,8,0.02966978583245081,0.06852344103865578
63,S_PBOOT_TOP,BAR,True,1.0,9,-0.012721656717556746,0.6134583333333333
63,S_PBOOT_MARGIN,BAR,True,1.0,9,-0.012721656717556746,0.43687499999999996
252,S_OBS_RATIO,OBS,False,0.48268353557029225,8,0.1403668482154755,0.2099144798493784
252,S_OBS_MARGIN,OBS,False,0.12988264935256752,8,0.02966978583245081,0.06852344103865578
252,S_PBOOT_TOP,BAR,True,1.0,10,-0.012731843378127945,0.671875
252,S_PBOOT_MARGIN,BAR,True,1.0,10,-0.012731843378127945,0.5028472222222222
