form,subset,n,MAE,RMSE,gross,cadset
ZERO,ALL,162,0.17045822276361536,0.288675275926375,0.5,WMQ
ZERO,MA-THRESH,81,0.3247410325605348,0.4076936092694096,0.5,WMQ
ZERO,QUANTILE,81,0.01617541296669585,0.02127794217539451,0.5,WMQ
GLOBAL,ALL,162,0.16541762216996028,0.2538671183512977,0.5,WMQ
GLOBAL,MA-THRESH,81,0.2685316029086204,0.3530918916338031,0.5,WMQ
GLOBAL,QUANTILE,81,0.062303641431300225,0.06498571860375342,0.5,WMQ
FAMILY,ALL,162,0.1260201787260033,0.22279631857226756,0.5,WMQ
FAMILY,MA-THRESH,81,0.23665754478289797,0.31451885673361524,0.5,WMQ
FAMILY,QUANTILE,81,0.015382812669108629,0.018822536962118223,0.5,WMQ
CSD.is,ALL,162,0.11617310514906795,0.20588688482327938,0.5,WMQ
CSD.is,MA-THRESH,81,0.21835132745685787,0.2906143315536499,0.5,WMQ
CSD.is,QUANTILE,81,0.013994882841278089,0.01794795197491562,0.5,WMQ
ZERO,ALL,216,0.14925300139945025,0.2618510545661449,0.5,WMQD
ZERO,MA-THRESH,108,0.2858025820127823,0.36984839930207486,0.5,WMQD
ZERO,QUANTILE,108,0.01270342078611822,0.018550231494441512,0.5,WMQD
GLOBAL,ALL,216,0.15221347472007796,0.2291083424814928,0.5,WMQD
GLOBAL,MA-THRESH,108,0.23464933956449818,0.3159510166241986,0.5,WMQD
GLOBAL,QUANTILE,108,0.06977760987565772,0.07180682616137106,0.5,WMQD
FAMILY,ALL,216,0.11174276938291128,0.19725497802604555,0.5,WMQD
FAMILY,MA-THRESH,108,0.20964346513161528,0.2784290378809554,0.5,WMQD
FAMILY,QUANTILE,108,0.013842073634207298,0.01721405172517265,0.5,WMQD
CSD.is,ALL,216,0.10514051223009714,0.18433295891741638,0.5,WMQD
CSD.is,MA-THRESH,108,0.1985530559937575,0.2601856857848029,0.5,WMQD
CSD.is,QUANTILE,108,0.011727968466436822,0.016145847738401706,0.5,WMQD
ZERO,ALL,54,0.08563733730695497,0.15576795022116224,0.5,D
ZERO,MA-THRESH,27,0.1689872303695246,0.22024785299265412,0.5,D
ZERO,QUANTILE,27,0.0022874442443853375,0.004265194524424649,0.5,D
GLOBAL,ALL,54,0.11606885189830456,0.13914399791276377,0.5,D
GLOBAL,MA-THRESH,27,0.1399381885878789,0.17379712062561653,0.5,D
GLOBAL,QUANTILE,27,0.09219951520873028,0.09228577990426971,0.5,D
FAMILY,ALL,54,0.07541707824753775,0.11913763802553762,0.5,D
FAMILY,MA-THRESH,27,0.14858909063792464,0.1684342487692667,0.5,D
FAMILY,QUANTILE,27,0.0022450658571509167,0.004178208963281077,0.5,D
CSD.is,ALL,54,0.092736997255963,0.1516741636188674,0.5,D
CSD.is,MA-THRESH,27,0.17883244142664928,0.2143725084018992,0.5,D
CSD.is,QUANTILE,27,0.006641553085276684,0.007384541992810446,0.5,D
ZERO,ALL,162,0.2642202479781576,0.436377053318163,0.75,WMQ
ZERO,MA-THRESH,81,0.4905240255795317,0.6151074462654276,0.75,WMQ
ZERO,QUANTILE,81,0.03791647037678353,0.049926895298123615,0.75,WMQ
GLOBAL,ALL,162,0.2460244613197652,0.37808563908918835,0.75,WMQ
GLOBAL,MA-THRESH,81,0.39765247126653996,0.5246611558504739,0.75,WMQ
GLOBAL,QUANTILE,81,0.09439645137299042,0.10309302843841933,0.75,WMQ
FAMILY,ALL,162,0.19369975805901288,0.3327218037643308,0.75,WMQ
FAMILY,MA-THRESH,81,0.35205495483169363,0.46859577512103145,0.75,WMQ
FAMILY,QUANTILE,81,0.03534456128633208,0.04272700479906605,0.75,WMQ
CSD.is,ALL,162,0.17729613627992838,0.3049465549236396,0.75,WMQ
CSD.is,MA-THRESH,81,0.32261138827154356,0.4293290145636557,0.75,WMQ
CSD.is,QUANTILE,81,0.03198088428831321,0.040760274451885535,0.75,WMQ
ZERO,ALL,216,0.22966649341356402,0.39458610083740586,0.75,WMQD
ZERO,MA-THRESH,108,0.43000082111103494,0.5563417589234886,0.75,WMQD
ZERO,QUANTILE,108,0.02933216571609319,0.04336161004914032,0.75,WMQD
GLOBAL,ALL,216,0.22690862662289674,0.34179267310277706,0.75,WMQD
GLOBAL,MA-THRESH,108,0.3486728319983797,0.4702274913971764,0.75,WMQD
GLOBAL,QUANTILE,108,0.10514442124741386,0.11194002460157848,0.75,WMQD
FAMILY,ALL,216,0.17257222066741573,0.2955136889227177,0.75,WMQD
FAMILY,MA-THRESH,108,0.3131940903006509,0.4160813419231623,0.75,WMQD
FAMILY,QUANTILE,108,0.03195035103418055,0.03915351305880528,0.75,WMQD
CSD.is,ALL,216,0.1610889812390171,0.274677418931644,0.75,WMQD
CSD.is,MA-THRESH,108,0.2952265820014009,0.38671063217559215,0.75,WMQD
CSD.is,QUANTILE,108,0.0269513804766333,0.036745828392534485,0.75,WMQD
ZERO,ALL,54,0.1260052297197834,0.22697569453212624,0.75,D
ZERO,MA-THRESH,27,0.24843120770554464,0.3209253800103643,0.75,D
ZERO,QUANTILE,27,0.0035792517340221615,0.006544637643554753,0.75,D
GLOBAL,ALL,54,0.17258410570635496,0.2047690083792426,0.75,D
GLOBAL,MA-THRESH,27,0.2073606456635212,0.25462144291701927,0.75,D
GLOBAL,QUANTILE,27,0.1378075657491886,0.13794424378020184,0.75,D
FAMILY,ALL,54,0.11292581134583923,0.1782000335373114,0.75,D
FAMILY,MA-THRESH,27,0.22234288045688827,0.25193155431350833,0.75,D
FAMILY,QUANTILE,27,0.003508742234790189,0.006402799901418831,0.75,D
CSD.is,ALL,54,0.14106384559598406,0.22921556797946596,0.75,D
CSD.is,MA-THRESH,27,0.2711397749387859,0.32393761868370397,0.75,D
CSD.is,QUANTILE,27,0.010987916253182281,0.011998850354496252,0.75,D
ZERO,ALL,162,0.36590911438483004,0.5891209757886187,1.0,WMQ
ZERO,MA-THRESH,81,0.6609130969842485,0.8278771955940655,1.0,WMQ
ZERO,QUANTILE,81,0.07090513178541141,0.09352217514351242,1.0,WMQ
GLOBAL,ALL,162,0.3273299562644496,0.5022691951315107,1.0,WMQ
GLOBAL,MA-THRESH,81,0.524205401471318,0.6949936991331185,1.0,WMQ
GLOBAL,QUANTILE,81,0.1304545110575812,0.14673938435667244,1.0,WMQ
FAMILY,ALL,162,0.2660665980849624,0.4437636601925703,1.0,WMQ
FAMILY,MA-THRESH,81,0.4672168141219234,0.6227480471321265,1.0,WMQ
FAMILY,QUANTILE,81,0.0649163820480013,0.07769969117143699,1.0,WMQ
CSD.is,ALL,162,0.2414258146093728,0.403362329382664,1.0,WMQ
CSD.is,MA-THRESH,81,0.4242705381150568,0.5655920857165722,1.0,WMQ
CSD.is,QUANTILE,81,0.05858109110368887,0.07421543036859038,1.0,WMQ
ZERO,ALL,216,0.3157244552778782,0.5308396157110631,1.0,WMQD
ZERO,MA-THRESH,108,0.5770271484534405,0.7463254861957552,1.0,WMQD
ZERO,QUANTILE,108,0.054421762102316015,0.08111512726494301,1.0,WMQD
GLOBAL,ALL,216,0.3023142785836427,0.45499061208017894,1.0,WMQD
GLOBAL,MA-THRESH,108,0.46110877429609215,0.6241274871644406,1.0,WMQD
GLOBAL,QUANTILE,108,0.1435197828711931,0.15651771122781213,1.0,WMQD
FAMILY,ALL,216,0.23806532163771857,0.3956742881656563,1.0,WMQD
FAMILY,MA-THRESH,108,0.4172056043206664,0.5549681265985447,1.0,WMQD
FAMILY,QUANTILE,108,0.05892503895477072,0.07160071990210268,1.0,WMQD
CSD.is,ALL,216,0.22044545166349735,0.3658753920865892,1.0,WMQD
CSD.is,MA-THRESH,108,0.3911668077262527,0.5130393444822361,1.0,WMQD
CSD.is,QUANTILE,108,0.049724095600742056,0.06723270098894045,1.0,WMQD
ZERO,ALL,54,0.16517047795702297,0.29321019438395063,1.0,D
ZERO,MA-THRESH,27,0.3253693028610161,0.4145660049102411,1.0,D
ZERO,QUANTILE,27,0.004971653053029811,0.00891424444976458,1.0,D
GLOBAL,ALL,54,0.22757049402918847,0.26777817198492154,1.0,D
GLOBAL,MA-THRESH,27,0.2722737655023646,0.3315109854827285,1.0,D
GLOBAL,QUANTILE,27,0.18286722255601232,0.1830594583392037,1.0,D
FAMILY,ALL,54,0.14996886637962822,0.23751880850448226,1.0,D
FAMILY,MA-THRESH,27,0.2950697250319156,0.33578934199740257,1.0,D
FAMILY,QUANTILE,27,0.004868007727340916,0.008711290818775136,1.0,D
CSD.is,ALL,54,0.1906132802646932,0.3084230875476512,1.0,D
CSD.is,MA-THRESH,27,0.36512637275725973,0.4358314093576745,1.0,D
CSD.is,QUANTILE,27,0.0161001877721268,0.017337372412085234,1.0,D
