panel,pick_n,pick_depth,pick_oos_sharpe,pick_oos_cagr,pick_oos_dd,anchor_oos_sharpe,best_n,best_depth,best_oos_sharpe,spy_oos_sharpe,base_oos_sharpe
U56,3,1.0,1.0553980365043352,0.23805236009934383,-0.25810346252191085,1.0794969269400587,3,0.25,1.0834805912281926,0.8820107671822842,1.285072363206482
B136,8,1.0,0.7985340548978999,0.13908178544587657,-0.21820346391661016,0.6010467811348418,5,0.5,0.8216661598782058,0.8820239235972316,1.1185082795688426
SMALL439,8,0.0,0.27128718814996283,0.03427537444706252,-0.4129412601719614,0.2453793693044508,8,1.0,0.43638389152635365,0.8820107671822842,0.5680478293625534
