panel,cost,cell,pass_D,pass_W,pass_2W,pass_M,n_cadences
U56,10,b0.00_g1.00,False,True,True,True,3
U56,10,b0.02_g1.00,True,True,True,True,4
U56,10,b0.03_g1.00,True,True,True,True,4
U56,10,b0.05_g1.00,True,True,True,False,3
U56,10,b0.08_g1.00,True,True,True,False,3
U56,25,b0.00_g1.00,False,False,True,True,2
U56,25,b0.02_g1.00,False,True,True,True,3
U56,25,b0.03_g1.00,True,True,True,True,4
U56,25,b0.05_g1.00,False,True,True,False,2
U56,25,b0.08_g1.00,True,True,True,False,3
B136,10,b0.00_g1.00,False,False,True,True,2
B136,10,b0.02_g1.00,False,True,True,True,3
B136,10,b0.03_g1.00,False,True,True,False,2
B136,10,b0.05_g1.00,False,True,True,False,2
B136,10,b0.08_g1.00,True,True,False,False,2
B136,25,b0.00_g1.00,False,False,False,True,1
B136,25,b0.02_g1.00,False,False,False,True,1
B136,25,b0.08_g1.00,True,True,False,False,2
