pair,universe,book,conv,f,corr_f,corr_r,d_corr,conv_f,conv_r,d_conv
S5f vs S5r,u56,v1,natural,0.25,0.5378457981175891,0.3919152441862498,0.14593055393133936,0.004238366144877296,0.05854675025424807,-0.05430838410937077
S5f vs S5r,u56,v1,natural,0.5,0.5378457981175891,0.3919152441862498,0.14593055393133936,0.023163256000701408,0.06271829555660609,-0.039555039555904684
S5f vs S5r,u56,v1,natural,0.75,0.5378457981175891,0.3919152441862498,0.14593055393133936,0.03276191634776437,0.05118351238586094,-0.018421596038096573
S5f vs S5r,u56,v1,matched,0.25,0.5378457981175891,0.3919152441862498,0.14593055393133936,0.0638578006066095,0.15627845150187325,-0.09242065089526375
S5f vs S5r,u56,v1,matched,0.5,0.5378457981175891,0.3919152441862498,0.14593055393133936,0.07514378365923488,0.13387528139059487,-0.058731497731359994
S5f vs S5r,u56,v1,matched,0.75,0.5378457981175891,0.3919152441862498,0.14593055393133936,0.06921324846175957,0.09316875970295238,-0.023955511241192814
S5f vs S5r,u56,top20,natural,0.25,0.5153868951150761,0.35378687542963094,0.16160001968544513,0.035311594705728325,0.05410827859529972,-0.018796683889571397
S5f vs S5r,u56,top20,natural,0.5,0.5153868951150761,0.35378687542963094,0.16160001968544513,0.03519268683902458,0.05144380003672465,-0.01625111319770007
S5f vs S5r,u56,top20,natural,0.75,0.5153868951150761,0.35378687542963094,0.16160001968544513,0.02847292639593452,0.03812941818736374,-0.00965649179142922
S5f vs S5r,u56,top20,matched,0.25,0.5153868951150761,0.35378687542963094,0.16160001968544513,0.0465738609283639,0.08018148483028241,-0.03360762390191851
S5f vs S5r,u56,top20,matched,0.5,0.5153868951150761,0.35378687542963094,0.16160001968544513,0.04310438916383196,0.07073005280734121,-0.027625663643509248
S5f vs S5r,u56,top20,matched,0.75,0.5153868951150761,0.35378687542963094,0.16160001968544513,0.03312181737167433,0.05033860947039564,-0.01721679209872131
S5f vs S5r,u56,ewall,natural,0.25,0.5006444648756416,0.33591216226705484,0.1647323026085868,0.04854600182177739,0.07107897394970239,-0.022532972127925002
S5f vs S5r,u56,ewall,natural,0.5,0.5006444648756416,0.33591216226705484,0.1647323026085868,0.047048603518498565,0.06568566336811349,-0.018637059849614925
S5f vs S5r,u56,ewall,natural,0.75,0.5006444648756416,0.33591216226705484,0.1647323026085868,0.035681628557729245,0.04531763633405066,-0.009636007776321412
S5f vs S5r,u56,ewall,matched,0.25,0.5006444648756416,0.33591216226705484,0.1647323026085868,0.08528011755816226,0.12030627188827606,-0.0350261543301138
S5f vs S5r,u56,ewall,matched,0.5,0.5006444648756416,0.33591216226705484,0.1647323026085868,0.0742497108769766,0.10142076240798933,-0.027171051531012735
S5f vs S5r,u56,ewall,matched,0.75,0.5006444648756416,0.33591216226705484,0.1647323026085868,0.05125068408227919,0.06603510240714502,-0.014784418324865836
S5f vs S5r,broad,v1,natural,0.25,0.43557843645387956,0.28845450171155945,0.1471239347423201,0.0029457628210263495,0.060438801385803306,-0.05749303856477696
S5f vs S5r,broad,v1,natural,0.5,0.43557843645387956,0.28845450171155945,0.1471239347423201,0.02913152296908681,0.06975303500334297,-0.04062151203425616
S5f vs S5r,broad,v1,natural,0.75,0.43557843645387956,0.28845450171155945,0.1471239347423201,0.04403925106473787,0.060974765734242486,-0.016935514669504617
S5f vs S5r,broad,v1,matched,0.25,0.43557843645387956,0.28845450171155945,0.1471239347423201,0.014352940429862052,0.10615244764067461,-0.09179950721081255
S5f vs S5r,broad,v1,matched,0.5,0.43557843645387956,0.28845450171155945,0.1471239347423201,0.03932007746252411,0.1004359560020729,-0.06111587853954879
S5f vs S5r,broad,v1,matched,0.75,0.43557843645387956,0.28845450171155945,0.1471239347423201,0.05395309678346246,0.07734410478280518,-0.023391007999342718
S5f vs S5r,broad,top20,natural,0.25,0.4165187739567461,0.260920828014431,0.15559794594231507,0.02296738892744398,0.04211798790655722,-0.01915059897911324
S5f vs S5r,broad,top20,natural,0.5,0.4165187739567461,0.260920828014431,0.15559794594231507,0.02648814907359192,0.04341424087795312,-0.0169260918043612
S5f vs S5r,broad,top20,natural,0.75,0.4165187739567461,0.260920828014431,0.15559794594231507,0.02627508824104776,0.03726768381690887,-0.01099259557586111
S5f vs S5r,broad,top20,matched,0.25,0.4165187739567461,0.260920828014431,0.15559794594231507,0.03743409652661015,0.0683054097156408,-0.030871313189030643
S5f vs S5r,broad,top20,matched,0.5,0.4165187739567461,0.260920828014431,0.15559794594231507,0.036920583347914045,0.062390838051146036,-0.02547025470323199
S5f vs S5r,broad,top20,matched,0.75,0.4165187739567461,0.260920828014431,0.15559794594231507,0.032424452552563134,0.04883202247283904,-0.016407569920275908
S5f vs S5r,broad,ewall,natural,0.25,0.39765162293128553,0.22584373343978253,0.171807889491503,0.049763579720303826,0.07248092920177159,-0.02271734948146776
S5f vs S5r,broad,ewall,natural,0.5,0.39765162293128553,0.22584373343978253,0.171807889491503,0.050961781519310585,0.07028742153313434,-0.01932564001382376
S5f vs S5r,broad,ewall,natural,0.75,0.39765162293128553,0.22584373343978253,0.171807889491503,0.04097604570878498,0.05112204164937245,-0.010145995940587474
S5f vs S5r,broad,ewall,matched,0.25,0.39765162293128553,0.22584373343978253,0.171807889491503,0.08763843572931747,0.12304416503595975,-0.03540572930664228
S5f vs S5r,broad,ewall,matched,0.5,0.39765162293128553,0.22584373343978253,0.171807889491503,0.07932717313888842,0.1068162660138484,-0.027489092874959986
S5f vs S5r,broad,ewall,matched,0.75,0.39765162293128553,0.22584373343978253,0.171807889491503,0.05713459494648196,0.07150109940282967,-0.014366504456347712
