transform,direction,cells,pass4a,pass4b,beat_anchor,beat_v2,beat_spy
dm,+,12,0,0,5,0,1
dm,-,12,0,0,4,0,1
none,+,12,0,0,8,2,2
none,-,12,0,1,6,2,3
ratio,+,12,0,1,8,2,3
ratio,-,12,0,2,6,0,4
residx,+,12,0,0,4,0,1
residx,-,12,0,0,4,0,1
