cadence,draws,tranche_4b_rate,tranche_4a_rate,med_OOS_Sharpe,med_OOS_CAGR,med_OOS_MaxDD,med_dd_margin_pp,dd_leg_rate,med_family_4b_share
Q,25,0.0,0.0,1.1308,0.1351,-0.2188,-1.6489,0.0,0.0
Q,50,0.0,0.0,1.1312,0.1353,-0.2186,-1.6294,0.0,0.0159
Q,100,0.0,0.0,1.1317,0.1353,-0.2187,-1.6377,0.0,0.0159
Q,200,0.0,0.0,1.1321,0.1353,-0.2187,-1.6395,0.0,0.0159
M,25,0.0,0.0,1.0914,0.1301,-0.2182,-1.5865,0.0,0.0476
M,50,0.0,0.0,1.0911,0.1302,-0.2197,-1.7401,0.0,0.0
M,100,0.0,0.0,1.0919,0.1305,-0.22,-1.7707,0.0,0.0476
M,200,0.0,0.0,1.0909,0.1306,-0.2202,-1.7934,0.0,0.0476
