panel,family,m,gross,max_name_w,p99_name_w,med_name_w,mean_gross,mean_sweep_w,turnover_yr,bind_share,max_row_sum
U56,FLOOR,1,0.75,0.15,0.057692307692307696,0.017045454545454544,0.9999999999999998,0.2694679637786412,4.39457281063272,0.0,1.0000000000000004
U56,FLOOR,3,0.75,0.15,0.057692307692307696,0.017045454545454544,0.9999999999999998,0.2694679637786412,4.39457281063272,0.0,1.0000000000000004
U56,FLOOR,5,0.75,0.15,0.057692307692307696,0.017045454545454544,0.9999999999999998,0.2694679637786412,4.39457281063272,0.0,1.0000000000000004
U56,FLOOR,8,0.75,0.09375,0.05357142857142857,0.017045454545454544,0.9999999999999998,0.2757795207609847,4.575214226742468,0.010112359550561797,1.0000000000000004
U56,FLOOR,12,0.75,0.0625,0.046875,0.017045454545454544,0.9999999999999998,0.29172814180286416,4.504473936551626,0.037303370786516854,1.0000000000000004
U56,FLOOR,20,0.75,0.0375,0.03409090909090909,0.017045454545454544,0.9999999999999998,0.32319854896559497,4.48873498229331,0.10089887640449438,1.0000000000000004
U56,FLOOR,INF,0.75,0.015,0.015,0.013888888888888888,1.0,0.47955874345226324,2.7898772619193837,1.0,1.0000000000000009
U56,CAP2,cap0.020,0.75,0.02,0.02,0.017045454545454544,0.9999999999999998,0.3436092589733788,3.5063829420832278,,1.0000000000000004
U56,FLOORCAP,1,0.75,0.02,0.02,0.017045454545454544,0.9999999999999998,0.3436092589733788,3.5063829420832278,0.0,1.0000000000000004
U56,FLOORCAP,3,0.75,0.02,0.02,0.017045454545454544,0.9999999999999998,0.3436092589733788,3.5063829420832278,0.0,1.0000000000000004
U56,FLOORCAP,5,0.75,0.02,0.02,0.017045454545454544,0.9999999999999998,0.3436092589733788,3.5063829420832278,0.0,1.0000000000000004
U56,FLOORCAP,8,0.75,0.02,0.02,0.017045454545454544,0.9999999999999998,0.34395211611623583,3.520173948079924,0.010112359550561797,1.0000000000000004
U56,FLOORCAP,12,0.75,0.02,0.02,0.017045454545454544,0.9999999999999998,0.3454331171376863,3.5378379529180046,0.037303370786516854,1.0000000000000004
U56,FLOORCAP,20,0.75,0.02,0.02,0.017045454545454544,0.9999999999999998,0.35124759130036914,3.6417425390753198,0.10089887640449438,1.0000000000000004
U56,FLOORCAP,INF,0.75,0.015,0.015,0.013888888888888888,1.0,0.47955874345226324,2.7898772619193837,1.0,1.0000000000000009
U56,FLOOR,1,1.0,0.2,0.07692307692307693,0.022727272727272728,1.0,0.025957285038188612,5.679032812388824,0.0,1.0000000000000009
U56,FLOOR,3,1.0,0.2,0.07692307692307693,0.022727272727272728,1.0,0.025957285038188612,5.679032812388824,0.0,1.0000000000000009
U56,FLOOR,5,1.0,0.2,0.07692307692307693,0.022727272727272728,1.0,0.025957285038188612,5.679032812388824,0.0,1.0000000000000009
U56,FLOOR,8,1.0,0.125,0.07142857142857142,0.022727272727272728,1.0,0.03437269434797994,5.924692197418,0.010112359550561797,1.0000000000000009
U56,FLOOR,12,1.0,0.08333333333333333,0.0625,0.022727272727272728,1.0,0.05563752240381923,5.83874994126593,0.037303370786516854,1.0000000000000009
U56,FLOOR,20,1.0,0.05,0.045454545454545456,0.022727272727272728,1.0,0.0975980652874603,5.827240333388128,0.10089887640449438,1.0000000000000009
U56,FLOOR,INF,1.0,0.02,0.02,0.018518518518518517,0.9999999999999998,0.3060783246030174,3.7126178503948926,1.0,1.0000000000000009
U56,CAP2,cap0.020,1.0,0.02,0.02,0.02,0.9999999999999996,0.24981764438997936,3.9918738682526254,,1.0000000000000009
U56,FLOORCAP,1,1.0,0.02,0.02,0.02,0.9999999999999996,0.24981764438997936,3.9918738682526254,0.0,1.0000000000000009
U56,FLOORCAP,3,1.0,0.02,0.02,0.02,0.9999999999999996,0.24981764438997936,3.9918738682526254,0.0,1.0000000000000009
U56,FLOORCAP,5,1.0,0.02,0.02,0.02,0.9999999999999996,0.24981764438997936,3.9918738682526254,0.0,1.0000000000000009
U56,FLOORCAP,8,1.0,0.02,0.02,0.02,0.9999999999999996,0.2498927647752121,3.9930498164434773,0.010112359550561797,1.0000000000000009
U56,FLOORCAP,12,1.0,0.02,0.02,0.02,0.9999999999999996,0.2502449608937004,3.9992865339049906,0.037303370786516854,1.0000000000000009
U56,FLOORCAP,20,1.0,0.02,0.02,0.02,0.9999999999999996,0.25155264929038607,4.011632974821844,0.10089887640449438,1.0000000000000009
U56,FLOORCAP,INF,1.0,0.02,0.02,0.018518518518518517,0.9999999999999998,0.3060783246030174,3.7126178503948926,1.0,1.0000000000000009
B136,FLOOR,1,0.75,0.125,0.02142857142857143,0.007142857142857143,1.0000000000000004,0.25851194830674606,4.906022705624988,0.0,1.0000000000000002
B136,FLOOR,3,0.75,0.125,0.02142857142857143,0.007142857142857143,1.0000000000000004,0.25851194830674606,4.906022705624988,0.0,1.0000000000000002
B136,FLOOR,5,0.75,0.125,0.02142857142857143,0.007142857142857143,1.0000000000000004,0.25851194830674606,4.906022705624988,0.0,1.0000000000000002
B136,FLOOR,8,0.75,0.09375,0.02142857142857143,0.007142857142857143,1.0000000000000004,0.2600059839144968,4.994162499819123,0.0024730215827338128,1.0000000000000002
B136,FLOOR,12,0.75,0.0625,0.020833333333333332,0.007142857142857143,1.0000000000000004,0.2629316917822381,4.962440999621208,0.007194244604316547,1.0000000000000002
