panel,cadence,estimator,cost_bps,chooser,book,gross,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,pass4b,pass4a,fail4b,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,v2_OOS_CAGR,v2_OOS_Sharpe,v2_OOS_MaxDD
B136,M,CANON,0.0,C_CAGR,TOP05,EXT,0.3694029942161885,1.1952260457985648,-0.3962330317774245,1.1726735642097577,1.2174637504529617,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.08111872133378806,1.135749924987383,-0.12211590879264556
B136,M,CANON,0.0,C_SHARPE,TOP20,EXT,0.21863405112004441,1.0463399012441945,-0.3362922918786876,1.0922458780619841,0.999516735777044,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.08111872133378806,1.135749924987383,-0.12211590879264556
B136,M,CANON,0.0,C_ISLEGS,TOP20,CORE,0.16306149422920968,1.0419540620776013,-0.26066677445919995,1.0872085017195998,0.9955855214231927,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.08111872133378806,1.135749924987383,-0.12211590879264556
B136,M,CANON,5.0,C_CAGR,TOP05,EXT,0.36050935079079394,1.1737630858161079,-0.39659347138505907,1.1520606707605097,1.1951617144794897,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.0799834783511002,1.1209354714377004,-0.12226288612209668
B136,M,CANON,5.0,C_SHARPE,TOP20,EXT,0.21334958242129276,1.0257502955009592,-0.33652200787145126,1.07344637224577,0.9766987148492174,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.0799834783511002,1.1209354714377004,-0.12226288612209668
B136,M,CANON,5.0,C_ISLEGS,TOP20,CORE,0.1592654769107531,1.021204061087737,-0.26085966777376457,1.0681875484146814,0.9727082470869094,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.0799834783511002,1.1209354714377004,-0.12226288612209668
B136,M,CANON,10.0,C_CAGR,TOP05,EXT,0.3516680118950768,1.1522413137330996,-0.3969539109926935,1.1313858804545622,1.172804279514954,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.07884939392053303,1.1061149281164175,-0.12240985403190019
B136,M,CANON,10.0,C_SHARPE,TOP20,EXT,0.20808598369273268,1.0051190817446478,-0.33675172386421537,1.0546047366474396,0.9538416796023945,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.07884939392053303,1.1061149281164175,-0.12240985403190019
B136,M,CANON,10.0,C_ISLEGS,TOP20,CORE,0.15548074428192016,1.000411926222563,-0.2610525610883291,1.0491234848873028,0.9497919942718801,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.07884939392053303,1.1061149281164175,-0.12240985403190019
B136,M,CANON,25.0,C_CAGR,TOP05,EXT,0.32545506753448517,1.087350366315904,-0.3980352298155969,1.0690149254127388,1.1054292305511069,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,0.07545408045393409,1.0616191233203185,-0.12285070124478226
