hmult,half_w,centre,n,mean,crossing,last_nonpos
0.0,0.0,-1.0,32,-0.3541874667819674,0.1,0.0
0.0,0.0,-0.75,32,-0.2940306029177615,0.1,0.0
0.0,0.0,-0.5,32,-0.20276388247134827,0.1,0.0
0.0,0.0,-0.25,32,-0.09826492777063166,0.1,0.0
0.0,0.0,-0.1,32,-0.025580612687661698,0.1,0.0
0.0,0.0,0.0,32,0.0,0.1,0.0
0.0,0.0,0.1,32,0.04596272365274063,0.1,0.0
0.0,0.0,0.25,32,0.05141805834068518,0.1,0.0
0.0,0.0,0.5,32,0.05253818896974237,0.1,0.0
0.0,0.0,0.75,32,0.05512804452733195,0.1,0.0
0.0,0.0,1.0,32,0.06066325338665806,0.1,0.0
1.0,0.25,-1.0,64,-0.3241090348498645,0.1,0.0
1.0,0.25,-0.75,96,-0.28366065072369234,0.1,0.0
1.0,0.25,-0.5,96,-0.1983531377199138,0.1,0.0
1.0,0.25,-0.25,128,-0.08165235573241039,0.1,0.0
1.0,0.25,-0.1,128,-0.019470704201388175,0.1,0.0
1.0,0.25,0.0,160,-0.005292951692973511,0.1,0.0
1.0,0.25,0.1,128,0.01795004232644103,0.1,0.0
1.0,0.25,0.25,128,0.03747974274079205,0.1,0.0
1.0,0.25,0.5,96,0.05302809727925317,0.1,0.0
1.0,0.25,0.75,96,0.05610982896124413,0.1,0.0
1.0,0.25,1.0,64,0.057895648956995005,0.1,0.0
2.0,0.5,-1.0,96,-0.28366065072369234,0.1,0.0
2.0,0.5,-0.75,128,-0.23731171998542716,0.1,0.0
2.0,0.5,-0.5,192,-0.16247124877156174,0.1,0.0
2.0,0.5,-0.25,224,-0.0747513205505682,0.1,0.0
2.0,0.5,-0.1,192,-0.0382047734893693,0.1,0.0
2.0,0.5,0.0,224,-0.02524149313806764,0.1,0.0
2.0,0.5,0.1,192,0.0043455717508124716,0.1,0.0
2.0,0.5,0.25,224,0.01160021071888668,0.1,0.0
2.0,0.5,0.5,192,0.0442850448128597,0.1,0.0
2.0,0.5,0.75,128,0.05493688630610439,0.1,0.0
2.0,0.5,1.0,96,0.05610982896124413,0.1,0.0
3.0,0.75,-1.0,128,-0.23731171998542716,0.5,0.25
3.0,0.75,-0.75,192,-0.16247124877156174,0.5,0.25
3.0,0.75,-0.5,256,-0.10968083882949309,0.5,0.25
3.0,0.75,-0.25,288,-0.09165650240735582,0.5,0.25
3.0,0.75,-0.1,256,-0.05884013186052938,0.5,0.25
3.0,0.75,0.0,288,-0.046177001150767,0.5,0.25
3.0,0.75,0.1,256,-0.015195300929892687,0.5,0.25
3.0,0.75,0.25,288,-0.006766572672498159,0.5,0.25
3.0,0.75,0.5,256,0.01773309105235811,0.5,0.25
3.0,0.75,0.75,192,0.0442850448128597,0.5,0.25
3.0,0.75,1.0,128,0.05493688630610439,0.5,0.25
4.0,1.0,-1.0,192,-0.16247124877156174,0.75,0.5
4.0,1.0,-0.75,256,-0.10968083882949309,0.75,0.5
4.0,1.0,-0.5,288,-0.09165650240735582,0.75,0.5
4.0,1.0,-0.25,320,-0.07697804771388703,0.75,0.5
4.0,1.0,-0.1,320,-0.07697804771388703,0.75,0.5
4.0,1.0,0.0,352,-0.06446520215929202,0.75,0.5
4.0,1.0,0.1,320,-0.0354929756970245,0.75,0.5
4.0,1.0,0.25,320,-0.0354929756970245,0.75,0.5
4.0,1.0,0.5,288,-0.006766572672498159,0.75,0.5
4.0,1.0,0.75,256,0.01773309105235811,0.75,0.5
4.0,1.0,1.0,192,0.0442850448128597,0.75,0.5
5.0,1.25,-1.0,256,-0.10968083882949309,1.0,0.75
5.0,1.25,-0.75,288,-0.09165650240735582,1.0,0.75
5.0,1.25,-0.5,320,-0.07697804771388703,1.0,0.75
5.0,1.25,-0.25,352,-0.06446520215929202,1.0,0.75
5.0,1.25,-0.1,352,-0.06446520215929202,1.0,0.75
5.0,1.25,0.0,352,-0.06446520215929202,1.0,0.75
5.0,1.25,0.1,352,-0.06446520215929202,1.0,0.75
5.0,1.25,0.25,352,-0.06446520215929202,1.0,0.75
5.0,1.25,0.5,320,-0.0354929756970245,1.0,0.75
5.0,1.25,0.75,288,-0.006766572672498159,1.0,0.75
5.0,1.25,1.0,256,0.01773309105235811,1.0,0.75
