fallback,range_10bps,range_0bps,retained,RC0_D,RC0_W,RC0_M,RC0_Q
FB_CASH,0.5199,0.4977,0.9573,-0.8883,-0.5851,-0.6002,-0.3907
FB_SPY,0.5217,0.5005,0.9592,-0.0142,0.2918,0.2767,0.4862
FB_LIVE,0.1925,0.2096,1.0885,0.03,-0.025,-0.0401,0.1695
