vocab,cls,cells,instances,files,mean,inst_mean,win_rate,lo,hi,usable,wins,loses
STRICT,IS-SHARPE,4044,76,64,-0.0027892709549749766,-0.004607941694295427,0.32270029673590506,-0.014162833405508283,0.016208057770890693,True,False,False
STRICT,GATED,1038,41,22,0.002984744166253645,0.009738875459923796,0.44701348747591524,-0.02617681327443413,0.04051637586957666,True,False,False
STRICT,IS-CAGR,206,3,3,0.0049503859416854335,0.0030734513509510057,0.2912621359223301,0.0009771998322474496,0.006298128637961324,False,False,False
STRICT,RANDOM,14,1,1,-0.2517713152322082,-0.2517713152322082,0.14285714285714285,-0.2517713152322082,-0.2517713152322082,False,False,False
BROAD,IS-SHARPE,14065,194,110,0.16823043278141392,0.11045240833804819,0.5788126555279062,0.0419987324824842,0.3013166226489183,True,True,False
BROAD,GATED,2376,74,31,0.16113481178923508,0.13668919509027055,0.632996632996633,0.07437399449249424,0.25771057476787096,True,True,False
BROAD,SHRUNK-FIT,1120,2,1,0.08228594484375061,0.08228594484375062,0.5892857142857143,0.06724052293374885,0.09733136675375238,False,False,False
BROAD,OTHER,1120,2,1,0.05278381716462892,0.05278381716462891,0.3625,0.0,0.10556763432925784,False,False,False
BROAD,IS-CAGR,600,9,4,0.09750401317164029,0.08643930952469125,0.48,-0.07170435271979946,0.30522683580562504,True,False,False
BROAD,RANDOM,27,4,4,0.03827689480555158,0.1920076172153349,0.5555555555555556,-0.18834735036953687,0.38257840885822714,False,False,False
