chooser,moved,obs_gap,null_mean,null_sd,null_p90,pctile
C_ANCHOR,0,0.0,0.0,0.0,0.0,0.0
C_ISSHARPE,21,0.04178233643550792,0.042490716196237954,0.01787075294775751,0.06503822062234686,0.4655
C_ISCAGR,22,0.027893714528394526,0.04534852437725783,0.016793714160320862,0.06694913888296694,0.1475
C_ISCALMAR,21,0.05420090217560019,0.04344895525694504,0.017432324546214992,0.0662359280405792,0.729
C_ISDD,22,0.06213613735163098,0.045077514860767505,0.017419976839930868,0.06808040398401186,0.8285
C_NULLPCT,21,0.04034587613966702,0.042501554653978604,0.01761088825736622,0.06512254200981606,0.4445
C_NULLZ,20,0.07134450225661103,0.04113548466701136,0.017505789758631304,0.06345766677357097,0.963
C_TIID,21,0.049101042212079386,0.04319457161074912,0.01786865997798089,0.06587542386522328,0.61
C_TBLOCK,21,0.049101042212079386,0.042658463312112156,0.017483956404998634,0.06518572818080032,0.633
C_TFOLD,21,0.0341403378664222,0.042797992809921775,0.01775306587536937,0.06522545494922392,0.2985
C_BARIID,2,0.0031987833313401257,0.004317800178981288,0.008561941000079615,0.01665390044738322,0.5105
C_BARBLOCK,2,-0.005480301759278087,0.004006002002478707,0.008369541119972826,0.016426058985554708,0.0885
C_BARFOLD,5,-0.01531132760911857,0.009938411097351278,0.012423396864476285,0.026005574169424905,0.0155
C_MONO,8,0.016201725048815268,0.016540834162232267,0.015371928928747568,0.03648092882356982,0.5055
C_MEDIAN,15,0.03809504879651335,0.03037843362978027,0.017898167912179026,0.05387296649015711,0.6605
C_RANDOM,19,0.049068822502778504,0.0384498779443723,0.017942770177436795,0.06170423421296683,0.7245
