minfiles,panel,row_N,row_g,row_support,file_N,file_g,file_support,ncells,same
2,B136,15,0.6,1.0,15,0.6,1.0,121,True
2,SMALL,40,1.0,0.0823045267489712,40,1.0,0.01652892561983471,105,True
2,U56,15,0.6,1.0,15,0.6,1.0,127,True
5,B136,25,0.6,1.0,25,0.6,1.0,45,True
5,SMALL,40,1.0,0.0823045267489712,40,1.0,0.01652892561983471,44,True
5,U56,15,0.6,1.0,15,0.6,1.0,43,True
10,B136,40,1.0,0.27586206896551724,20,0.65,0.6186904761904761,13,False
10,SMALL,40,1.0,0.0823045267489712,40,1.0,0.01652892561983471,12,True
10,U56,20,0.65,0.6540284360189573,20,0.65,0.7360714285714286,13,True
25,B136,20,0.75,0.0960591133004926,10,0.75,0.16616161616161615,2,False
25,SMALL,20,0.75,0.02763819095477387,20,0.75,0.0032258064516129032,2,True
25,U56,20,0.75,0.29177057356608477,20,0.75,0.5256555944055944,2,True
