tau,delta,deleted,of,share
0.005,0.0,50,10019,0.0049905180157700365
0.005,0.005,85,10019,0.008483880626809062
0.005,0.01,87,10019,0.008683501347439865
0.005,0.02,89,10019,0.008883122068070666
0.005,0.05,89,10019,0.008883122068070666
0.01,0.0,58,10019,0.005789000898293243
0.01,0.005,93,10019,0.00928236350933227
0.01,0.01,100,10019,0.009981036031540073
0.01,0.02,102,10019,0.010180656752170876
0.01,0.05,102,10019,0.010180656752170876
0.02,0.0,73,10019,0.0072861563030242535
0.02,0.005,110,10019,0.010979139634694081
0.02,0.01,117,10019,0.011677812156901887
0.02,0.02,119,10019,0.011877432877532687
0.02,0.05,119,10019,0.011877432877532687
0.05,0.0,110,10019,0.010979139634694081
0.05,0.005,147,10019,0.014672122966363908
0.05,0.01,156,10019,0.015570416209202515
0.05,0.02,159,10019,0.015869847290148717
0.05,0.05,159,10019,0.015869847290148717
0.1,0.0,161,10019,0.01606946801077952
0.1,0.005,200,10019,0.019962072063080146
0.1,0.01,212,10019,0.02115979638686496
0.1,0.02,216,10019,0.02155903782812656
0.1,0.05,216,10019,0.02155903782812656
0.25,0.0,315,10019,0.03144026349935123
0.25,0.005,363,10019,0.036231160794490465
0.25,0.01,378,10019,0.03772831619922148
0.25,0.02,389,10019,0.038826230162690885
0.25,0.05,404,10019,0.0403233855674219
0.5,0.0,904,10019,0.09022856572512226
0.5,0.005,968,10019,0.09661642878530792
0.5,0.01,985,10019,0.09831320491066972
0.5,0.02,1005,10019,0.10030941211697775
0.5,0.05,1053,10019,0.10510030941211698
1.0,0.0,1563,10019,0.15600359317297136
1.0,0.005,1637,10019,0.163389559836311
1.0,0.01,1661,10019,0.1657850084838806
1.0,0.02,1688,10019,0.16847988821239646
1.0,0.05,1774,10019,0.1770635791995209
