dial,margin,cells,emptied,admitted,false_admits,fa_rate,fa_only_OOS_bar,fa_share_missing_bar,full_passers,covered,coverage
band,0,12,10,6,5,0.8333333333333334,0,0.0,9,1,0.1111111111111111
band,1,12,11,3,3,1.0,0,0.0,9,0,0.0
band,2,12,11,1,1,1.0,0,0.0,9,0,0.0
n,0,6,3,5,5,1.0,0,0.0,0,0,
n,1,6,6,0,0,,0,,0,0,
n,2,6,6,0,0,,0,,0,0,
gross,0,12,6,26,19,0.7307692307692307,0,0.0,10,7,0.7
gross,1,12,6,14,11,0.7857142857142857,0,0.0,10,3,0.3
gross,2,12,10,4,2,0.5,0,0.0,10,2,0.2
vol,0,12,6,26,13,0.5,0,0.0,19,13,0.6842105263157895
vol,1,12,6,14,5,0.35714285714285715,0,0.0,19,9,0.47368421052631576
vol,2,12,10,2,0,0.0,0,,19,2,0.10526315789473684
K,0,12,10,4,3,0.75,0,0.0,6,1,0.16666666666666666
K,1,12,11,1,1,1.0,0,0.0,6,0,0.0
K,2,12,12,0,0,,0,,6,0,0.0
