share,cells,mean_d,frac_pos,dial
0.2,0,,,BAND
0.225,0,,,BAND
0.25,0,,,BAND
0.275,0,,,BAND
0.3,0,,,BAND
0.325,1,-0.0030770781757763,0.0,BAND
0.35,5,-0.0024223462563692,0.0,BAND
0.375,6,0.00059112637181685,0.16666666666666666,BAND
0.4,9,0.008024168272544435,0.4444444444444444,BAND
0.425,14,0.014847381683389808,0.6428571428571429,BAND
0.45,15,0.01592805742109038,0.6666666666666666,BAND
0.475,15,0.01592805742109038,0.6666666666666666,BAND
0.5,10,0.025103259259820165,1.0,BAND
0.525,9,0.026152678120606065,1.0,BAND
0.55,7,0.023247447828921314,0.8571428571428571,BAND
0.575,2,0.0135431528439459,0.5,BAND
0.6,2,0.0005166665794294001,0.5,BAND
0.625,10,-0.0011117449641247499,0.2,BAND
0.65,12,0.0007204951619669085,0.3333333333333333,BAND
0.675,20,-0.0013473108785041052,0.35,BAND
0.7,22,-0.0013576274040322776,0.3181818181818182,BAND
0.725,22,-0.0014903696219726002,0.3181818181818182,BAND
0.75,34,-0.0025770866114996002,0.29411764705882354,BAND
0.775,30,-0.002862596721398284,0.36666666666666664,BAND
0.8,35,-0.0039834427224467684,0.2857142857142857,BAND
0.825,36,-0.004039774883415134,0.3055555555555556,BAND
0.85,30,-0.0034004155938907013,0.3333333333333333,BAND
0.875,33,-0.002894852848310195,0.3939393939393939,BAND
0.9,20,-0.002285093805325632,0.45,BAND
0.925,25,-0.0014117654582177694,0.28,BAND
0.95,24,-0.0015835565550693595,0.25,BAND
0.975,16,-0.000394859984544325,0.25,BAND
1.0,13,-3.1478233323776945e-05,0.23076923076923078,BAND
0.2,2,0.00499855199440555,1.0,BAND+
0.225,4,0.005231032573966624,1.0,BAND+
0.25,9,0.010414855652602343,1.0,BAND+
0.275,23,0.0049466492719208105,0.8260869565217391,BAND+
0.3,33,0.0011009877744842362,0.7272727272727273,BAND+
0.325,42,0.0016809376712757405,0.7142857142857143,BAND+
0.35,47,0.0024090484193370087,0.6808510638297872,BAND+
0.375,49,0.0006568394630344019,0.6326530612244898,BAND+
0.4,47,-0.0006883533649308763,0.574468085106383,BAND+
0.425,37,-0.003833410324494192,0.5135135135135135,BAND+
0.45,33,0.0012528652556038115,0.5151515151515151,BAND+
0.475,26,0.0009215794659582306,0.5,BAND+
0.5,24,-0.0007939325242244543,0.5416666666666666,BAND+
0.525,22,0.0023284514422933365,0.5909090909090909,BAND+
0.55,21,0.0026427913946816864,0.6666666666666666,BAND+
0.575,23,0.0028238811083776175,0.6956521739130435,BAND+
0.6,14,0.0035072396913668363,0.8571428571428571,BAND+
0.625,12,0.0026848381136288495,0.8333333333333334,BAND+
0.65,7,0.0032300723651111003,0.8571428571428571,BAND+
0.675,5,0.00448866199140714,1.0,BAND+
0.7,5,0.00448866199140714,1.0,BAND+
0.725,0,,,BAND+
0.75,0,,,BAND+
0.775,0,,,BAND+
0.8,0,,,BAND+
0.825,0,,,BAND+
0.85,0,,,BAND+
0.875,0,,,BAND+
0.9,0,,,BAND+
0.925,0,,,BAND+
0.95,0,,,BAND+
0.975,0,,,BAND+
1.0,0,,,BAND+
0.2,0,,,CADENCE
0.225,0,,,CADENCE
0.25,0,,,CADENCE
0.275,0,,,CADENCE
0.3,0,,,CADENCE
0.325,0,,,CADENCE
0.35,0,,,CADENCE
