stat,pass4a,flip_up,flip_dn,dd_leg_survival_among_sharpe_clears,pass4b,b_flip_up,b_flip_dn
NONE,2,0,0,0.13333333333333333,14,0,0
VOL,4,2,0,0.26666666666666666,0,0,14
SEMIVOL,4,2,0,0.26666666666666666,0,0,14
SQRTVOL,3,1,0,0.2,0,0,14
GROSS,4,2,0,0.26666666666666666,0,0,14
