panel,book,gross,cadence,base,base_oos
B136,BAND03,0.75,M,0.0,0.0
B136,BAND03,0.75,Q,0.0,0.0
B136,BAND03,1.0,M,0.23809523809523808,0.2857142857142857
B136,BAND03,1.0,Q,0.1111111111111111,0.1111111111111111
B136,EWELIG,0.75,M,0.14285714285714285,0.14285714285714285
B136,EWELIG,0.75,Q,0.047619047619047616,0.047619047619047616
B136,EWELIG,1.0,M,0.0,0.0
B136,EWELIG,1.0,Q,0.0,0.0
B136,TOP20,0.75,M,0.047619047619047616,0.047619047619047616
B136,TOP20,0.75,Q,0.0,0.0
B136,TOP20,1.0,M,0.0,0.0
B136,TOP20,1.0,Q,0.0,0.0
SMALL,BAND03,0.75,M,0.0,0.0
SMALL,BAND03,0.75,Q,0.0,0.0
SMALL,BAND03,1.0,M,0.0,0.0
SMALL,BAND03,1.0,Q,0.0,0.0
SMALL,EWELIG,0.75,M,0.0,0.0
SMALL,EWELIG,0.75,Q,0.0,0.0
SMALL,EWELIG,1.0,M,0.0,0.0
SMALL,EWELIG,1.0,Q,0.0,0.0
SMALL,TOP20,0.75,M,0.0,0.0
SMALL,TOP20,0.75,Q,0.0,0.0
SMALL,TOP20,1.0,M,0.0,0.0
SMALL,TOP20,1.0,Q,0.0,0.0
U56,BAND03,0.75,M,0.0,0.0
U56,BAND03,0.75,Q,0.0,0.2222222222222222
U56,BAND03,1.0,M,0.47619047619047616,0.47619047619047616
U56,BAND03,1.0,Q,0.14285714285714285,0.14285714285714285
U56,EWELIG,0.75,M,0.8095238095238095,0.8095238095238095
U56,EWELIG,0.75,Q,0.4126984126984127,0.4126984126984127
U56,EWELIG,1.0,M,0.047619047619047616,0.047619047619047616
U56,EWELIG,1.0,Q,0.015873015873015872,0.015873015873015872
U56,TOP20,0.75,M,0.23809523809523808,0.23809523809523808
U56,TOP20,0.75,Q,0.015873015873015872,0.015873015873015872
U56,TOP20,1.0,M,0.047619047619047616,0.047619047619047616
U56,TOP20,1.0,Q,0.0,0.0
