panel,book,gross,cadence,leg,RANDFIX,RANDROT,RANDROT_FREE,cert_ROT,cert_FIX,cert_BOTH
B136,BAND03,0.5,M,L_CAGR,0.0,0.0,0.0,True,True,True
B136,BAND03,0.5,M,L_DD,1.0,1.0,1.0,False,False,False
B136,BAND03,0.5,M,L_H1,1.0,1.0,1.0,False,False,False
B136,BAND03,0.5,M,L_H2,1.0,1.0,1.0,False,False,False
B136,BAND03,0.5,M,L_OOS,1.0,1.0,1.0,False,False,False
B136,BAND03,0.5,Q,L_CAGR,0.0,0.0,0.0,True,True,True
B136,BAND03,0.5,Q,L_DD,1.0,1.0,1.0,False,False,False
B136,BAND03,0.5,Q,L_H1,1.0,1.0,1.0,False,False,False
B136,BAND03,0.5,Q,L_H2,0.0,0.0,0.63,True,True,True
B136,BAND03,0.5,Q,L_OOS,0.66,0.635,0.995,True,True,True
B136,BAND03,0.5,W,L_CAGR,0.0,0.0,0.0,True,True,True
B136,BAND03,0.5,W,L_DD,1.0,1.0,1.0,False,False,False
B136,BAND03,0.5,W,L_H1,1.0,1.0,1.0,False,False,False
B136,BAND03,0.5,W,L_H2,0.925,0.04,0.56,True,False,False
B136,BAND03,0.5,W,L_OOS,1.0,0.97,0.995,False,False,False
B136,BAND03,0.75,M,L_CAGR,0.0,0.0,0.0,True,True,True
B136,BAND03,0.75,M,L_DD,1.0,1.0,1.0,False,False,False
B136,BAND03,0.75,M,L_H1,1.0,1.0,1.0,False,False,False
B136,BAND03,0.75,M,L_H2,1.0,1.0,1.0,False,False,False
B136,BAND03,0.75,M,L_OOS,1.0,1.0,1.0,False,False,False
B136,BAND03,0.75,Q,L_CAGR,0.0,0.0,0.0,True,True,True
B136,BAND03,0.75,Q,L_DD,0.0,0.0,0.0,True,True,True
B136,BAND03,0.75,Q,L_H1,1.0,1.0,1.0,False,False,False
B136,BAND03,0.75,Q,L_H2,0.0,0.0,0.54,True,True,True
B136,BAND03,0.75,Q,L_OOS,0.5,0.455,0.99,True,True,True
B136,BAND03,0.75,W,L_CAGR,0.0,0.0,0.0,True,True,True
B136,BAND03,0.75,W,L_DD,1.0,1.0,1.0,False,False,False
B136,BAND03,0.75,W,L_H1,1.0,1.0,1.0,False,False,False
B136,BAND03,0.75,W,L_H2,0.92,0.035,0.545,True,False,False
B136,BAND03,0.75,W,L_OOS,1.0,0.965,0.995,False,False,False
B136,BAND03,1.0,M,L_CAGR,0.99,1.0,1.0,False,False,False
B136,BAND03,1.0,M,L_DD,0.0,0.0,0.0,True,True,True
B136,BAND03,1.0,M,L_H1,1.0,1.0,1.0,False,False,False
B136,BAND03,1.0,M,L_H2,1.0,1.0,1.0,False,False,False
B136,BAND03,1.0,M,L_OOS,1.0,1.0,1.0,False,False,False
B136,BAND03,1.0,Q,L_CAGR,0.05,0.015,0.825,True,True,True
B136,BAND03,1.0,Q,L_DD,0.0,0.0,0.0,True,True,True
B136,BAND03,1.0,Q,L_H1,1.0,1.0,1.0,False,False,False
B136,BAND03,1.0,Q,L_H2,0.0,0.0,0.395,True,True,True
B136,BAND03,1.0,Q,L_OOS,0.365,0.31,0.99,True,True,True
B136,BAND03,1.0,W,L_CAGR,0.0,0.0,0.0,True,True,True
B136,BAND03,1.0,W,L_DD,1.0,1.0,1.0,False,False,False
B136,BAND03,1.0,W,L_H1,1.0,1.0,1.0,False,False,False
B136,BAND03,1.0,W,L_H2,0.905,0.03,0.53,True,False,False
B136,BAND03,1.0,W,L_OOS,1.0,0.96,0.995,False,False,False
B136,EWELIG,0.5,M,L_CAGR,0.0,0.0,0.0,True,True,True
B136,EWELIG,0.5,M,L_DD,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.5,M,L_H1,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.5,M,L_H2,1.0,1.0,0.985,False,False,False
B136,EWELIG,0.5,M,L_OOS,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.5,Q,L_CAGR,0.0,0.0,0.0,True,True,True
B136,EWELIG,0.5,Q,L_DD,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.5,Q,L_H1,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.5,Q,L_H2,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.5,Q,L_OOS,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.5,W,L_CAGR,0.0,0.0,0.0,True,True,True
B136,EWELIG,0.5,W,L_DD,1.0,1.0,0.93,False,False,False
B136,EWELIG,0.5,W,L_H1,1.0,1.0,0.85,False,False,False
B136,EWELIG,0.5,W,L_H2,1.0,1.0,0.225,False,False,False
B136,EWELIG,0.5,W,L_OOS,1.0,1.0,0.44,False,False,False
B136,EWELIG,0.75,M,L_CAGR,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.75,M,L_DD,0.0,0.0,0.0,True,True,True
B136,EWELIG,0.75,M,L_H1,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.75,M,L_H2,1.0,1.0,0.985,False,False,False
B136,EWELIG,0.75,M,L_OOS,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.75,Q,L_CAGR,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.75,Q,L_DD,0.0,0.0,0.0,True,True,True
B136,EWELIG,0.75,Q,L_H1,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.75,Q,L_H2,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.75,Q,L_OOS,1.0,1.0,1.0,False,False,False
B136,EWELIG,0.75,W,L_CAGR,1.0,1.0,0.83,False,False,False
B136,EWELIG,0.75,W,L_DD,1.0,1.0,0.005,False,False,False
B136,EWELIG,0.75,W,L_H1,1.0,1.0,0.85,False,False,False
B136,EWELIG,0.75,W,L_H2,1.0,1.0,0.225,False,False,False
B136,EWELIG,0.75,W,L_OOS,1.0,1.0,0.435,False,False,False
B136,EWELIG,1.0,M,L_CAGR,1.0,1.0,1.0,False,False,False
B136,EWELIG,1.0,M,L_DD,0.0,0.0,0.0,True,True,True
B136,EWELIG,1.0,M,L_H1,1.0,1.0,1.0,False,False,False
B136,EWELIG,1.0,M,L_H2,1.0,1.0,0.985,False,False,False
B136,EWELIG,1.0,M,L_OOS,1.0,1.0,1.0,False,False,False
B136,EWELIG,1.0,Q,L_CAGR,1.0,1.0,1.0,False,False,False
B136,EWELIG,1.0,Q,L_DD,0.0,0.0,0.0,True,True,True
B136,EWELIG,1.0,Q,L_H1,1.0,1.0,1.0,False,False,False
B136,EWELIG,1.0,Q,L_H2,1.0,1.0,1.0,False,False,False
B136,EWELIG,1.0,Q,L_OOS,1.0,1.0,1.0,False,False,False
B136,EWELIG,1.0,W,L_CAGR,1.0,1.0,1.0,False,False,False
B136,EWELIG,1.0,W,L_DD,0.0,0.0,0.0,True,True,True
B136,EWELIG,1.0,W,L_H1,1.0,1.0,0.855,False,False,False
B136,EWELIG,1.0,W,L_H2,1.0,1.0,0.225,False,False,False
B136,EWELIG,1.0,W,L_OOS,1.0,1.0,0.425,False,False,False
B136,TOP10,0.5,M,L_CAGR,0.01,0.0,0.0,True,True,True
B136,TOP10,0.5,M,L_DD,1.0,1.0,0.935,False,False,False
B136,TOP10,0.5,M,L_H1,0.775,0.495,0.57,True,True,True
B136,TOP10,0.5,M,L_H2,0.66,0.41,0.46,True,True,True
B136,TOP10,0.5,M,L_OOS,0.77,0.48,0.53,True,True,True
B136,TOP10,0.5,Q,L_CAGR,0.0,0.0,0.065,True,True,True
B136,TOP10,0.5,Q,L_DD,0.96,0.94,0.925,False,False,False
