cell,gross_0219,gross_min,min_date,days_to_half,gross_mean_window
R=D,1.0,0.2244328544754018,2020-03-23,14,0.5837713820031132
R=W,1.0,0.22443285447540184,2020-03-23,17,0.65828379529941
R=M,1.0,0.6869341023768543,2020-03-23,24,0.8106255159526216
R=Q,1.0,0.9999999999999996,2020-03-17,24,1.0
h=0.05,0.979592713913767,0.2540621053459184,2020-03-23,14,0.5902221005576473
h=0.12,0.9700353842804532,0.2540621053459184,2020-03-23,14,0.6061866739444828
h=0.25,0.9947149058759394,0.384797078541017,2020-03-23,14,0.672056044667615
