claimset,required,files,rows,self_files,self_rows,sib_files,sib_rows,lost_files,lost_rows,today_rows,today_share,checkable_share,lost_share
ALL,R_MARGIN,480,79508,48,16241,321,43794,111,19473,16241,0.20426875282990392,0.7550812496855662,0.24491875031443378
ALL,R_FULL,480,79508,2,69,311,45081,167,34358,69,0.0008678371987724505,0.567867384414147,0.432132615585853
RULE8,R_MARGIN,465,79056,48,16241,309,43510,108,19305,16241,0.20543665249949403,0.7558060109289617,0.24419398907103826
RULE8,R_FULL,465,79056,2,69,302,44933,161,34054,69,0.0008727990285367335,0.5692420562639142,0.43075794373608584
