gross,cadset,form,lam,n,OOS_MAE
0.75,D only,ZERO,0.0,54,0.1260052297197818
0.75,D only,ZERO,0.25,54,0.1260052297197818
0.75,D only,ZERO,0.5,54,0.1260052297197818
0.75,D only,ZERO,0.75,54,0.1260052297197818
0.75,D only,ZERO,1.0,54,0.1260052297197818
0.75,D only,GLOBAL,0.0,54,0.17258410570635546
0.75,D only,GLOBAL,0.25,54,0.17258410570635546
0.75,D only,GLOBAL,0.5,54,0.17258410570635546
0.75,D only,GLOBAL,0.75,54,0.17258410570635546
0.75,D only,GLOBAL,1.0,54,0.17258410570635546
0.75,D only,FAMILY,0.0,54,0.17258410570635546
0.75,D only,FAMILY,0.25,54,0.15628400753472
0.75,D only,FAMILY,0.5,54,0.14117410186813648
0.75,D only,FAMILY,0.75,54,0.126064196201553
0.75,D only,FAMILY,1.0,54,0.11292581134584084
0.75,D only,CSD.is,0.0,54,0.17258410570635546
0.75,D only,CSD.is,0.25,54,0.1607737550939685
0.75,D only,CSD.is,0.5,54,0.14907329259172253
0.75,D only,CSD.is,0.75,54,0.13882911808111503
0.75,D only,CSD.is,1.0,54,0.14106384559598914
0.75,D/W/M/Q (all),ZERO,0.0,216,0.22966649341356213
0.75,D/W/M/Q (all),ZERO,0.25,216,0.22966649341356213
0.75,D/W/M/Q (all),ZERO,0.5,216,0.22966649341356213
0.75,D/W/M/Q (all),ZERO,0.75,216,0.22966649341356213
0.75,D/W/M/Q (all),ZERO,1.0,216,0.22966649341356213
0.75,D/W/M/Q (all),GLOBAL,0.0,216,0.2269086266228966
0.75,D/W/M/Q (all),GLOBAL,0.25,216,0.2269086266228966
0.75,D/W/M/Q (all),GLOBAL,0.5,216,0.2269086266228966
0.75,D/W/M/Q (all),GLOBAL,0.75,216,0.2269086266228966
0.75,D/W/M/Q (all),GLOBAL,1.0,216,0.2269086266228966
0.75,D/W/M/Q (all),FAMILY,0.0,216,0.2269086266228966
0.75,D/W/M/Q (all),FAMILY,0.25,216,0.20983750566329593
0.75,D/W/M/Q (all),FAMILY,0.5,216,0.1945590803792953
0.75,D/W/M/Q (all),FAMILY,0.75,216,0.1822154803846069
0.75,D/W/M/Q (all),FAMILY,1.0,216,0.1725722206674141
0.75,D/W/M/Q (all),CSD.is,0.0,216,0.2269086266228966
