item,census_class,smult,grid_step,grid_points,hmult,half_w,crossing,last_nonpos,argmax,interior,n_defined,distinct_readings,span_all_steps,span_hmult_steps,span_smult_steps,interior_reads,reads
219,interior crossing,1,0.025000000000000022,33,0.5,0.012500000000000011,,1.0,0.65,False,31,9,12.0,3.0,9.0,12,18
219,interior crossing,1,0.025000000000000022,33,1.0,0.025000000000000022,,1.0,0.625,False,33,9,12.0,3.0,9.0,12,18
219,interior crossing,1,0.025000000000000022,33,2.0,0.050000000000000044,0.425,0.4,0.65,True,33,9,12.0,3.0,9.0,12,18
219,interior crossing,1,0.025000000000000022,33,3.0,0.07500000000000007,0.425,0.4,0.65,True,33,9,12.0,3.0,9.0,12,18
219,interior crossing,1,0.025000000000000022,33,4.0,0.10000000000000009,0.375,0.35,0.675,True,33,9,12.0,3.0,9.0,12,18
219,interior crossing,1,0.025000000000000022,33,5.0,0.1250000000000001,0.35,0.325,0.675,True,33,9,12.0,3.0,9.0,12,18
219,interior crossing,2,0.04999999999999999,17,0.5,0.024999999999999994,,1.0,0.65,False,17,9,12.0,3.0,9.0,12,18
219,interior crossing,2,0.04999999999999999,17,1.0,0.04999999999999999,0.45,0.4,0.65,True,17,9,12.0,3.0,9.0,12,18
219,interior crossing,2,0.04999999999999999,17,2.0,0.09999999999999998,0.4,0.35,0.7,True,17,9,12.0,3.0,9.0,12,18
219,interior crossing,2,0.04999999999999999,17,3.0,0.14999999999999997,0.35,0.3,0.65,True,17,9,12.0,3.0,9.0,12,18
219,interior crossing,2,0.04999999999999999,17,4.0,0.19999999999999996,0.3,0.25,0.65,True,17,9,12.0,3.0,9.0,12,18
219,interior crossing,2,0.04999999999999999,17,5.0,0.24999999999999994,0.25,0.2,0.65,True,17,9,12.0,3.0,9.0,12,18
219,interior crossing,4,0.09999999999999998,9,0.5,0.04999999999999999,0.5,0.4,0.6,True,9,9,12.0,3.0,9.0,12,18
219,interior crossing,4,0.09999999999999998,9,1.0,0.09999999999999998,0.4,0.3,0.7,True,9,9,12.0,3.0,9.0,12,18
219,interior crossing,4,0.09999999999999998,9,2.0,0.19999999999999996,0.3,0.2,0.6,True,9,9,12.0,3.0,9.0,12,18
219,interior crossing,4,0.09999999999999998,9,3.0,0.29999999999999993,0.2,,0.7,False,9,9,12.0,3.0,9.0,12,18
219,interior crossing,4,0.09999999999999998,9,4.0,0.3999999999999999,0.2,,0.5,False,9,9,12.0,3.0,9.0,12,18
219,interior crossing,4,0.09999999999999998,9,5.0,0.4999999999999999,0.2,,0.4,False,9,9,12.0,3.0,9.0,12,18
167,edge/argmax/no-crossing,1,0.10000000000000003,10,0.5,0.05000000000000002,0.05,,0.4,False,10,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,1,0.10000000000000003,10,1.0,0.10000000000000003,0.05,,0.85,False,10,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,1,0.10000000000000003,10,2.0,0.20000000000000007,0.05,,1.0,False,10,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,1,0.10000000000000003,10,3.0,0.3000000000000001,0.05,,0.7,False,10,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,1,0.10000000000000003,10,4.0,0.40000000000000013,0.05,,0.7,False,10,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,1,0.10000000000000003,10,5.0,0.5000000000000002,0.05,,0.85,False,10,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,2,0.19,5,0.5,0.095,0.05,,0.85,False,5,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,2,0.19,5,1.0,0.19,0.05,,0.53,False,5,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,2,0.19,5,2.0,0.38,0.05,,0.53,False,5,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,2,0.19,5,3.0,0.5700000000000001,0.05,,0.85,False,5,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,2,0.19,5,4.0,0.76,0.05,,0.15,False,5,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,2,0.19,5,5.0,0.95,0.05,,0.85,False,5,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,4,0.4,3,0.5,0.2,0.05,,0.85,False,3,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,4,0.4,3,1.0,0.4,0.05,,0.85,False,3,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,4,0.4,3,2.0,0.8,0.05,,0.05,False,3,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,4,0.4,3,3.0,1.2000000000000002,0.05,,0.85,False,3,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,4,0.4,3,4.0,1.6,0.05,,0.85,False,3,1,0.0,0.0,0.0,0,18
167,edge/argmax/no-crossing,4,0.4,3,5.0,2.0,0.05,,0.85,False,3,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,1,0.10000000000000003,10,0.5,0.05000000000000002,0.05,,0.05,False,10,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,1,0.10000000000000003,10,1.0,0.10000000000000003,0.05,,0.05,False,10,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,1,0.10000000000000003,10,2.0,0.20000000000000007,0.05,,0.05,False,10,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,1,0.10000000000000003,10,3.0,0.3000000000000001,0.05,,0.05,False,10,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,1,0.10000000000000003,10,4.0,0.40000000000000013,0.05,,0.1,False,10,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,1,0.10000000000000003,10,5.0,0.5000000000000002,0.05,,0.15,False,10,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,2,0.19,5,0.5,0.095,0.05,,0.05,False,5,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,2,0.19,5,1.0,0.19,0.05,,0.05,False,5,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,2,0.19,5,2.0,0.38,0.05,,0.05,False,5,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,2,0.19,5,3.0,0.5700000000000001,0.05,,0.05,False,5,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,2,0.19,5,4.0,0.76,0.05,,0.05,False,5,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,2,0.19,5,5.0,0.95,0.05,,0.85,False,5,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,4,0.4,3,0.5,0.2,0.05,,0.05,False,3,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,4,0.4,3,1.0,0.4,0.05,,0.05,False,3,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,4,0.4,3,2.0,0.8,0.05,,0.05,False,3,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,4,0.4,3,3.0,1.2000000000000002,0.05,,0.85,False,3,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,4,0.4,3,4.0,1.6,0.05,,0.85,False,3,1,0.0,0.0,0.0,0,18
159B,edge/argmax/no-crossing,4,0.4,3,5.0,2.0,0.05,,0.85,False,3,1,0.0,0.0,0.0,0,18
159c,not a pooled-curve location,1,0.07999999999999996,14,0.5,0.03999999999999998,0.03,,0.05,False,4,1,0.0,0.0,0.0,0,18
