panel,ladder,rung,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,KEEP_4a,KEEP_4b,KEEP_4b_OOS
U56,N,5,0.1799852121880079,0.9762117810965734,-0.2585359705801564,1.1814453868501253,0.809170658356829,0.17000779023074886,0.8979211902800313,-0.2585359705801552,False,False,False
U56,N,10,0.16472995159981574,1.0614519355145347,-0.20771054445737946,1.1622622704310468,0.9740991522585267,0.17560887511881296,1.0889536729651967,-0.2077105444573789,False,False,False
U56,N,15,0.16697465442356463,1.1349205584622868,-0.20144579389406259,1.2022404135531046,1.0910370045231064,0.18871877652037616,1.1893551717984185,-0.20144579389406259,False,True,True
U56,N,20,0.15139919988279793,1.1049778162626345,-0.19127561830465023,1.1420299153982756,1.082200379294429,0.1716196082191408,1.1759465345181017,-0.19127561830465023,False,True,True
U56,N,30,0.13900635352648827,1.097875229753082,-0.2207393564442267,1.1314363465243322,1.0843553057693043,0.15980449449807077,1.1667122859523231,-0.2207393564442267,False,False,False
U56,N,40,0.12727875029975655,1.0811419149081194,-0.22455518013281905,1.1553238141412892,1.0354705985988555,0.14075876803447396,1.1150205809068778,-0.2245551801328196,False,False,False
U56,H,21,0.13841040259700121,1.0891761614849884,-0.20192300816867625,1.1700538573911237,1.0354742860302821,0.15058134694477343,1.1011999367907357,-0.20192300816867648,False,True,True
U56,H,63,0.1462077100242114,1.0749833379354878,-0.2553328837786627,1.132912835680747,1.0439724149052554,0.16637338264787993,1.1246694417898497,-0.2553328837786629,False,False,False
U56,H,126,0.15139919988279793,1.1049778162626345,-0.19127561830465023,1.1420299153982756,1.082200379294429,0.1716196082191408,1.1759465345181017,-0.19127561830465023,False,True,True
U56,H,252,0.15539700298233639,1.1260747330651089,-0.21843530966689828,1.160545718181548,1.1044713320138813,0.17330929033385956,1.1899719103842925,-0.21843530966689828,False,False,False
U56,CADENCE,W,0.15139919988279793,1.1049778162626345,-0.19127561830465023,1.1420299153982756,1.082200379294429,0.1716196082191408,1.1759465345181017,-0.19127561830465023,False,True,True
U56,CADENCE,M,0.13801228551824085,1.021764267434703,-0.2307735785481958,1.1469181553019892,0.9395288795742124,0.15395528852603202,1.0498080126906935,-0.2307735785481958,False,False,False
U56,GROSS,0.3,0.060170677384109084,1.102924920278891,-0.07990335554891115,1.139923753255916,1.0800618161583275,0.06781524673092854,1.1738708320626285,-0.07990335554891093,False,False,False
U56,GROSS,0.35,0.07026497560960565,1.1031923720808874,-0.09276264906597576,1.1401992174859008,1.0803355563388273,0.07924282521997017,1.174139410382864,-0.09276264906597609,False,False,False
U56,GROSS,0.4,0.08037385732236868,1.103450413553273,-0.10549271071234234,1.1404648546656857,1.080600587346791,0.09070149050456155,1.1743992259856408,-0.10549271071234212,False,False,False
U56,GROSS,0.45,0.09049570894749692,1.103699543294337,-0.11809419746843408,1.140721103656121,1.0808574733964404,0.10218943200056496,1.1746504872715686,-0.11809419746843297,False,False,False
U56,GROSS,0.5,0.1006288356670435,1.103939503961594,-0.13056770565714326,1.1409680235167798,1.0811056997151334,0.11370468281299284,1.1748922430545976,-0.13056770565714337,False,True,True
U56,GROSS,0.55,0.11077137162571571,1.1041688277067192,-0.14291450567416697,1.1412047855865612,1.0813432737639326,0.12524512013230504,1.1751228088206096,-0.14291450567416775,False,True,True
U56,GROSS,0.6,0.12092160061138046,1.1043880316707706,-0.15513474393539994,1.141430145773838,1.081572178518053,0.13680897779753187,1.1753442299377195,-0.15513474393540028,False,True,True
U56,GROSS,0.65,0.13107758843056994,1.1045961306170575,-0.1672846655409559,1.1416426269604514,1.0817918309428731,0.14839412549310804,1.1755556958566535,-0.1672846655409561,False,True,True
U56,GROSS,0.7,0.1412374662443323,1.1047930288951588,-0.17933718991976788,1.1418430472543926,1.0820013672823976,0.15999840065563675,1.1757566069776015,-0.1793371899197681,False,True,True
U56,GROSS,0.75,0.15139919988279793,1.1049778162626345,-0.19127561830465023,1.1420299153982756,1.082200379294429,0.1716196082191408,1.1759465345181017,-0.19127561830465023,False,True,True
B136,N,5,0.18010571700751843,0.9307232293236453,-0.2812388100874459,1.276087285102118,0.6635052214334142,0.14711932339670653,0.7546439359925252,-0.2812388100874462,False,False,False
B136,N,10,0.18192807098086416,1.0383632685368998,-0.20203288162979327,1.3503983252285037,0.7996141563616952,0.16787343178113612,0.923493018629746,-0.20203288162979294,False,False,False
B136,N,15,0.16595543730190743,1.0427914885293557,-0.19659728035297663,1.2049621469593388,0.918918672250611,0.1764736741591062,1.0471643050859325,-0.19659728035297697,False,True,False
B136,N,20,0.15712373159202264,1.0369747959290938,-0.2074030226784952,1.246123931249205,0.8644652401688844,0.1628665539757932,1.024015074035567,-0.20740302267849475,False,False,False
B136,N,30,0.15676605867919302,1.0711025500289226,-0.24354358049436964,1.2311459759359666,0.9493202635536799,0.16563224574126112,1.0662916149681585,-0.24354358049436964,False,False,False
B136,N,40,0.14821147258378287,1.0541870656942331,-0.2538318832364528,1.2096041771040507,0.9371389994040417,0.15712792684525856,1.053732532862363,-0.25383188323645267,False,False,False
B136,H,21,0.15711473590513125,1.053158937077354,-0.2637239267741077,1.295361120977104,0.8578825637250315,0.1497515856632301,0.960512071949132,-0.2637239267741077,False,False,False
B136,H,63,0.16919123085165255,1.075215525885679,-0.28694818362899366,1.335244408914961,0.8723677864368612,0.16610264706157918,1.0023341092550495,-0.28694818362899377,False,False,False
