window,W,panel,anchor,ladder,chooser,keying,rung,L,f,clamped,obs_rung,P_pick,RESOLVED
W252,252,U56,A,N,CH_ISSHARPE,ABS,1,1,0.003968253968253968,False,40,0.325,False
W252,252,U56,A,N,CH_ISSHARPE,ABS,2,2,0.007936507936507936,False,40,0.324,False
W252,252,U56,A,N,CH_ISSHARPE,ABS,5,5,0.01984126984126984,False,40,0.298,False
W252,252,U56,A,N,CH_ISSHARPE,ABS,10,10,0.03968253968253968,False,40,0.306,False
W252,252,U56,A,N,CH_ISSHARPE,ABS,21,21,0.08333333333333333,False,40,0.399,False
W252,252,U56,A,N,CH_ISSHARPE,ABS,42,42,0.16666666666666666,False,40,0.444,False
W252,252,U56,A,N,CH_ISSHARPE,ABS,63,63,0.25,False,40,0.329,False
W252,252,U56,A,N,CH_ISSHARPE,ABS,126,126,0.5,False,40,0.102,False
W252,252,U56,A,N,CH_ISSHARPE,ABS,252,252,1.0,False,40,1.0,True
W252,252,U56,A,N,CH_ISSHARPE,ABS,504,252,1.0,True,40,1.0,True
W252,252,U56,A,N,CH_ISSHARPE,ABS,1008,252,1.0,True,40,1.0,True
W252,252,U56,A,N,CH_ISSHARPE,ABS,T,252,1.0,False,40,1.0,True
W252,252,U56,A,N,CH_ISSHARPE,FRAC,f0.0006,1,0.003968253968253968,False,40,0.325,False
W252,252,U56,A,N,CH_ISSHARPE,FRAC,f0.002,1,0.003968253968253968,False,40,0.325,False
W252,252,U56,A,N,CH_ISSHARPE,FRAC,f0.005,1,0.003968253968253968,False,40,0.325,False
W252,252,U56,A,N,CH_ISSHARPE,FRAC,f0.01,3,0.011904761904761904,False,40,0.297,False
W252,252,U56,A,N,CH_ISSHARPE,FRAC,f0.02,5,0.01984126984126984,False,40,0.298,False
W252,252,U56,A,N,CH_ISSHARPE,FRAC,f0.04,10,0.03968253968253968,False,40,0.306,False
W252,252,U56,A,N,CH_ISSHARPE,FRAC,f0.08,20,0.07936507936507936,False,40,0.397,False
W252,252,U56,A,N,CH_ISSHARPE,FRAC,f0.15,38,0.15079365079365079,False,40,0.441,False
W252,252,U56,A,N,CH_ISSHARPE,FRAC,f0.3,76,0.30158730158730157,False,40,0.338,False
W252,252,U56,A,N,CH_ISSHARPE,FRAC,f0.6,151,0.5992063492063492,False,40,0.188,False
W252,252,U56,A,N,CH_ISSHARPE,FRAC,f1,252,1.0,False,40,1.0,True
W252,252,U56,A,N,CH_ISCAGR,ABS,1,1,0.003968253968253968,False,10,0.194,False
W252,252,U56,A,N,CH_ISCAGR,ABS,2,2,0.007936507936507936,False,10,0.246,False
W252,252,U56,A,N,CH_ISCAGR,ABS,5,5,0.01984126984126984,False,10,0.23,False
W252,252,U56,A,N,CH_ISCAGR,ABS,10,10,0.03968253968253968,False,10,0.252,False
W252,252,U56,A,N,CH_ISCAGR,ABS,21,21,0.08333333333333333,False,10,0.278,False
W252,252,U56,A,N,CH_ISCAGR,ABS,42,42,0.16666666666666666,False,10,0.297,False
W252,252,U56,A,N,CH_ISCAGR,ABS,63,63,0.25,False,10,0.294,False
W252,252,U56,A,N,CH_ISCAGR,ABS,126,126,0.5,False,10,0.294,False
W252,252,U56,A,N,CH_ISCAGR,ABS,252,252,1.0,False,10,1.0,True
W252,252,U56,A,N,CH_ISCAGR,ABS,504,252,1.0,True,10,1.0,True
W252,252,U56,A,N,CH_ISCAGR,ABS,1008,252,1.0,True,10,1.0,True
W252,252,U56,A,N,CH_ISCAGR,ABS,T,252,1.0,False,10,1.0,True
W252,252,U56,A,N,CH_ISCAGR,FRAC,f0.0006,1,0.003968253968253968,False,10,0.194,False
W252,252,U56,A,N,CH_ISCAGR,FRAC,f0.002,1,0.003968253968253968,False,10,0.194,False
W252,252,U56,A,N,CH_ISCAGR,FRAC,f0.005,1,0.003968253968253968,False,10,0.194,False
W252,252,U56,A,N,CH_ISCAGR,FRAC,f0.01,3,0.011904761904761904,False,10,0.226,False
W252,252,U56,A,N,CH_ISCAGR,FRAC,f0.02,5,0.01984126984126984,False,10,0.23,False
W252,252,U56,A,N,CH_ISCAGR,FRAC,f0.04,10,0.03968253968253968,False,10,0.252,False
W252,252,U56,A,N,CH_ISCAGR,FRAC,f0.08,20,0.07936507936507936,False,10,0.231,False
W252,252,U56,A,N,CH_ISCAGR,FRAC,f0.15,38,0.15079365079365079,False,10,0.271,False
W252,252,U56,A,N,CH_ISCAGR,FRAC,f0.3,76,0.30158730158730157,False,10,0.241,False
W252,252,U56,A,N,CH_ISCAGR,FRAC,f0.6,151,0.5992063492063492,False,10,0.235,False
W252,252,U56,A,N,CH_ISCAGR,FRAC,f1,252,1.0,False,10,1.0,True
W252,252,U56,A,N,CH_ISDD,ABS,1,1,0.003968253968253968,False,40,0.523,False
W252,252,U56,A,N,CH_ISDD,ABS,2,2,0.007936507936507936,False,40,0.582,False
W252,252,U56,A,N,CH_ISDD,ABS,5,5,0.01984126984126984,False,40,0.64,False
W252,252,U56,A,N,CH_ISDD,ABS,10,10,0.03968253968253968,False,40,0.735,False
W252,252,U56,A,N,CH_ISDD,ABS,21,21,0.08333333333333333,False,40,0.814,False
W252,252,U56,A,N,CH_ISDD,ABS,42,42,0.16666666666666666,False,40,0.804,False
W252,252,U56,A,N,CH_ISDD,ABS,63,63,0.25,False,40,0.836,False
W252,252,U56,A,N,CH_ISDD,ABS,126,126,0.5,False,40,0.945,True
W252,252,U56,A,N,CH_ISDD,ABS,252,252,1.0,False,40,1.0,True
W252,252,U56,A,N,CH_ISDD,ABS,504,252,1.0,True,40,1.0,True
W252,252,U56,A,N,CH_ISDD,ABS,1008,252,1.0,True,40,1.0,True
W252,252,U56,A,N,CH_ISDD,ABS,T,252,1.0,False,40,1.0,True
W252,252,U56,A,N,CH_ISDD,FRAC,f0.0006,1,0.003968253968253968,False,40,0.523,False
W252,252,U56,A,N,CH_ISDD,FRAC,f0.002,1,0.003968253968253968,False,40,0.523,False
W252,252,U56,A,N,CH_ISDD,FRAC,f0.005,1,0.003968253968253968,False,40,0.523,False
W252,252,U56,A,N,CH_ISDD,FRAC,f0.01,3,0.011904761904761904,False,40,0.555,False
W252,252,U56,A,N,CH_ISDD,FRAC,f0.02,5,0.01984126984126984,False,40,0.64,False
W252,252,U56,A,N,CH_ISDD,FRAC,f0.04,10,0.03968253968253968,False,40,0.735,False
W252,252,U56,A,N,CH_ISDD,FRAC,f0.08,20,0.07936507936507936,False,40,0.818,False
W252,252,U56,A,N,CH_ISDD,FRAC,f0.15,38,0.15079365079365079,False,40,0.796,False
W252,252,U56,A,N,CH_ISDD,FRAC,f0.3,76,0.30158730158730157,False,40,0.873,False
W252,252,U56,A,N,CH_ISDD,FRAC,f0.6,151,0.5992063492063492,False,40,0.994,True
W252,252,U56,A,N,CH_ISDD,FRAC,f1,252,1.0,False,40,1.0,True
W252,252,U56,A,H,CH_ISSHARPE,ABS,1,1,0.003968253968253968,False,63,0.452,False
W252,252,U56,A,H,CH_ISSHARPE,ABS,2,2,0.007936507936507936,False,63,0.456,False
W252,252,U56,A,H,CH_ISSHARPE,ABS,5,5,0.01984126984126984,False,63,0.456,False
W252,252,U56,A,H,CH_ISSHARPE,ABS,10,10,0.03968253968253968,False,63,0.46,False
W252,252,U56,A,H,CH_ISSHARPE,ABS,21,21,0.08333333333333333,False,63,0.494,False
W252,252,U56,A,H,CH_ISSHARPE,ABS,42,42,0.16666666666666666,False,63,0.772,False
W252,252,U56,A,H,CH_ISSHARPE,ABS,63,63,0.25,False,63,0.756,False
W252,252,U56,A,H,CH_ISSHARPE,ABS,126,126,0.5,False,63,0.842,False
W252,252,U56,A,H,CH_ISSHARPE,ABS,252,252,1.0,False,63,1.0,True
W252,252,U56,A,H,CH_ISSHARPE,ABS,504,252,1.0,True,63,1.0,True
W252,252,U56,A,H,CH_ISSHARPE,ABS,1008,252,1.0,True,63,1.0,True
W252,252,U56,A,H,CH_ISSHARPE,ABS,T,252,1.0,False,63,1.0,True
W252,252,U56,A,H,CH_ISSHARPE,FRAC,f0.0006,1,0.003968253968253968,False,63,0.452,False
W252,252,U56,A,H,CH_ISSHARPE,FRAC,f0.002,1,0.003968253968253968,False,63,0.452,False
W252,252,U56,A,H,CH_ISSHARPE,FRAC,f0.005,1,0.003968253968253968,False,63,0.452,False
W252,252,U56,A,H,CH_ISSHARPE,FRAC,f0.01,3,0.011904761904761904,False,63,0.453,False
W252,252,U56,A,H,CH_ISSHARPE,FRAC,f0.02,5,0.01984126984126984,False,63,0.456,False
W252,252,U56,A,H,CH_ISSHARPE,FRAC,f0.04,10,0.03968253968253968,False,63,0.46,False
W252,252,U56,A,H,CH_ISSHARPE,FRAC,f0.08,20,0.07936507936507936,False,63,0.508,False
