claim_set,bar,n,resolved,share,n_lt10,resolved_lt10,median_K,median_gap
C_STRICT,B_1SE,165,106,0.6424242424242425,44,17,21.0,0.05
C_STRICT,B_2SE,165,80,0.48484848484848486,44,11,21.0,0.05
C_STRICT,B_NULL90,165,76,0.46060606060606063,44,11,21.0,0.05
C_ADJ,B_1SE,107,72,0.6728971962616822,24,10,24.0,0.0415
C_ADJ,B_2SE,107,51,0.4766355140186916,24,7,24.0,0.0415
C_ADJ,B_NULL90,107,48,0.4485981308411215,24,7,24.0,0.0415
C_BROAD,B_1SE,196,115,0.5867346938775511,61,22,18.0,0.04305
C_BROAD,B_2SE,196,86,0.4387755102040816,61,13,18.0,0.04305
C_BROAD,B_NULL90,196,82,0.41836734693877553,61,13,18.0,0.04305
