corpus,cost_bps,rows,pass4a,pass4b
A,5,2279,1511,464
A,10,2279,1857,301
A,15,2279,1996,179
A,20,2279,2056,105
A,25,2279,2106,64
B,5,4945,1250,410
B,10,4945,1589,307
B,15,4945,1906,248
B,20,4945,2204,178
B,25,4945,2532,137
