panel,cadence,REC_L_H1,REC_L_H2,DISJ2009_L_H1,DISJ2009_L_H2,DISJ2012_L_H1,DISJ2012_L_H2
B136,M,0.89,0.395,0.6,0.51,0.155,0.575
B136,Q,0.99,0.265,0.855,0.83,0.54,0.815
B136,W,0.0,0.0,0.0,0.0,0.0,0.005
SMALL663,M,0.075,0.0,0.36,0.3,0.065,0.555
SMALL663,Q,0.085,0.0,0.19,0.47,0.135,0.72
SMALL663,W,0.0,0.0,0.0,0.0,0.0,0.005
U56,M,0.91,0.995,0.77,0.455,0.045,0.595
U56,Q,0.99,0.725,0.68,0.905,0.405,0.92
U56,W,0.0,0.125,0.0,0.015,0.0,0.04
