claim_set,stat,n,R2,slope,intercept,leg,form,sign_recovery,n_unstable,sign_recovery_unstable,sign_recovery_stable,max_abs_z,share_below_bar,unstable_rate_unresolvable,unstable_rate_resolvable,n_unresolvable,share_stripped,unstable_left
ALL,SKEW,146,0.8235662487707064,0.2241832391935202,0.0073575610568852295,GAP_REGRESSION,,,,,,,,,,,,
ALL,EXKURT,146,0.1578329323395291,-0.03906388175448809,0.09872467941894152,GAP_REGRESSION,,,,,,,,,,,,
ALL,NEAR,69,0.7878373780167909,-0.3833178829793707,0.2228378290392929,GAP_REGRESSION,,,,,,,,,,,,
HEADLINE,SKEW,22,0.8078540467464705,0.22840958774404263,0.015438405285363273,GAP_REGRESSION,,,,,,,,,,,,
HEADLINE,EXKURT,22,0.2642490911612838,-0.04478620142876488,0.09566073050467604,GAP_REGRESSION,,,,,,,,,,,,
HEADLINE,NEAR,18,0.868123993317599,-0.40605184403487227,0.2343307377950202,GAP_REGRESSION,,,,,,,,,,,,
HEADLINE_RAW,SKEW,30,0.8905920520476451,0.24528599477642296,0.01420525389714778,GAP_REGRESSION,,,,,,,,,,,,
HEADLINE_RAW,EXKURT,30,0.30125942847547293,-0.06463056479065747,0.14677034028995833,GAP_REGRESSION,,,,,,,,,,,,
HEADLINE_RAW,NEAR,23,0.8530439994763959,-0.397579518859172,0.23259426554207502,GAP_REGRESSION,,,,,,,,,,,,
COST,SKEW,86,0.8204345305011742,0.23081133326854456,0.011707438144649885,GAP_REGRESSION,,,,,,,,,,,,
COST,EXKURT,86,0.26850916318266516,-0.049405747732439505,0.11689056539399663,GAP_REGRESSION,,,,,,,,,,,,
COST,NEAR,69,0.7878373780167909,-0.3833178829793707,0.2228378290392929,GAP_REGRESSION,,,,,,,,,,,,
WINDOW,SKEW,60,0.8331150351629191,0.22073666130998357,0.0010116708855371602,GAP_REGRESSION,,,,,,,,,,,,
WINDOW,EXKURT,60,0.08179677331607849,-0.02895274205884924,0.08109316124929225,GAP_REGRESSION,,,,,,,,,,,,
WINDOW,NEAR,0,,,,GAP_REGRESSION,,,,,,,,,,,,
NEARABLE,SKEW,69,0.7489469328262119,0.2127816035058152,0.01758203763434849,GAP_REGRESSION,,,,,,,,,,,,
NEARABLE,EXKURT,69,0.4725134234509373,-0.06948678091806318,0.13132640683253963,GAP_REGRESSION,,,,,,,,,,,,
NEARABLE,NEAR,69,0.7878373780167909,-0.3833178829793707,0.2228378290392929,GAP_REGRESSION,,,,,,,,,,,,
ALL,,146,,,,SIGN_RECOVERY,PEARSON_1/3,0.815068493150685,26.0,0.5384615384615384,0.875,,,,,,,
ALL,,146,,,,SIGN_RECOVERY,FITTED,0.8356164383561644,26.0,0.46153846153846156,0.9166666666666666,,,,,,,
HEADLINE,,22,,,,SIGN_RECOVERY,PEARSON_1/3,0.8181818181818182,7.0,0.5714285714285714,0.9333333333333333,,,,,,,
HEADLINE,,22,,,,SIGN_RECOVERY,FITTED,0.7727272727272727,7.0,0.42857142857142855,0.9333333333333333,,,,,,,
HEADLINE_RAW,,30,,,,SIGN_RECOVERY,PEARSON_1/3,0.8666666666666667,8.0,0.625,0.9545454545454546,,,,,,,
HEADLINE_RAW,,30,,,,SIGN_RECOVERY,FITTED,0.8,8.0,0.5,0.9090909090909091,,,,,,,
COST,,86,,,,SIGN_RECOVERY,PEARSON_1/3,0.813953488372093,20.0,0.55,0.8939393939393939,,,,,,,
COST,,86,,,,SIGN_RECOVERY,FITTED,0.8255813953488372,20.0,0.55,0.9090909090909091,,,,,,,
WINDOW,,60,,,,SIGN_RECOVERY,PEARSON_1/3,0.8166666666666667,6.0,0.5,0.8518518518518519,,,,,,,
WINDOW,,60,,,,SIGN_RECOVERY,FITTED,0.8666666666666667,6.0,0.5,0.9074074074074074,,,,,,,
NEARABLE,,69,,,,SIGN_RECOVERY,PEARSON_1/3,0.8260869565217391,18.0,0.6111111111111112,0.9019607843137255,,,,,,,
NEARABLE,,69,,,,SIGN_RECOVERY,FITTED,0.8695652173913043,18.0,0.6111111111111112,0.9607843137254902,,,,,,,
ALL,,151,,,,UNRESOLVABILITY,,,26.0,,,1.2374368670764595,1.0,0.28888888888888886,0.0,,,
HEADLINE,,23,,,,UNRESOLVABILITY,,,7.0,,,0.9428090415820638,1.0,0.3888888888888889,0.0,,,
HEADLINE_RAW,,31,,,,UNRESOLVABILITY,,,8.0,,,0.9428090415820638,1.0,0.36363636363636365,0.0,,,
COST,,89,,,,UNRESOLVABILITY,,,20.0,,,1.2374368670764595,1.0,0.3333333333333333,0.0,,,
WINDOW,,62,,,,UNRESOLVABILITY,,,6.0,,,1.2374368670764595,1.0,0.2,0.0,,,
NEARABLE,,72,,,,UNRESOLVABILITY,,,18.0,,,1.2374368670764595,1.0,0.3333333333333333,0.0,,,
ALL,,151,,,,RULE_COST,,,,,,,,,,90.0,0.5960264900662252,0.0
HEADLINE,,23,,,,RULE_COST,,,,,,,,,,18.0,0.782608695652174,0.0
HEADLINE_RAW,,31,,,,RULE_COST,,,,,,,,,,22.0,0.7096774193548387,0.0
COST,,89,,,,RULE_COST,,,,,,,,,,60.0,0.6741573033707865,0.0
WINDOW,,62,,,,RULE_COST,,,,,,,,,,30.0,0.4838709677419355,0.0
NEARABLE,,72,,,,RULE_COST,,,,,,,,,,54.0,0.75,0.0
