panel,N,cadence,order,K,seed,CH_PCT,CH_Z,SAT_CEIL,SAT_FLOOR,TIED_B_ONE,TIED_B_TWO,TIED_B_CP
U56,5,W,6,10,0,1.0,3.981642037712722,True,False,True,True,True
U56,5,W,6,10,1,1.0,5.919491185237844,True,False,True,True,True
U56,5,W,6,10,2,1.0,7.7243074851977385,True,False,True,True,True
U56,5,W,6,10,3,1.0,5.585323436484193,True,False,True,True,True
U56,5,W,6,10,4,1.0,4.375098718075305,True,False,True,True,True
U56,5,W,6,10,5,1.0,6.7020262226567695,True,False,True,True,True
U56,5,W,6,10,6,1.0,4.657322703479512,True,False,True,True,True
U56,5,W,6,10,7,1.0,5.7430205771591,True,False,True,True,True
U56,5,W,6,10,8,1.0,4.083441023455368,True,False,True,True,True
U56,5,W,6,10,9,1.0,4.890341360919307,True,False,True,True,True
U56,5,W,6,10,10,1.0,4.877334153619021,True,False,True,True,True
U56,5,W,6,10,11,1.0,3.1327156369691633,True,False,True,True,True
U56,5,W,6,10,12,1.0,3.7619161628782414,True,False,True,True,True
U56,5,W,6,10,13,1.0,4.0492363023041635,True,False,True,True,True
U56,5,W,6,10,14,1.0,5.023487624966915,True,False,True,True,True
U56,5,W,6,10,15,1.0,3.4557236155144175,True,False,True,True,True
U56,5,W,6,10,16,1.0,3.5882424242000037,True,False,True,True,True
U56,5,W,6,10,17,1.0,4.794897103754348,True,False,True,True,True
U56,5,W,6,10,18,1.0,5.230838977030997,True,False,True,True,True
U56,5,W,6,10,19,1.0,5.157593777428715,True,False,True,True,True
U56,5,W,6,25,0,1.0,5.401843560948672,True,False,True,True,True
U56,5,W,6,25,1,1.0,4.442666404404816,True,False,True,True,True
U56,5,W,6,25,2,1.0,4.5774994762580805,True,False,True,True,True
U56,5,W,6,25,3,1.0,3.9485508210760454,True,False,True,True,True
U56,5,W,6,25,4,1.0,4.211931883272717,True,False,True,True,True
U56,5,W,6,25,5,1.0,5.587056037792919,True,False,True,True,True
U56,5,W,6,25,6,1.0,4.328991092919335,True,False,True,True,True
U56,5,W,6,25,7,1.0,4.131202004025671,True,False,True,True,True
U56,5,W,6,25,8,1.0,4.375291652639894,True,False,True,True,True
U56,5,W,6,25,9,1.0,5.458182147737935,True,False,True,True,True
U56,5,W,6,25,10,1.0,5.002623247265673,True,False,True,True,True
U56,5,W,6,25,11,1.0,4.266583659293219,True,False,True,True,True
U56,5,W,6,25,12,1.0,4.049763954967404,True,False,True,True,True
