parent,M,rule,level,k,D,overlap_all,overlap_within,target,phi_target,phi_gap,fpc,partitions
U56,55,FIXED_K,12.0,12,24,0.2185990338164251,0.2185990338164251,0.21818181818181817,,,0.2576005137637696,1
U56,55,FIXED_K,24.0,24,24,0.440066425120773,0.440066425120773,0.43636363636363634,,,0.15466012118972283,1
U56,55,FIXED_K,36.0,36,24,0.6555958132045089,0.6555958132045089,0.6545454545454545,,,0.09886183566695658,1
U56,55,RATIO_K,0.0541,3,24,0.050724637681159424,0.050724637681159424,0.05454545454545454,0.0541,0.00044545454545454055,0.5665577237325317,1
U56,55,RATIO_K,0.2667,15,24,0.27270531400966186,0.27270531400966186,0.2727272727272727,0.2667,0.0060272727272727145,0.2222222222222222,1
U56,55,RATIO_K,0.6545,36,24,0.6555958132045089,0.6555958132045089,0.6545454545454545,0.6545,4.545454545457073e-05,0.09886183566695658,1
U56,55,DISJOINT,12.0,12,24,0.1911231884057971,0.0,0.0,,,0.2576005137637696,6
U56,55,DISJOINT,24.0,24,24,0.4169685990338164,0.0,0.0,,,0.15466012118972283,12
B136,135,FIXED_K,12.0,12,24,0.09118357487922704,0.09118357487922704,0.08888888888888889,,,0.2765728426896481,1
B136,135,FIXED_K,24.0,24,24,0.1736111111111111,0.1736111111111111,0.17777777777777778,,,0.18578192961947168,1
B136,135,FIXED_K,36.0,36,24,0.26851851851851855,0.26851851851851855,0.26666666666666666,,,0.14325637179442138,1
B136,135,RATIO_K,0.0541,7,24,0.05175983436853002,0.05175983436853002,0.05185185185185185,0.0541,0.002248148148148152,0.3694056772316881,1
B136,135,RATIO_K,0.2667,36,24,0.26851851851851855,0.26851851851851855,0.26666666666666666,0.2667,3.333333333332966e-05,0.14325637179442138,1
B136,135,RATIO_K,0.6545,88,24,0.6489624505928853,0.6489624505928853,0.6518518518518519,0.6545,0.002648148148148066,0.06313282072676012,1
B136,135,DISJOINT,12.0,12,24,0.07457729468599035,0.0,0.0,,,0.2765728426896481,6
B136,135,DISJOINT,24.0,24,24,0.16802536231884058,0.0,0.0,,,0.18578192961947168,12
SMALL665,665,FIXED_K,12.0,12,24,0.016002415458937196,0.016002415458937196,0.01804511278195489,,,0.28627401426776394,1
SMALL665,665,FIXED_K,24.0,24,24,0.03230676328502415,0.03230676328502415,0.03609022556390978,,,0.20055770634482534,1
SMALL665,665,FIXED_K,36.0,36,24,0.050724637681159424,0.050724637681159424,0.05413533834586466,,,0.16221463461744015,1
SMALL665,665,RATIO_K,0.0541,36,24,0.050724637681159424,0.050724637681159424,0.05413533834586466,0.0541,3.533834586465917e-05,0.16221463461744015,1
SMALL665,665,RATIO_K,0.2667,177,24,0.2679521821010399,0.2679521821010399,0.2661654135338346,0.2667,0.0005345864661653876,0.0644375824224714,1
SMALL665,665,RATIO_K,0.6545,435,24,0.6550474762618691,0.6550474762618691,0.6541353383458647,0.6545,0.00036466165413528984,0.028218586121324517,1
SMALL665,665,DISJOINT,12.0,12,24,0.016002415458937196,0.0,0.0,,,0.28627401426776394,6
SMALL665,665,DISJOINT,24.0,24,24,0.033665458937198064,0.0,0.0,,,0.20055770634482534,12
