f,panel,window,rate,L,W
0.0006,U56,W252,0.125,1,252
0.0006,U56,W504,0.125,1,504
0.0006,U56,W1008,0.16666666666666666,1,1008
0.0006,U56,WFULL,0.16666666666666666,1,2007
0.0006,B136,W252,0.125,1,252
0.0006,B136,W504,0.125,1,504
0.0006,B136,W1008,0.20833333333333334,1,1008
0.0006,B136,WFULL,0.16666666666666666,1,2007
0.0006,SMALL,W252,0.25,1,252
0.0006,SMALL,W504,0.20833333333333334,1,504
0.0006,SMALL,W1008,0.16666666666666666,1,1008
0.0006,SMALL,WFULL,0.125,1,1502
0.002,U56,W252,0.125,1,252
0.002,U56,W504,0.125,1,504
0.002,U56,W1008,0.16666666666666666,2,1008
0.002,U56,WFULL,0.20833333333333334,4,2007
0.002,B136,W252,0.125,1,252
0.002,B136,W504,0.125,1,504
0.002,B136,W1008,0.20833333333333334,2,1008
0.002,B136,WFULL,0.25,4,2007
0.002,SMALL,W252,0.25,1,252
0.002,SMALL,W504,0.20833333333333334,1,504
0.002,SMALL,W1008,0.16666666666666666,2,1008
0.002,SMALL,WFULL,0.125,3,1502
0.005,U56,W252,0.125,1,252
0.005,U56,W504,0.125,3,504
0.005,U56,W1008,0.16666666666666666,5,1008
0.005,U56,WFULL,0.20833333333333334,10,2007
0.005,B136,W252,0.125,1,252
0.005,B136,W504,0.125,3,504
0.005,B136,W1008,0.25,5,1008
0.005,B136,WFULL,0.25,10,2007
0.005,SMALL,W252,0.25,1,252
0.005,SMALL,W504,0.16666666666666666,3,504
0.005,SMALL,W1008,0.16666666666666666,5,1008
0.005,SMALL,WFULL,0.125,8,1502
0.01,U56,W252,0.125,3,252
0.01,U56,W504,0.16666666666666666,5,504
0.01,U56,W1008,0.16666666666666666,10,1008
0.01,U56,WFULL,0.20833333333333334,20,2007
0.01,B136,W252,0.125,3,252
0.01,B136,W504,0.125,5,504
0.01,B136,W1008,0.25,10,1008
0.01,B136,WFULL,0.25,20,2007
0.01,SMALL,W252,0.25,3,252
0.01,SMALL,W504,0.20833333333333334,5,504
0.01,SMALL,W1008,0.16666666666666666,10,1008
0.01,SMALL,WFULL,0.16666666666666666,15,1502
0.02,U56,W252,0.125,5,252
0.02,U56,W504,0.16666666666666666,10,504
0.02,U56,W1008,0.25,20,1008
0.02,U56,WFULL,0.25,40,2007
0.02,B136,W252,0.16666666666666666,5,252
0.02,B136,W504,0.125,10,504
0.02,B136,W1008,0.25,20,1008
0.02,B136,WFULL,0.2916666666666667,40,2007
0.02,SMALL,W252,0.20833333333333334,5,252
0.02,SMALL,W504,0.20833333333333334,10,504
0.02,SMALL,W1008,0.25,20,1008
0.02,SMALL,WFULL,0.16666666666666666,30,1502
0.04,U56,W252,0.20833333333333334,10,252
0.04,U56,W504,0.16666666666666666,20,504
0.04,U56,W1008,0.25,40,1008
0.04,U56,WFULL,0.2916666666666667,80,2007
0.04,B136,W252,0.16666666666666666,10,252
0.04,B136,W504,0.16666666666666666,20,504
0.04,B136,W1008,0.25,40,1008
0.04,B136,WFULL,0.2916666666666667,80,2007
0.04,SMALL,W252,0.16666666666666666,10,252
0.04,SMALL,W504,0.16666666666666666,20,504
0.04,SMALL,W1008,0.3333333333333333,40,1008
0.04,SMALL,WFULL,0.16666666666666666,60,1502
0.08,U56,W252,0.20833333333333334,20,252
0.08,U56,W504,0.20833333333333334,40,504
0.08,U56,W1008,0.2916666666666667,81,1008
0.08,U56,WFULL,0.2916666666666667,161,2007
0.08,B136,W252,0.16666666666666666,20,252
0.08,B136,W504,0.125,40,504
0.08,B136,W1008,0.25,81,1008
0.08,B136,WFULL,0.2916666666666667,161,2007
0.08,SMALL,W252,0.16666666666666666,20,252
0.08,SMALL,W504,0.16666666666666666,40,504
0.08,SMALL,W1008,0.2916666666666667,81,1008
0.08,SMALL,WFULL,0.16666666666666666,120,1502
0.15,U56,W252,0.20833333333333334,38,252
0.15,U56,W504,0.20833333333333334,76,504
0.15,U56,W1008,0.2916666666666667,151,1008
0.15,U56,WFULL,0.3333333333333333,301,2007
0.15,B136,W252,0.20833333333333334,38,252
0.15,B136,W504,0.16666666666666666,76,504
0.15,B136,W1008,0.25,151,1008
0.15,B136,WFULL,0.2916666666666667,301,2007
0.15,SMALL,W252,0.125,38,252
0.15,SMALL,W504,0.16666666666666666,76,504
0.15,SMALL,W1008,0.2916666666666667,151,1008
0.15,SMALL,WFULL,0.20833333333333334,225,1502
0.3,U56,W252,0.20833333333333334,76,252
0.3,U56,W504,0.2916666666666667,151,504
0.3,U56,W1008,0.3333333333333333,302,1008
0.3,U56,WFULL,0.4166666666666667,602,2007
0.3,B136,W252,0.25,76,252
0.3,B136,W504,0.20833333333333334,151,504
0.3,B136,W1008,0.2916666666666667,302,1008
0.3,B136,WFULL,0.2916666666666667,602,2007
0.3,SMALL,W252,0.16666666666666666,76,252
0.3,SMALL,W504,0.20833333333333334,151,504
0.3,SMALL,W1008,0.4166666666666667,302,1008
0.3,SMALL,WFULL,0.2916666666666667,451,1502
0.6,U56,W252,0.4166666666666667,151,252
0.6,U56,W504,0.4583333333333333,302,504
0.6,U56,W1008,0.375,605,1008
0.6,U56,WFULL,0.625,1204,2007
0.6,B136,W252,0.4166666666666667,151,252
0.6,B136,W504,0.5,302,504
0.6,B136,W1008,0.375,605,1008
0.6,B136,WFULL,0.4583333333333333,1204,2007
0.6,SMALL,W252,0.2916666666666667,151,252
0.6,SMALL,W504,0.2916666666666667,302,504
0.6,SMALL,W1008,0.5416666666666666,605,1008
0.6,SMALL,WFULL,0.4166666666666667,901,1502
1.0,U56,W252,1.0,252,252
1.0,U56,W504,1.0,504,504
1.0,U56,W1008,1.0,1008,1008
1.0,U56,WFULL,1.0,2007,2007
1.0,B136,W252,1.0,252,252
1.0,B136,W504,1.0,504,504
1.0,B136,W1008,1.0,1008,1008
1.0,B136,WFULL,1.0,2007,2007
1.0,SMALL,W252,1.0,252,252
1.0,SMALL,W504,1.0,504,504
1.0,SMALL,W1008,1.0,1008,1008
1.0,SMALL,WFULL,1.0,1502,1502
