stat,K,parent,n,published_clears,new_clears,moved,F_to_T,T_to_F,moved_pct
MAX,20,186,108,17,25,8,8,0,0.07407407407407407
MAX,20,191,180,27,30,23,13,10,0.12777777777777777
MAX,20,201,180,34,30,6,1,5,0.03333333333333333
MAX,100,186,108,17,6,13,1,12,0.12037037037037036
MAX,100,191,180,27,7,20,0,20,0.1111111111111111
MAX,100,201,180,34,7,27,0,27,0.15
Q95,20,186,108,17,31,14,14,0,0.12962962962962962
Q95,20,191,180,27,46,27,23,4,0.15
Q95,20,201,180,34,46,12,12,0,0.06666666666666667
Q95,100,186,108,17,25,8,8,0,0.07407407407407407
Q95,100,191,180,27,41,22,18,4,0.12222222222222222
Q95,100,201,180,34,41,9,8,1,0.05
