panel,book,lag,cost,IS_pick_phase,IS_Sharpe,pick_OOS_Sharpe,pick_OOS_CAGR,pick_OOS_MaxDD,pub_OOS_Sharpe,pub_OOS_CAGR,pub_OOS_MaxDD,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,oracle_phase,oracle_OOS_Sharpe,med_OOS_Sharpe,regret_vs_oracle,pick_minus_pub,pick_minus_mean,pick_minus_median,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,v2_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_MaxDD
u56,B1,1,0.0,5,1.188576957369611,1.193415418774378,0.15695167947199407,-0.20416650791918867,1.319929689745076,0.17211554937516027,-0.19517364638925927,1.1679156907037567,0.14507010655924657,-0.19561386763229638,19,1.3619968117958983,1.225018836434724,-0.1685813930215203,-0.12651427097069812,0.025499728070621286,-0.031603417660346134,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B1,1,5.0,5,1.1697585994485697,1.176814913537596,0.15446424205325604,-0.2043748401316564,1.3033087716873255,0.1696223506997665,-0.195471506429428,1.147967617396597,0.14227753027371493,-0.1958567201544823,19,1.3452930089798385,1.208200348121316,-0.16847809544224246,-0.12649385814972947,0.028847296140999124,-0.031385434583719896,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B1,1,10.0,5,1.1508994929103975,1.1601826818367313,0.15198164137177694,-0.2045831723441237,1.2866483278380498,0.1671339581774811,-0.1957693664695962,1.1280191309298917,0.13949173187933095,-0.19609950414924437,19,1.3285529121522075,1.1913526373888421,-0.16837023031547615,-0.1264656460013185,0.032163550906839644,-0.031169955552110773,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B1,1,25.0,5,1.0940965558976963,1.1101083385157693,0.1445627754494636,-0.20520816898152594,1.2364423270155478,0.15969753430330735,-0.19666294659010197,1.0681713900236867,0.13117484052263229,-0.1968274451490878,19,1.278127824524844,1.1406471133144682,-0.16801948600907468,-0.1263339884997785,0.041936948492082626,-0.03053877479869893,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B1,5,0.0,7,1.2387813812210076,1.226986270331932,0.17009168459631407,-0.22489453754828204,1.2794038906214893,0.17103676869302142,-0.18378602059624993,1.1478267167593097,0.14799284818707847,-0.20925699016831023,18,1.3342707619043943,1.1831838854911658,-0.10728449157246223,-0.05241762028955721,0.07915955357262239,0.04380238484076626,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B1,5,5.0,7,1.219925289239123,1.2114367428824946,0.1676233821036286,-0.22517009499920204,1.2632487416603195,0.16856021100730434,-0.1840997301199967,1.128557735374611,0.1451816610408616,-0.20951861081045453,18,1.3177503032429925,1.1671009978035882,-0.10631356036049788,-0.05181199877782494,0.08287900750788357,0.04433574507890636,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B1,5,10.0,7,1.2010246405788012,1.195859328120764,0.1651597859822287,-0.22544565245012116,1.24705987117354,0.16608839748096615,-0.1844134396437438,1.1092887623482868,0.1423773249473017,-0.2097801498656574,18,1.3011998239114813,1.1509908287809658,-0.10534049579071736,-0.05120054305277599,0.08657056577247713,0.044868499339798085,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B1,5,25.0,7,1.1440738141254225,1.1489702766898935,0.15779715545442508,-0.22627232480287918,1.198302475204866,0.15870134026924432,-0.1853545682149843,1.0514820706738335,0.13400525701964994,-0.21056427774890596,18,1.251380632509785,1.1025081476640786,-0.10241035581989144,-0.049332198514972614,0.09748820601606001,0.046462129025814924,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B1,7,0.0,5,1.2670511432204363,1.1752778766360286,0.16258881462453845,-0.21638295314670597,1.2144793765492086,0.16365677557597258,-0.21245903419709267,1.1380015434038193,0.14874122135810341,-0.21744382872231993,18,1.2869468948272917,1.1852336424955736,-0.11166901819126318,-0.039201499913180005,0.03727633323220925,-0.009955765859545052,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B1,7,5.0,5,1.2485191269491775,1.1593206711481563,0.16006548616547112,-0.2165753607463371,1.198490372161499,0.1611911399050554,-0.21275195883803388,1.1189819387393698,0.14592408408717072,-0.21768348543233085,18,1.2705245972683215,1.1691925168290302,-0.11120392612016516,-0.03916970101334272,0.04033873240878649,-0.009871845680873959,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B1,7,10.0,5,1.2299428996678543,1.1433362071878732,0.15754711053096626,-0.21676776834596845,1.1824711436142032,0.15873023698558852,-0.21304488347897532,1.099962510074176,0.14311382242786963,-0.21792307304059466,18,1.2540769581967515,1.1531282301530392,-0.11074075100887826,-0.039134936426330036,0.04337369711369732,-0.009792022965166014,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
u56,B1,7,25.0,5,1.1739667637951714,1.0952305583085364,0.15002161343693565,-0.21734499114486217,1.1342432971631904,0.15137584317192831,-0.21392365740179964,1.0429054504708488,0.13472412431800507,-0.21864142144212462,18,1.2045940807135858,1.1048076576853363,-0.10936352240504932,-0.03901273885465395,0.05232510783768762,-0.009577099376799847,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815
