claim_set,estimator,claims,resolvable,undefined,reworded,share
CS_STRICT,E_PR_RAW,2105,402,0,400,0.9950248756218906
CS_STRICT,E_PR_XS,2105,402,49,345,0.9773371104815864
CS_STRICT,E_PR_RESID,2105,402,0,400,0.9950248756218906
CS_STRICT,E_ENT_RAW,2105,402,0,400,0.9950248756218906
CS_STRICT,E_ENT_XS,2105,402,49,343,0.9716713881019831
CS_STRICT,E_SL_BAR,2105,402,0,384,0.9552238805970149
CS_PROX,E_PR_RAW,4488,720,0,713,0.9902777777777778
CS_PROX,E_PR_XS,4488,720,81,622,0.97339593114241
CS_PROX,E_PR_RESID,4488,720,0,713,0.9902777777777778
CS_PROX,E_ENT_RAW,4488,720,0,713,0.9902777777777778
CS_PROX,E_ENT_XS,4488,720,81,615,0.9624413145539906
CS_PROX,E_SL_BAR,4488,720,0,683,0.9486111111111111
CS_ALL,E_PR_RAW,4488,720,0,713,0.9902777777777778
CS_ALL,E_PR_XS,4488,720,81,622,0.97339593114241
CS_ALL,E_PR_RESID,4488,720,0,713,0.9902777777777778
CS_ALL,E_ENT_RAW,4488,720,0,713,0.9902777777777778
CS_ALL,E_ENT_XS,4488,720,81,615,0.9624413145539906
CS_ALL,E_SL_BAR,4488,720,0,683,0.9486111111111111
