panel,n,cadence,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,null_med_Sharpe,pct_in_null,PASS_4b,PASS_4a,L_H1,L_H2,L_OOS,L_DD,L_CAGR
U56,20,W,0.14176064753632223,1.1411205451038353,-0.1938876117691184,1.2225768317811798,1.088495936527907,1.125224776974347,0.1555477055592247,1.1597523261511458,-0.19388761176911862,0.6699343363360035,1.0,True,False,True,True,True,True,True
U56,12,W,0.15433186766827856,1.0670480137934046,-0.20391905283702616,1.1491675695484556,1.017012821722434,1.0896694809279837,0.16664639694423733,1.0612882606321976,-0.2039190528370265,0.5602982717870646,1.0,False,False,True,True,True,False,True
U56,20,M,0.1569405545242868,1.1994027245464898,-0.21458118801636916,1.2812946882413248,1.1477898462427727,1.174180564722439,0.17342771380313127,1.2249884915710196,-0.21458118801636872,0.9880783644538762,1.0,False,False,True,True,True,False,True
U56,10,M,0.18024757431021898,1.1141955378902082,-0.25031351049094475,1.3285785695505352,0.9649226598318912,1.2977962787512485,0.17353260576478302,1.003103150069214,-0.2503135104909445,0.9114267989699901,0.9825,False,False,True,True,True,False,True
B136,20,W,0.14580830721487303,0.986003908971904,-0.2400479299131124,1.2027733341593292,0.8195979651162164,1.1076203545128351,0.141213424087407,0.9065236950283978,-0.24004792991311286,0.5619303669310008,1.0,False,False,True,False,True,False,True
B136,12,W,0.16370032089186393,0.9732906728016664,-0.26383989200325053,1.2565530993955378,0.7723984908784789,1.1567744861312952,0.15503555028914406,0.8638445758828204,-0.2638398920032503,0.5054194962088177,1.0,False,False,True,False,False,False,True
B136,20,M,0.17180354722435753,1.098918598234502,-0.25459365614245766,1.3921285393325906,0.8806212090606667,1.2953364504412685,0.1609470817473535,0.9735171381269385,-0.254593656142458,0.9506875119186773,0.99,False,False,True,True,True,False,True
B136,10,M,0.19649199916351368,1.0571053291678563,-0.2851505327531757,1.3377875645381534,0.8732648118883323,1.2600477192467294,0.18976884348117173,0.9445058732614406,-0.2851505327531757,0.9004413981935251,0.9525,False,False,True,True,True,False,True
SMALL,20,W,0.1409545794087368,0.7470877343580371,-0.30491328650501304,0.9912272117944225,0.6155772796327562,0.8044698706766328,0.15198893810737668,0.7359541623171002,-0.3049132865050129,0.19183558507550313,1.0,False,False,True,False,False,False,True
SMALL,12,W,0.15213222909832202,0.7158769992868145,-0.35401500740090885,0.9454229205104876,0.5898733575090722,0.7213826026787394,0.1707153402658126,0.7278905462677006,-0.3540150074009083,0.17999817823729924,1.0,False,False,True,False,False,False,True
SMALL,20,M,0.1308726886883942,0.6877912347143722,-0.35930113508744876,0.8303055808497275,0.6269850783800378,0.7252340059116328,0.14466626606789434,0.6879884494895943,-0.35930113508744954,0.5240745176980439,0.9025,False,False,False,False,False,False,True
SMALL,10,M,0.155586278112946,0.6853667640081819,-0.4640604521122905,0.6574379232009137,0.7295485723388012,0.5792533014188788,0.19152975433052988,0.7452199589736831,-0.46406045211228997,0.45636042931852927,0.9425,False,False,False,False,False,False,True
