claim_set,tolerance,n_scripts,n_cells,n_flagged,share_flagged,scripts_at_risk
STRICT,0.005,1,320,254,0.79375,1
STRICT,0.01,1,320,230,0.71875,1
STRICT,0.02,1,320,158,0.49375,1
STRICT,0.05,1,320,20,0.0625,1
WIDE,0.005,14,320,254,0.79375,14
WIDE,0.01,14,320,230,0.71875,14
WIDE,0.02,14,320,158,0.49375,14
WIDE,0.05,14,320,20,0.0625,14
