stamp_form,claim_set,n_claims,n_cell_stated,n_rescorable,share_cell_stated,share_rescorable,n_rescorable_pinned,n_rescorable_default,n28,n28_cell_stated,n28_rescorable,n28_rescorable_pinned
D0_MODULE,NARROW,59,7,3,0.11864406779661017,0.05084745762711865,0,3,10,1,1,0
D0_MODULE,PROX,125,24,12,0.192,0.096,0,12,28,10,9,0
D0_MODULE,WIDE,2088,366,291,0.1752873563218391,0.13936781609195403,4,287,28,10,9,0
D1_DEF,NARROW,59,8,4,0.13559322033898305,0.06779661016949153,0,4,10,2,2,0
D1_DEF,PROX,125,25,13,0.2,0.104,0,13,28,11,10,0
D1_DEF,WIDE,2088,380,299,0.18199233716475097,0.14319923371647508,4,295,28,11,10,0
D2_ASSIGN,NARROW,59,8,4,0.13559322033898305,0.06779661016949153,0,4,10,2,2,0
D2_ASSIGN,PROX,125,26,15,0.208,0.12,0,15,28,11,11,0
D2_ASSIGN,WIDE,2088,440,279,0.210727969348659,0.1336206896551724,1,278,28,11,11,0
D3_DOC,NARROW,59,8,4,0.13559322033898305,0.06779661016949153,0,4,10,2,2,0
D3_DOC,PROX,125,26,15,0.208,0.12,0,15,28,11,11,0
D3_DOC,WIDE,2088,443,291,0.21216475095785442,0.13936781609195403,1,290,28,11,11,0
